,link,name
0,https://www.mountainproject.com/area/107751804/halfway-rock,halfway-rock
1,https://www.mountainproject.com/area/106811705/mount-royal-near-frisco,mount-royal-near-frisco
2,https://www.mountainproject.com/area/107761942/officers-gulch-west,officers-gulch-west
3,https://www.mountainproject.com/area/108256713/officers-wall,officers-wall
4,https://www.mountainproject.com/area/107748246/sunshine-buttess-aka-wichita-wall,sunshine-buttess-aka-wichita-wall
5,https://www.mountainproject.com/area/112221833/the-cache-wall,the-cache-wall
6,https://www.mountainproject.com/area/106817410/the-diamond-wall,the-diamond-wall
7,https://www.mountainproject.com/area/107938625/the-dome,the-dome
8,https://www.mountainproject.com/area/107211983/the-shire,the-shire
9,https://www.mountainproject.com/area/106869718/white-cliff,white-cliff
10,https://www.mountainproject.com/area/106753370/buffalo-mountain,buffalo-mountain
11,https://www.mountainproject.com/area/109376503/eagles-nest,eagles-nest
12,https://www.mountainproject.com/area/107747316/east-partner-peak-aka-peak-v,east-partner-peak-aka-peak-v
13,https://www.mountainproject.com/area/111123442/mount-silverthorne,mount-silverthorne
14,https://www.mountainproject.com/area/107841242/peak-c,peak-c
15,https://www.mountainproject.com/area/111600093/peak-l,peak-l
16,https://www.mountainproject.com/area/112031651/peaks-x-y-and-z,peaks-x-y-and-z
17,https://www.mountainproject.com/area/112221941/valhalla-peak-freya-tower,valhalla-peak-freya-tower
18,https://www.mountainproject.com/area/108214910/valhalla-peak-thor-tower,valhalla-peak-thor-tower
19,https://www.mountainproject.com/area/107657678/west-partner-peak,west-partner-peak
20,https://www.mountainproject.com/area/112463302/fools-peak,fools-peak
21,https://www.mountainproject.com/area/112463342/gold-dust-peak,gold-dust-peak
22,https://www.mountainproject.com/area/113578767/the-underworld,the-underworld
23,https://www.mountainproject.com/area/112078307/hawaii-boulder,hawaii-boulder
24,https://www.mountainproject.com/area/112092611/three-finger-boulder,three-finger-boulder
25,https://www.mountainproject.com/area/105745995/apache-peak,apache-peak
26,https://www.mountainproject.com/area/105745963/arapahoe-peaks,arapahoe-peaks
27,https://www.mountainproject.com/area/113274997/devils-moles,devils-moles
28,https://www.mountainproject.com/area/105746829/devils-thumb,devils-thumb
29,https://www.mountainproject.com/area/105746811/elk-tooth,elk-tooth
30,https://www.mountainproject.com/area/105746403/haimovi-tower,haimovi-tower
31,https://www.mountainproject.com/area/114960525/indian-peaks-traverses,indian-peaks-traverses
32,https://www.mountainproject.com/area/105745055/james-peak,james-peak
33,https://www.mountainproject.com/area/105746826/lone-eagle-peak,lone-eagle-peak
34,https://www.mountainproject.com/area/105746397/mount-neva,mount-neva
35,https://www.mountainproject.com/area/105746167/mount-toll,mount-toll
36,https://www.mountainproject.com/area/105815230/mt-audubon,mt-audubon
37,https://www.mountainproject.com/area/105746022/navajo-peak,navajo-peak
38,https://www.mountainproject.com/area/105746814/ogalalla-peak,ogalalla-peak
39,https://www.mountainproject.com/area/105746817/ooh-la-la,ooh-la-la
40,https://www.mountainproject.com/area/106454047/paiute-peak,paiute-peak
41,https://www.mountainproject.com/area/111173972/peak-12878,peak-12878
42,https://www.mountainproject.com/area/112078297/roaring-fork-boulders,roaring-fork-boulders
43,https://www.mountainproject.com/area/113171667/sawtooth-mountain,sawtooth-mountain
44,https://www.mountainproject.com/area/106011962/shoshoni-peak,shoshoni-peak
