,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107605155/the-journey-area,the-journey-area,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/107605102/bankhead-forest-thompson-creek-trail']",['https://www.mountainproject.com/route/107605174/fiery-ginger']
1,1,https://www.mountainproject.com/area/107605138/will-robinson-area,will-robinson-area,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/107605102/bankhead-forest-thompson-creek-trail']",['https://www.mountainproject.com/route/107717687/bombs-away']
2,2,https://www.mountainproject.com/area/106322475/cliffline,cliffline,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106222485/colbert-heights']",[]
3,3,https://www.mountainproject.com/area/106322465/main-boulder-area,main-boulder-area,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106222485/colbert-heights']",['https://www.mountainproject.com/route/106325615/mantle-problem']
4,4,https://www.mountainproject.com/area/106322471/overhang,overhang,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106222485/colbert-heights']","['https://www.mountainproject.com/route/106322478/dirty-laundry', 'https://www.mountainproject.com/route/106327218/unknown', 'https://www.mountainproject.com/route/106329925/vulcanunknown']"
5,5,https://www.mountainproject.com/area/106322456/slabs,slabs,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106222485/colbert-heights']",['https://www.mountainproject.com/route/106322459/unknown']
6,6,https://www.mountainproject.com/area/108029415/the-lady-slipper-boulder,the-lady-slipper-boulder,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106094862/horse-pens-40', 'https://www.mountainproject.com/area/108029336/slider-boulders']","['https://www.mountainproject.com/route/108104124/the-blob', 'https://www.mountainproject.com/route/108029418/god-module', 'https://www.mountainproject.com/route/108029427/lady-slipper']"
7,7,https://www.mountainproject.com/area/108029340/the-slider-boulder,the-slider-boulder,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106094862/horse-pens-40', 'https://www.mountainproject.com/area/108029336/slider-boulders']","['https://www.mountainproject.com/route/108029368/boomslang', 'https://www.mountainproject.com/route/108104108/boomslang-low', 'https://www.mountainproject.com/route/108029344/cuts-like-a-knife', 'https://www.mountainproject.com/route/108104095/cuts-low', 'https://www.mountainproject.com/route/108029382/litz-pocket-problem', 'https://www.mountainproject.com/route/108029406/message-from-the-masters', 'https://www.mountainproject.com/route/108029394/slider']"
8,8,https://www.mountainproject.com/area/111663640/uniball-area,uniball-area,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106094862/horse-pens-40', 'https://www.mountainproject.com/area/108029336/slider-boulders']",['https://www.mountainproject.com/route/111663643/uniball']
9,9,https://www.mountainproject.com/area/112418067/skywalker-area,skywalker-area,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106094862/horse-pens-40', 'https://www.mountainproject.com/area/112418061/the-middle']","['https://www.mountainproject.com/route/112418075/sordid', 'https://www.mountainproject.com/route/112418112/v0']"
10,10,https://www.mountainproject.com/area/107366748/deck-areafront-slabs,deck-areafront-slabs,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106094862/horse-pens-40']","['https://www.mountainproject.com/route/107367216/aint-skeered', 'https://www.mountainproject.com/route/107367316/alabama-tiller', 'https://www.mountainproject.com/route/106286461/american-pie', 'https://www.mountainproject.com/route/107367237/bitter', 'https://www.mountainproject.com/route/106294040/boogey-wonderland', 'https://www.mountainproject.com/route/106298920/chattanooga-plow', 'https://www.mountainproject.com/route/107362365/chevy', 'https://www.mountainproject.com/route/107367196/consumption', 'https://www.mountainproject.com/route/114292267/debirth-cult-of-the-unborn', 'https://www.mountainproject.com/route/107367192/deck-crack', 'https://www.mountainproject.com/route/107367295/downclimb', 'https://www.mountainproject.com/route/106293533/earth-wind-fire', 'https://www.mountainproject.com/route/107367359/easy', 'https://www.mountainproject.com/route/107367368/g-for-life', 'https://www.mountainproject.com/route/106095020/green-velvet', 'https://www.mountainproject.com/route/106095015/groove-1', 'https://www.mountainproject.com/route/106095025/groove-2', 'https://www.mountainproject.com/route/106286713/hammerhead', 'https://www.mountainproject.com/route/107367087/jumper', 'https://www.mountainproject.com/route/107367307/kearney-problem', 'https://www.mountainproject.com/route/107367425/lurk-mode', 'https://www.mountainproject.com/route/107367207/mino', 'https://www.mountainproject.com/route/107367383/muscadine', 'https://www.mountainproject.com/route/106297201/night-fever', 'https://www.mountainproject.com/route/106293538/ring-my-bell', 'https://www.mountainproject.com/route/107367188/seam-project-open', 'https://www.mountainproject.com/route/106301126/step-child', 'https://www.mountainproject.com/route/107367342/stoney', 'https://www.mountainproject.com/route/107367408/tork', 'https://www.mountainproject.com/route/106293527/twix-lips', 'https://www.mountainproject.com/route/107367095/variation-to-american-pie', 'https://www.mountainproject.com/route/107367080/variation-to-step-child', 'https://www.mountainproject.com/route/106286494/the-wood']"
11,11,https://www.mountainproject.com/area/111547302/flat-roof-boulder,flat-roof-boulder,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106094862/horse-pens-40']","['https://www.mountainproject.com/route/111547316/crisifix', 'https://www.mountainproject.com/route/112419817/groove-1', 'https://www.mountainproject.com/route/112419836/groove-2', 'https://www.mountainproject.com/route/111678540/leahs-traverse', 'https://www.mountainproject.com/route/111547354/lou-ser', 'https://www.mountainproject.com/route/111547340/stretch-armstrong']"
12,12,https://www.mountainproject.com/area/107368521/hang-loose-area,hang-loose-area,"['https://www.mountainproject.com/area/105905173/alabama', 'https://www.mountainproject.com/area/106094862/horse-pens-40']","['https://www.mountainproject.com/route/107368537/brown-leaf', 'https://www.mountainproject.com/route/107368544/green-leaf', 'https://www.mountainproject.com/route/107368532/hang-loose']"
