,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/113352563/east-fork,east-fork,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/106625621/hunter-creek']",['https://www.mountainproject.com/route/113352566/harrys-big-adventure']
1,1,https://www.mountainproject.com/area/111605164/lower-hunter,lower-hunter,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/106625621/hunter-creek']","['https://www.mountainproject.com/route/113352493/lost-chord', 'https://www.mountainproject.com/route/113352533/lost-in-space', 'https://www.mountainproject.com/route/111605168/overlook', 'https://www.mountainproject.com/route/113352512/split-finish', 'https://www.mountainproject.com/route/113352542/trade-route']"
2,2,https://www.mountainproject.com/area/106625637/the-amphitheater,the-amphitheater,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/106625621/hunter-creek']",[]
3,3,https://www.mountainproject.com/area/113352596/west-fork,west-fork,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/106625621/hunter-creek']",['https://www.mountainproject.com/route/113352599/unknown']
4,4,https://www.mountainproject.com/area/110040237/grewink-lake-and-glacier,grewink-lake-and-glacier,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/106360187/kenai-peninsula-ice-climbing']","['https://www.mountainproject.com/route/110040452/hidden-valley-girl', 'https://www.mountainproject.com/route/110040260/skinny-dirty-mix']"
5,5,https://www.mountainproject.com/area/106360191/victor-creek,victor-creek,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/106360187/kenai-peninsula-ice-climbing']","['https://www.mountainproject.com/route/106360195/great-beard', 'https://www.mountainproject.com/route/106360218/victor-creek-3']"
6,6,https://www.mountainproject.com/area/106470533/nunatak,nunatak,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/106470514/snowbird-glacier-talkeetna-mountains']",[]
7,7,https://www.mountainproject.com/area/110795848/27-mile-pk,27-mile-pk,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/107034714/valdez', 'https://www.mountainproject.com/area/107102960/thompson-pass']","['https://www.mountainproject.com/route/110795860/cauliflower-couloir-aka-richs-ditch', 'https://www.mountainproject.com/route/110959963/north-face-via-worthington-glacier']"
8,8,https://www.mountainproject.com/area/111013744/cracked-ice,cracked-ice,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/107034714/valdez', 'https://www.mountainproject.com/area/107102960/thompson-pass']","['https://www.mountainproject.com/route/111013757/cracked-ice', 'https://www.mountainproject.com/route/112049589/west-ridge']"
9,9,https://www.mountainproject.com/area/110791867/girls-mt,girls-mt,"['https://www.mountainproject.com/area/105909311/alaska', 'https://www.mountainproject.com/area/106905072/anchorage-south-central-alaska', 'https://www.mountainproject.com/area/105909315/anchorage-south-central-ice-climbing', 'https://www.mountainproject.com/area/107034714/valdez', 'https://www.mountainproject.com/area/107102960/thompson-pass']",['https://www.mountainproject.com/route/110791874/girls-glacier']
