,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/113637841/el-oso-rodeo,el-oso-rodeo,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/111815653/boulder-mountain', 'https://www.mountainproject.com/area/112484825/pine-creek']","['https://www.mountainproject.com/route/114219326/bored-rotten', 'https://www.mountainproject.com/route/114219309/born-rotten', 'https://www.mountainproject.com/route/114161427/bueno-suerte', 'https://www.mountainproject.com/route/114219273/la-tierra-de-las-armas-y-la-metanfetamina', 'https://www.mountainproject.com/route/113665143/no-empujes-al-oso', 'https://www.mountainproject.com/route/114156876/no-hay-cafe-y-algodon', 'https://www.mountainproject.com/route/114145274/yo-trabajo-duro']"
1,1,https://www.mountainproject.com/area/112498776/the-pergola,the-pergola,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/111815653/boulder-mountain', 'https://www.mountainproject.com/area/112484796/the-boulders']",['https://www.mountainproject.com/route/112498821/be-my-ballantines']
2,2,https://www.mountainproject.com/area/112484825/pine-creek,pine-creek,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/111815653/boulder-mountain']",[]
3,3,https://www.mountainproject.com/area/112484796/the-boulders,the-boulders,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/111815653/boulder-mountain']",[]
4,4,https://www.mountainproject.com/area/111916135/butterfly-wall,butterfly-wall,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/110803885/christopher-creek-gorge']",['https://www.mountainproject.com/route/111916143/gramps']
5,5,https://www.mountainproject.com/area/111807931/canyoneers-wall,canyoneers-wall,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/110803885/christopher-creek-gorge']","['https://www.mountainproject.com/route/111809156/beatnik-boogie', 'https://www.mountainproject.com/route/111867400/lock-and-key', 'https://www.mountainproject.com/route/111807942/pool-party']"
6,6,https://www.mountainproject.com/area/111254926/central-gorge-north,central-gorge-north,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/110803885/christopher-creek-gorge']","['https://www.mountainproject.com/route/111254942/fifes-finger', 'https://www.mountainproject.com/route/111255160/gunkadelic', 'https://www.mountainproject.com/route/111255008/sunset-corner', 'https://www.mountainproject.com/route/111255176/wilder-ride']"
7,7,https://www.mountainproject.com/area/111254955/central-gorge-south,central-gorge-south,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/110803885/christopher-creek-gorge']","['https://www.mountainproject.com/route/111255183/ride-the-lichen', 'https://www.mountainproject.com/route/111254958/tres-viejos']"
8,8,https://www.mountainproject.com/area/111024985/confluence-wall,confluence-wall,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/110803885/christopher-creek-gorge']","['https://www.mountainproject.com/route/111025197/abc-peaches', 'https://www.mountainproject.com/route/111025216/black-streak', 'https://www.mountainproject.com/route/111025174/cheech-and-chong-chimney', 'https://www.mountainproject.com/route/111025208/chips-and-dip', 'https://www.mountainproject.com/route/111025225/frog-drop', 'https://www.mountainproject.com/route/111025114/goodbye-mr-chips', 'https://www.mountainproject.com/route/111025151/not-my-cross-to-bear', 'https://www.mountainproject.com/route/111025003/trainor-wheels', 'https://www.mountainproject.com/route/111024990/trichrome-corner', 'https://www.mountainproject.com/route/111025182/tutankamens-ramen']"
9,9,https://www.mountainproject.com/area/111024588/exit-gorge,exit-gorge,"['https://www.mountainproject.com/area/105708962/arizona', 'https://www.mountainproject.com/area/107447478/central-arizona', 'https://www.mountainproject.com/area/110803885/christopher-creek-gorge']","['https://www.mountainproject.com/route/111024943/apapacho', 'https://www.mountainproject.com/route/111024762/crown-dancer', 'https://www.mountainproject.com/route/111024809/el-patron', 'https://www.mountainproject.com/route/111024916/electra-glide', 'https://www.mountainproject.com/route/111024777/frog-leg-squimney', 'https://www.mountainproject.com/route/111024620/the-horn', 'https://www.mountainproject.com/route/111024932/hornet-swarm', 'https://www.mountainproject.com/route/111024954/master-splinter', 'https://www.mountainproject.com/route/111024596/nefertiti', 'https://www.mountainproject.com/route/114497523/phoenix-five-six']"
