,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106731933/across-the-road-boulders,across-the-road-boulders,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/106731918/area-74']",[]
1,1,https://www.mountainproject.com/area/106732009/carbon-nook-and-barbed-wire-aka-hidden-wall,carbon-nook-and-barbed-wire-aka-hidden-wall,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/106731918/area-74']",[]
2,2,https://www.mountainproject.com/area/106732400/cave-roof,cave-roof,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/106731918/area-74']","['https://www.mountainproject.com/route/106737002/cave-pearl', 'https://www.mountainproject.com/route/106737011/flakeout', 'https://www.mountainproject.com/route/106736997/flow-stone', 'https://www.mountainproject.com/route/106737079/heuco-face', 'https://www.mountainproject.com/route/106737068/left-arete', 'https://www.mountainproject.com/route/106737072/right-arete']"
3,3,https://www.mountainproject.com/area/106732410/grandaddy-roof-and-surrounding-boulders,grandaddy-roof-and-surrounding-boulders,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/106731918/area-74']",[]
4,4,https://www.mountainproject.com/area/106731950/main-wall,main-wall,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/106731918/area-74']","['https://www.mountainproject.com/route/106737087/the-fin', 'https://www.mountainproject.com/route/106738707/fuck-the-tree', 'https://www.mountainproject.com/route/106738680/get-hooked', 'https://www.mountainproject.com/route/106737625/legalize', 'https://www.mountainproject.com/route/106738614/the-lower-ball', 'https://www.mountainproject.com/route/106737084/mcdynamic', 'https://www.mountainproject.com/route/106737608/squeeze-play', 'https://www.mountainproject.com/route/106737613/unknown-v4', 'https://www.mountainproject.com/route/106738652/unknown-v4-dihedral', 'https://www.mountainproject.com/route/106738676/unknown-v4-slope-shelf', 'https://www.mountainproject.com/route/106738619/unknown-v5', 'https://www.mountainproject.com/route/106738633/unknown-v5-crack']"
5,5,https://www.mountainproject.com/area/106731979/the-corridor-aka-the-green-room,the-corridor-aka-the-green-room,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/106731918/area-74']",[]
6,6,https://www.mountainproject.com/area/106731983/woods-area-1-aka-hidden-walls,woods-area-1-aka-hidden-walls,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/106731918/area-74']",[]
7,7,https://www.mountainproject.com/area/114064539/jonah-hex-wall,jonah-hex-wall,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/112355992/bigfoot-hollow', 'https://www.mountainproject.com/area/114063965/area-51']",['https://www.mountainproject.com/route/114067196/jonah-hex']
8,8,https://www.mountainproject.com/area/114063983/mma-wall,mma-wall,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/112355992/bigfoot-hollow', 'https://www.mountainproject.com/area/114063965/area-51']","['https://www.mountainproject.com/route/114064626/battered-but-not-beaten-project', 'https://www.mountainproject.com/route/114064615/black-zillion-project', 'https://www.mountainproject.com/route/114064653/bump-left-boogie-right', 'https://www.mountainproject.com/route/114064621/enter-the-dragon-project', 'https://www.mountainproject.com/route/114064597/ground-and-pound', 'https://www.mountainproject.com/route/114064603/mtv', 'https://www.mountainproject.com/route/114064633/side-control', 'https://www.mountainproject.com/route/114064645/stem-and-grin', 'https://www.mountainproject.com/route/114064600/strike-zone', 'https://www.mountainproject.com/route/114064639/super-natural-shaman', 'https://www.mountainproject.com/route/114064606/tap-out', 'https://www.mountainproject.com/route/114064642/thai-boxer', 'https://www.mountainproject.com/route/114064636/zero-to-hero']"
9,9,https://www.mountainproject.com/area/114063969/psychology-wall,psychology-wall,"['https://www.mountainproject.com/area/105901027/arkansas', 'https://www.mountainproject.com/area/112355992/bigfoot-hollow', 'https://www.mountainproject.com/area/114063965/area-51']","['https://www.mountainproject.com/route/114064586/delusions-of-grandeur', 'https://www.mountainproject.com/route/114064573/dystopia', 'https://www.mountainproject.com/route/114064561/freudian-slip', 'https://www.mountainproject.com/route/114064554/hypnotic-neurotic', 'https://www.mountainproject.com/route/114064548/malchavallie-crack', 'https://www.mountainproject.com/route/114064589/paralysis-of-the-analyses-dihedral', 'https://www.mountainproject.com/route/114064543/psychasthenia', 'https://www.mountainproject.com/route/114064566/psychosomatic', 'https://www.mountainproject.com/route/114064593/therapy-of-the-mind', 'https://www.mountainproject.com/route/114064579/voltaire']"
