,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107751804/halfway-rock,halfway-rock,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/107751897/boomerang', 'https://www.mountainproject.com/route/107751891/chicken-spider', 'https://www.mountainproject.com/route/107751863/das-krankenhaus', 'https://www.mountainproject.com/route/107751844/dealers-choice-left', 'https://www.mountainproject.com/route/107751853/dealers-choice-right', 'https://www.mountainproject.com/route/107751906/godzilla', 'https://www.mountainproject.com/route/107751817/once-bitten', 'https://www.mountainproject.com/route/107751873/paranoid', 'https://www.mountainproject.com/route/107751836/twice-shy']"
1,1,https://www.mountainproject.com/area/106811705/mount-royal-near-frisco,mount-royal-near-frisco,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/107281739/aces-high', 'https://www.mountainproject.com/route/107283927/crown-royal', 'https://www.mountainproject.com/route/108220029/the-far-west', 'https://www.mountainproject.com/route/106811713/royal-flush', 'https://www.mountainproject.com/route/106847532/royal-rocklette-arete']"
2,2,https://www.mountainproject.com/area/107761942/officers-gulch-west,officers-gulch-west,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/107763331/aspirations', 'https://www.mountainproject.com/route/110685164/corner-route', 'https://www.mountainproject.com/route/107763366/dirty-downs', 'https://www.mountainproject.com/route/110694012/face-it', 'https://www.mountainproject.com/route/112086222/house-of-cards', 'https://www.mountainproject.com/route/107763352/incoming', 'https://www.mountainproject.com/route/107763430/logans-run', 'https://www.mountainproject.com/route/109386119/notches', 'https://www.mountainproject.com/route/112086205/outgoing', 'https://www.mountainproject.com/route/107763422/patience', 'https://www.mountainproject.com/route/107763322/rookies-demise', 'https://www.mountainproject.com/route/110642265/short-n-sweet', 'https://www.mountainproject.com/route/107763384/simul-i', 'https://www.mountainproject.com/route/108219605/sinus-infection', 'https://www.mountainproject.com/route/108272601/trinity', 'https://www.mountainproject.com/route/109078709/twisted-ankle']"
3,3,https://www.mountainproject.com/area/108256713/officers-wall,officers-wall,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']",[]
4,4,https://www.mountainproject.com/area/107748246/sunshine-buttess-aka-wichita-wall,sunshine-buttess-aka-wichita-wall,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/107751229/unnamed-arete', 'https://www.mountainproject.com/route/107782198/can-do', 'https://www.mountainproject.com/route/107751240/cerebellum', 'https://www.mountainproject.com/route/107764400/dirty-sanchez', 'https://www.mountainproject.com/route/107750061/free-fall', 'https://www.mountainproject.com/route/107748586/the-gecko', 'https://www.mountainproject.com/route/107769366/goofers-roof', 'https://www.mountainproject.com/route/107748265/jack-straw', 'https://www.mountainproject.com/route/113542885/jam-crack-route', 'https://www.mountainproject.com/route/107750894/kanarado-korner', 'https://www.mountainproject.com/route/107748572/reflections', 'https://www.mountainproject.com/route/107750879/scotch-on-the-rocks', 'https://www.mountainproject.com/route/110508769/shannons-bloody-leg', 'https://www.mountainproject.com/route/111069565/split-decision', 'https://www.mountainproject.com/route/107748275/wichita-skyline', 'https://www.mountainproject.com/route/107748609/zig-zag']"
5,5,https://www.mountainproject.com/area/112221833/the-cache-wall,the-cache-wall,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/112241166/attics-of-my-life', 'https://www.mountainproject.com/route/112223504/closed-project', 'https://www.mountainproject.com/route/112223378/period-of-uncertainty', 'https://www.mountainproject.com/route/112223288/thunder-buffalo', 'https://www.mountainproject.com/route/112223431/undertow', 'https://www.mountainproject.com/route/112221867/when-the-rain-falls']"
6,6,https://www.mountainproject.com/area/106817410/the-diamond-wall,the-diamond-wall,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/107389074/cosmic-charlie', 'https://www.mountainproject.com/route/106817449/lucy', 'https://www.mountainproject.com/route/106818106/the-plug']"
7,7,https://www.mountainproject.com/area/107938625/the-dome,the-dome,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/108266616/andys', 'https://www.mountainproject.com/route/108266258/black-bra-route-aka-arete-direct', 'https://www.mountainproject.com/route/108266672/bye-bye', 'https://www.mountainproject.com/route/108266602/cest-le-pied', 'https://www.mountainproject.com/route/109476953/cest-variation', 'https://www.mountainproject.com/route/108266567/cbu', 'https://www.mountainproject.com/route/108266290/chim-chimney', 'https://www.mountainproject.com/route/108266648/drive-by-truckers', 'https://www.mountainproject.com/route/108266705/fancy-free', 'https://www.mountainproject.com/route/108274887/handy-andy', 'https://www.mountainproject.com/route/108266580/just-say-no-to-bolts', 'https://www.mountainproject.com/route/108266574/lower-corner', 'https://www.mountainproject.com/route/108266270/steel-your-face', 'https://www.mountainproject.com/route/108266685/sweet-spot']"
8,8,https://www.mountainproject.com/area/107211983/the-shire,the-shire,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/107211997/alboe', 'https://www.mountainproject.com/route/107211988/ants-on-a-log', 'https://www.mountainproject.com/route/107212004/mainstreet']"
9,9,https://www.mountainproject.com/area/106869718/white-cliff,white-cliff,"['https://www.mountainproject.com/area/105708956/colorado', 'https://www.mountainproject.com/area/106817352/10-mile-canyon']","['https://www.mountainproject.com/route/107158270/aint-misbehavin', 'https://www.mountainproject.com/route/106900878/big-dihedral', 'https://www.mountainproject.com/route/106900898/blitz-girls', 'https://www.mountainproject.com/route/112039794/blow-all-my-troubles-away', 'https://www.mountainproject.com/route/112039811/cool-colorado-rain', 'https://www.mountainproject.com/route/106891400/czech-cashing', 'https://www.mountainproject.com/route/107281765/dirty-blonde', 'https://www.mountainproject.com/route/107281754/easy-redhead', 'https://www.mountainproject.com/route/106911460/the-exfoliator', 'https://www.mountainproject.com/route/106891377/funky-gunky', 'https://www.mountainproject.com/route/106869721/hard-monkey', 'https://www.mountainproject.com/route/106869784/little-di', 'https://www.mountainproject.com/route/107160613/overhangutang', 'https://www.mountainproject.com/route/106869778/parallel-universe', 'https://www.mountainproject.com/route/112048552/rolling-in-your-arms', 'https://www.mountainproject.com/route/107158254/rufies', 'https://www.mountainproject.com/route/106900839/water-groove', 'https://www.mountainproject.com/route/112039755/wild-geese-in-the-west', 'https://www.mountainproject.com/route/107142013/zebra']"
