,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/110332156/firewall-boulder,firewall-boulder,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain', 'https://www.mountainproject.com/area/108051741/firewall']","['https://www.mountainproject.com/route/110332168/corner-problem', 'https://www.mountainproject.com/route/113675631/fallen-arete']"
1,1,https://www.mountainproject.com/area/106414781/historical-routes,historical-routes,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain', 'https://www.mountainproject.com/area/108051741/firewall']","['https://www.mountainproject.com/route/106414800/andiron', 'https://www.mountainproject.com/route/106414833/arsonist', 'https://www.mountainproject.com/route/106414791/ashen-face', 'https://www.mountainproject.com/route/106414954/ball-of-fire', 'https://www.mountainproject.com/route/106414907/banana-peel', 'https://www.mountainproject.com/route/106414939/blazing-saddles', 'https://www.mountainproject.com/route/106414874/blue-blazes', 'https://www.mountainproject.com/route/106414973/boiling-cauldron', 'https://www.mountainproject.com/route/106414877/burned-beyond-recognition', 'https://www.mountainproject.com/route/106414946/burning-ember', 'https://www.mountainproject.com/route/106414910/burnt-offering', 'https://www.mountainproject.com/route/106414881/charred-remains', 'https://www.mountainproject.com/route/106414897/cremated', 'https://www.mountainproject.com/route/106414966/ditch-digger', 'https://www.mountainproject.com/route/106414951/eternal-flame', 'https://www.mountainproject.com/route/106414824/false-alarm', 'https://www.mountainproject.com/route/106414867/fanning-the-flames', 'https://www.mountainproject.com/route/106414936/fire-escape', 'https://www.mountainproject.com/route/106414863/firebird', 'https://www.mountainproject.com/route/106414892/firecracker', 'https://www.mountainproject.com/route/106414959/fireplace', 'https://www.mountainproject.com/route/106414807/firewood', 'https://www.mountainproject.com/route/106414795/flaming-arrow', 'https://www.mountainproject.com/route/106414926/flashback', 'https://www.mountainproject.com/route/106414922/forest-fire', 'https://www.mountainproject.com/route/106414903/funeral-pyre', 'https://www.mountainproject.com/route/106414970/hearthstone', 'https://www.mountainproject.com/route/106414810/hot-coals', 'https://www.mountainproject.com/route/106414821/incinerator', 'https://www.mountainproject.com/route/106414803/kindling', 'https://www.mountainproject.com/route/106414943/light-my-fire', 'https://www.mountainproject.com/route/106414932/no-smoking', 'https://www.mountainproject.com/route/106414871/phoenix', 'https://www.mountainproject.com/route/106414859/playing-with-fire', 'https://www.mountainproject.com/route/106414829/pyromaniac', 'https://www.mountainproject.com/route/106414815/red-hot', 'https://www.mountainproject.com/route/106414963/rib-roast', 'https://www.mountainproject.com/route/106414888/scorched-earth', 'https://www.mountainproject.com/route/106414929/smoke-out', 'https://www.mountainproject.com/route/106414976/spark-arrester']"
2,2,https://www.mountainproject.com/area/108051745/sport-routes,sport-routes,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain', 'https://www.mountainproject.com/area/108051741/firewall']","['https://www.mountainproject.com/route/108051822/burnt-beyond-recognition-mixed', 'https://www.mountainproject.com/route/108051883/dalha-wanna', 'https://www.mountainproject.com/route/107840686/el-chiste', 'https://www.mountainproject.com/route/108051894/eternal-flame', 'https://www.mountainproject.com/route/108051819/firecracker-new', 'https://www.mountainproject.com/route/108051863/fresh-bag', 'https://www.mountainproject.com/route/108051811/get-jiggy-with-it', 'https://www.mountainproject.com/route/113704667/hot-feet', 'https://www.mountainproject.com/route/107840691/iron-sheik', 'https://www.mountainproject.com/route/108051805/oc-road-to-nowhere', 'https://www.mountainproject.com/route/108051791/oc-roof', 'https://www.mountainproject.com/route/108051786/oc-spiked', 'https://www.mountainproject.com/route/107840718/optimus-prime', 'https://www.mountainproject.com/route/108051888/proj', 'https://www.mountainproject.com/route/108051901/return-to-zero', 'https://www.mountainproject.com/route/108290127/spike-roof', 'https://www.mountainproject.com/route/108051781/unnamed-511c', 'https://www.mountainproject.com/route/108051837/unnamed-59']"
3,3,https://www.mountainproject.com/area/112571200/1-sunset-rock,1-sunset-rock,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain']","['https://www.mountainproject.com/route/112571320/climbs-left-of-noreaster', 'https://www.mountainproject.com/route/112572996/early-show', 'https://www.mountainproject.com/route/112572987/evil-spirits', 'https://www.mountainproject.com/route/112572971/le-coq-dor', 'https://www.mountainproject.com/route/112571334/noreaster', 'https://www.mountainproject.com/route/112573010/old-memories']"
4,4,https://www.mountainproject.com/area/112573035/1a-high-noon-crag,1a-high-noon-crag,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain']",[]
5,5,https://www.mountainproject.com/area/112573057/1b-microrock,1b-microrock,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain']",['https://www.mountainproject.com/route/112573061/slots-of-fun']
6,6,https://www.mountainproject.com/area/112573074/1c-nano-rocks,1c-nano-rocks,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain']",[]
7,7,https://www.mountainproject.com/area/112571215/2-sunrise-rock,2-sunrise-rock,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain']","['https://www.mountainproject.com/route/112571288/daybreak', 'https://www.mountainproject.com/route/112571247/forest-murmurs', 'https://www.mountainproject.com/route/112571295/morning-glory', 'https://www.mountainproject.com/route/112571270/mourning-cloak', 'https://www.mountainproject.com/route/113704643/noonmark', 'https://www.mountainproject.com/route/112571262/rising-sun', 'https://www.mountainproject.com/route/112571304/routes-beyond-morning-glory', 'https://www.mountainproject.com/route/112571230/spring-peepers', 'https://www.mountainproject.com/route/112571279/thin-man', 'https://www.mountainproject.com/route/112571253/whispering-pines']"
8,8,https://www.mountainproject.com/area/113664968/3-trailside-rocks,3-trailside-rocks,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain']","['https://www.mountainproject.com/route/114043058/lizard', 'https://www.mountainproject.com/route/113675705/optimist-sds', 'https://www.mountainproject.com/route/113675738/pessimist', 'https://www.mountainproject.com/route/114128419/poacher', 'https://www.mountainproject.com/route/113664976/prehistoric', 'https://www.mountainproject.com/route/113722555/single-handed', 'https://www.mountainproject.com/route/114128405/yield-sign']"
9,9,https://www.mountainproject.com/area/108051741/firewall,firewall,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/106414769/bradley-mountain']","['https://www.mountainproject.com/area/110332156/firewall-boulder', 'https://www.mountainproject.com/area/106414781/historical-routes']"
10,10,https://www.mountainproject.com/area/105800349/main-walls,main-walls,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/109407542/cathole-mountain']","['https://www.mountainproject.com/route/109038888/acid-reign', 'https://www.mountainproject.com/route/105910892/arrowhead', 'https://www.mountainproject.com/route/106231611/block-of-ages', 'https://www.mountainproject.com/route/112573158/call-it-41a', 'https://www.mountainproject.com/route/106368422/cat-o-nine-tails', 'https://www.mountainproject.com/route/108192123/catapult', 'https://www.mountainproject.com/route/106368387/catatonia', 'https://www.mountainproject.com/route/106092227/chimney-top-corner', 'https://www.mountainproject.com/route/106231601/claw-marks', 'https://www.mountainproject.com/route/106092214/danzig', 'https://www.mountainproject.com/route/107701668/elegant-monkey', 'https://www.mountainproject.com/route/112098724/feline', 'https://www.mountainproject.com/route/108897755/fools-mate', 'https://www.mountainproject.com/route/108898038/friday-the-thirteenth', 'https://www.mountainproject.com/route/105800451/golden-book', 'https://www.mountainproject.com/route/106091373/imperial-wizard', 'https://www.mountainproject.com/route/105986873/jaguar', 'https://www.mountainproject.com/route/106091385/millions-of-dead-dogs', 'https://www.mountainproject.com/route/105976976/mind-bender-direct', 'https://www.mountainproject.com/route/105800352/pegasus', 'https://www.mountainproject.com/route/106092236/phantasmagoria', 'https://www.mountainproject.com/route/106368399/pink-elephants', 'https://www.mountainproject.com/route/105910888/realm-of-the-senses', 'https://www.mountainproject.com/route/106091379/saturday-night-special', 'https://www.mountainproject.com/route/107926980/triple-direct', 'https://www.mountainproject.com/route/105986889/white-fandango']"
11,11,https://www.mountainproject.com/area/109407546/southern-wall,southern-wall,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/109407542/cathole-mountain']","['https://www.mountainproject.com/route/109408381/feed-the-cat', 'https://www.mountainproject.com/route/109410513/mickey-mouse', 'https://www.mountainproject.com/route/109408265/tomcat', 'https://www.mountainproject.com/route/109410386/whiskers']"
12,12,https://www.mountainproject.com/area/106079355/amphitheater,amphitheater,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105800461/east-peak']","['https://www.mountainproject.com/route/106388136/black-corner', 'https://www.mountainproject.com/route/106082548/cat-crack', 'https://www.mountainproject.com/route/106042212/dol-guldur', 'https://www.mountainproject.com/route/107199484/grey-corner', 'https://www.mountainproject.com/route/107810927/in-the-presence-of-god', 'https://www.mountainproject.com/route/107810935/pearly-gates', 'https://www.mountainproject.com/route/106079580/rat-crack', 'https://www.mountainproject.com/route/106986189/sickle', 'https://www.mountainproject.com/route/106082555/squirrel-cage', 'https://www.mountainproject.com/route/107199499/stepping-razor', 'https://www.mountainproject.com/route/106632213/superstructure', 'https://www.mountainproject.com/route/107810944/toxic-shock', 'https://www.mountainproject.com/route/107810917/volcanic-eruption']"
13,13,https://www.mountainproject.com/area/106079349/castle-crag,castle-crag,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105800461/east-peak']",[]
14,14,https://www.mountainproject.com/area/107810684/dihedral-section,dihedral-section,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105800461/east-peak']","['https://www.mountainproject.com/route/108360407/crossover', 'https://www.mountainproject.com/route/107811345/downcast', 'https://www.mountainproject.com/route/108360240/letterbox', 'https://www.mountainproject.com/route/107811394/lost-corner']"
15,15,https://www.mountainproject.com/area/106242258/fall-wall,fall-wall,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105800461/east-peak']","['https://www.mountainproject.com/route/108164777/crossroads', 'https://www.mountainproject.com/route/106242275/falling-star', 'https://www.mountainproject.com/route/107938796/hercules-unchained', 'https://www.mountainproject.com/route/106242261/reflections-of-fall', 'https://www.mountainproject.com/route/108164787/stallion', 'https://www.mountainproject.com/route/107938143/super-power', 'https://www.mountainproject.com/route/112984944/trial-and-triumph']"
16,16,https://www.mountainproject.com/area/105877305/merimere-face,merimere-face,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105800461/east-peak']","['https://www.mountainproject.com/route/107750295/lightening-strike', 'https://www.mountainproject.com/route/105800466/thors-hammer', 'https://www.mountainproject.com/route/111919104/thunder-bolt-crack']"
17,17,https://www.mountainproject.com/area/107810817/rite-of-spring,rite-of-spring,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105800461/east-peak']","['https://www.mountainproject.com/route/108161851/april-shower', 'https://www.mountainproject.com/route/108160969/modern-eyes', 'https://www.mountainproject.com/route/108161030/out-to-pasture', 'https://www.mountainproject.com/route/107938139/pagan-ritual', 'https://www.mountainproject.com/route/106986137/rite-of-spring', 'https://www.mountainproject.com/route/108854366/twin-crack-left', 'https://www.mountainproject.com/route/108164283/twin-crack-right']"
18,18,https://www.mountainproject.com/area/108360461/the-alcove,the-alcove,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105800461/east-peak']","['https://www.mountainproject.com/route/106040292/midsummers-day-dream', 'https://www.mountainproject.com/route/108362999/much-ado-about-nothing', 'https://www.mountainproject.com/route/108360552/taming-of-the-shrew']"
19,19,https://www.mountainproject.com/area/105877799/a-frame-wall,a-frame-wall,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105877744/pinnacle-rock']","['https://www.mountainproject.com/route/107574505/a-frame', 'https://www.mountainproject.com/route/112205675/age-of-dinosaurs', 'https://www.mountainproject.com/route/107595441/badlands', 'https://www.mountainproject.com/route/107770188/double-crutch', 'https://www.mountainproject.com/route/106928935/lil-roofs', 'https://www.mountainproject.com/route/105877803/mossad', 'https://www.mountainproject.com/route/108397101/superstitions', 'https://www.mountainproject.com/route/107595472/wild-and-woolly']"
20,20,https://www.mountainproject.com/area/106050777/cracked-wall,cracked-wall,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105877744/pinnacle-rock']","['https://www.mountainproject.com/route/107768356/beans-and-franks', 'https://www.mountainproject.com/route/106215347/first-crack', 'https://www.mountainproject.com/route/107768382/montana-wildhack', 'https://www.mountainproject.com/route/108121472/quasar', 'https://www.mountainproject.com/route/112572560/scalped', 'https://www.mountainproject.com/route/106051970/second-crack', 'https://www.mountainproject.com/route/107768287/sixth-sense', 'https://www.mountainproject.com/route/106077586/tasmanian-devil', 'https://www.mountainproject.com/route/106051974/third-crack', 'https://www.mountainproject.com/route/107697287/tomahawk', 'https://www.mountainproject.com/route/112572555/watch-me']"
21,21,https://www.mountainproject.com/area/107769200/dream-weaver-wall,dream-weaver-wall,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105877744/pinnacle-rock']","['https://www.mountainproject.com/route/107769214/dream-weaver', 'https://www.mountainproject.com/route/107768973/great-expectations', 'https://www.mountainproject.com/route/106368454/locomotive-breath', 'https://www.mountainproject.com/route/108357848/psycho-path', 'https://www.mountainproject.com/route/106368461/tiptoe']"
22,22,https://www.mountainproject.com/area/105877776/emerald-city-slab,emerald-city-slab,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105877744/pinnacle-rock']","['https://www.mountainproject.com/route/112572585/cowardly-lion', 'https://www.mountainproject.com/route/105920465/emerald-city', 'https://www.mountainproject.com/route/107204088/scarecrow', 'https://www.mountainproject.com/route/107221908/tin-man', 'https://www.mountainproject.com/route/107221892/wizard-of-oz']"
23,23,https://www.mountainproject.com/area/107191684/entertainer-wall,entertainer-wall,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105877744/pinnacle-rock']","['https://www.mountainproject.com/route/107697158/casual-corner', 'https://www.mountainproject.com/route/107770414/the-entertainer', 'https://www.mountainproject.com/route/107769137/funshine', 'https://www.mountainproject.com/route/107770176/narrowing-experience', 'https://www.mountainproject.com/route/107191688/sunshine']"
24,24,https://www.mountainproject.com/area/107847767/lone-pine,lone-pine,"['https://www.mountainproject.com/area/105806977/connecticut', 'https://www.mountainproject.com/area/106076672/central-valley', 'https://www.mountainproject.com/area/105877744/pinnacle-rock']","['https://www.mountainproject.com/route/107991441/calculus', 'https://www.mountainproject.com/route/107991446/correlation-of-forces', 'https://www.mountainproject.com/route/107991486/max-factor', 'https://www.mountainproject.com/route/107991496/pine-ledge', 'https://www.mountainproject.com/route/107847773/supermantel', 'https://www.mountainproject.com/route/107849105/superslab', 'https://www.mountainproject.com/route/107991434/thermodynamics', 'https://www.mountainproject.com/route/107991462/toil-and-trouble', 'https://www.mountainproject.com/route/107991454/toss-the-beagle']"
