,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107523825/end-of-the-world-deep-water-solo-cave,end-of-the-world-deep-water-solo-cave,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']","['https://www.mountainproject.com/route/107526170/crab-traverse-dws', 'https://www.mountainproject.com/route/110479963/dong-central-station', 'https://www.mountainproject.com/route/111866230/if-youre-ballzy-enough', 'https://www.mountainproject.com/route/107523832/rip-hide-dws']"
1,1,https://www.mountainproject.com/area/106612160/getto-rock,getto-rock,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']",[]
2,2,https://www.mountainproject.com/area/107212772/kilauea-iki-crater,kilauea-iki-crater,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']","['https://www.mountainproject.com/route/107212803/broda-iz', 'https://www.mountainproject.com/route/107212787/mark-of-the-haole']"
3,3,https://www.mountainproject.com/area/111110117/kua-bay,kua-bay,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']","['https://www.mountainproject.com/route/111110207/rip-rock', 'https://www.mountainproject.com/route/111110910/sandy-butt', 'https://www.mountainproject.com/route/111110861/shredder-is-a-turtle', 'https://www.mountainproject.com/route/111110889/touch-o-green', 'https://www.mountainproject.com/route/111110873/water-moccasin']"
4,4,https://www.mountainproject.com/area/114206306/mauna-kea,mauna-kea,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']",['https://www.mountainproject.com/route/114206314/bodybag']
5,5,https://www.mountainproject.com/area/109069723/papakolea-beach-green-sand-beach,papakolea-beach-green-sand-beach,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']","['https://www.mountainproject.com/route/114072013/olivines-crack', 'https://www.mountainproject.com/route/109069731/peles-melee']"
6,6,https://www.mountainproject.com/area/110164587/south-point-cliffs,south-point-cliffs,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']","['https://www.mountainproject.com/route/110138512/the-blowhole-dws', 'https://www.mountainproject.com/route/110164596/hightide-pocket']"
7,7,https://www.mountainproject.com/area/112262304/waianuenue,waianuenue,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264557/hawaii-big-island']",[]
8,8,https://www.mountainproject.com/area/114295600/dragons-breath-area-bouldering,dragons-breath-area-bouldering,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264168/kauai', 'https://www.mountainproject.com/area/114293079/dragons-breath']","['https://www.mountainproject.com/route/114376915/blind-justice', 'https://www.mountainproject.com/route/114408813/the-bone-dragon', 'https://www.mountainproject.com/route/114564768/chasing-the-dragon', 'https://www.mountainproject.com/route/114405996/dead-eye-cajun', 'https://www.mountainproject.com/route/114468917/door-to-the-dragons-lair', 'https://www.mountainproject.com/route/114376048/the-dragons-egg-left', 'https://www.mountainproject.com/route/114376056/the-dragons-egg-right', 'https://www.mountainproject.com/route/114376075/the-dragons-egg', 'https://www.mountainproject.com/route/114295624/the-dragons-talon', 'https://www.mountainproject.com/route/114431907/ere-be-dragons', 'https://www.mountainproject.com/route/114406009/haunting-the-flesh', 'https://www.mountainproject.com/route/114431967/jewel-sonar', 'https://www.mountainproject.com/route/114376743/molting-lava', 'https://www.mountainproject.com/route/114468413/night-fury', 'https://www.mountainproject.com/route/114431976/obsidious', 'https://www.mountainproject.com/route/114295745/resting-in-pieces', 'https://www.mountainproject.com/route/114405960/scalariform', 'https://www.mountainproject.com/route/114405936/scalene', 'https://www.mountainproject.com/route/114376111/shedding-skin', 'https://www.mountainproject.com/route/114405974/snake-rattle-troll', 'https://www.mountainproject.com/route/114405916/tipping-the-scales']"
9,9,https://www.mountainproject.com/area/114303888/dragons-breath-vicinity,dragons-breath-vicinity,"['https://www.mountainproject.com/area/106316122/hawaii', 'https://www.mountainproject.com/area/109264168/kauai', 'https://www.mountainproject.com/area/114293079/dragons-breath']","['https://www.mountainproject.com/route/114376932/at-wits-end', 'https://www.mountainproject.com/route/114303905/driving-me-up-the-walls', 'https://www.mountainproject.com/route/114557144/raising-kane']"
