,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107290939/bardini-wall,bardini-wall,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']","['https://www.mountainproject.com/route/107290942/bardini-wall', 'https://www.mountainproject.com/route/107290949/coral-sea']"
1,1,https://www.mountainproject.com/area/108131830/james-bond-wall,james-bond-wall,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']","['https://www.mountainproject.com/route/108131852/barely-legal', 'https://www.mountainproject.com/route/108131844/dr-no', 'https://www.mountainproject.com/route/108131859/high-society', 'https://www.mountainproject.com/route/108131834/oddjob', 'https://www.mountainproject.com/route/108863772/thunderball']"
2,2,https://www.mountainproject.com/area/108132027/lower-canyon-slabs,lower-canyon-slabs,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']","['https://www.mountainproject.com/route/108132052/it-aint-a-perfect-world', 'https://www.mountainproject.com/route/108132044/same-at-it-never-was', 'https://www.mountainproject.com/route/108132032/wish-list']"
3,3,https://www.mountainproject.com/area/107290458/shade-wall,shade-wall,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']","['https://www.mountainproject.com/route/107290463/nappy-dread', 'https://www.mountainproject.com/route/107290511/spirit-world']"
4,4,https://www.mountainproject.com/area/108131896/sky-buttress,sky-buttress,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']",['https://www.mountainproject.com/route/108131904/pocket-full-of-corprolite']
5,5,https://www.mountainproject.com/area/107290478/sun-slab,sun-slab,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']","['https://www.mountainproject.com/route/107290501/curious-george', 'https://www.mountainproject.com/route/107290481/the-grinch', 'https://www.mountainproject.com/route/107290489/ms-rumphius']"
6,6,https://www.mountainproject.com/area/111773110/texas-barbecue,texas-barbecue,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']","['https://www.mountainproject.com/route/111773138/acupuncture-slab', 'https://www.mountainproject.com/route/111773115/texas-barbecue', 'https://www.mountainproject.com/route/111773128/weaner-dogs-ripped-my-flesh']"
7,7,https://www.mountainproject.com/area/107295534/the-narrows-left-side,the-narrows-left-side,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']","['https://www.mountainproject.com/route/115153025/canvas-of-the-sheepeaters', 'https://www.mountainproject.com/route/107295541/lemhi-winds', 'https://www.mountainproject.com/route/107295552/the-thread']"
8,8,https://www.mountainproject.com/area/111773081/the-narrows-right-side,the-narrows-right-side,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/107290450/box-canyon']",['https://www.mountainproject.com/route/111773086/rite-of-passage']
9,9,https://www.mountainproject.com/area/115381452/bell-mountain,bell-mountain,"['https://www.mountainproject.com/area/105708958/idaho', 'https://www.mountainproject.com/area/112960905/central-idaho', 'https://www.mountainproject.com/area/111690117/lemhi-range']","['https://www.mountainproject.com/route/115381541/south-face', 'https://www.mountainproject.com/route/115382082/southwest-gully', 'https://www.mountainproject.com/route/115381511/west-face']"
