,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/111453350/accelerant-boulder,accelerant-boulder,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/111446431/firemans-park-bouldering-area']",[]
1,1,https://www.mountainproject.com/area/111446463/arson-boulder,arson-boulder,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/111446431/firemans-park-bouldering-area']","['https://www.mountainproject.com/route/111446634/arson-arete', 'https://www.mountainproject.com/route/111446477/singed-hair']"
2,2,https://www.mountainproject.com/area/111446641/burn-ban-boulder,burn-ban-boulder,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/111446431/firemans-park-bouldering-area']",['https://www.mountainproject.com/route/111446648/grass-fire']
3,3,https://www.mountainproject.com/area/111446677/fireplace-rock,fireplace-rock,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/111446431/firemans-park-bouldering-area']",['https://www.mountainproject.com/route/111446682/santas-escape']
4,4,https://www.mountainproject.com/area/111448980/fireworks-boulder,fireworks-boulder,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/111446431/firemans-park-bouldering-area']","['https://www.mountainproject.com/route/111449147/black-cat-arete', 'https://www.mountainproject.com/route/111449280/kids-with-sparklers', 'https://www.mountainproject.com/route/111449269/m-80', 'https://www.mountainproject.com/route/111449161/roman-candle-war', 'https://www.mountainproject.com/route/111449287/smoke-bombs-away', 'https://www.mountainproject.com/route/111449152/spin-the-bottle-rocket']"
5,5,https://www.mountainproject.com/area/111449299/paramedics-dream-boulder,paramedics-dream-boulder,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/111446431/firemans-park-bouldering-area']",[]
6,6,https://www.mountainproject.com/area/112152208/bugler-pinnacle,bugler-pinnacle,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/112150660/french-missionary']",[]
7,7,https://www.mountainproject.com/area/112152268/lily-wall,lily-wall,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/112150660/french-missionary']",[]
8,8,https://www.mountainproject.com/area/112152163/meadow-slab,meadow-slab,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/112150660/french-missionary']",[]
9,9,https://www.mountainproject.com/area/106670927/lincoln-woods-ri,lincoln-woods-ri,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/106670770/george-washington-management-area']",['https://www.mountainproject.com/route/106670951/wedge']
10,10,https://www.mountainproject.com/area/112785985/discovery-field,discovery-field,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/108307056/mississippi', 'https://www.mountainproject.com/area/108441147/catahoula-boulderfield']",[]
11,11,https://www.mountainproject.com/area/112785980/monster-boulder,monster-boulder,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/108307056/mississippi', 'https://www.mountainproject.com/area/108441147/catahoula-boulderfield']",[]
12,12,https://www.mountainproject.com/area/112785842/phenomenom-boulder,phenomenom-boulder,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/108307056/mississippi', 'https://www.mountainproject.com/area/108441147/catahoula-boulderfield']","['https://www.mountainproject.com/route/112785883/a-hole', 'https://www.mountainproject.com/route/112867946/azkabar', 'https://www.mountainproject.com/route/112785859/big-leg-hair', 'https://www.mountainproject.com/route/112785876/dunkey-butt', 'https://www.mountainproject.com/route/112785855/ezgb', 'https://www.mountainproject.com/route/112785888/flake-up', 'https://www.mountainproject.com/route/112820552/loungin', 'https://www.mountainproject.com/route/112785864/slovak-traverse', 'https://www.mountainproject.com/route/112785896/solo-boulder']"
13,13,https://www.mountainproject.com/area/112785974/the-great-wall,the-great-wall,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/108307056/mississippi', 'https://www.mountainproject.com/area/108441147/catahoula-boulderfield']",[]
14,14,https://www.mountainproject.com/area/113684817/biloxi,biloxi,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/108307056/mississippi', 'https://www.mountainproject.com/area/112557436/mississippi-gulf-coast-buildering']","['https://www.mountainproject.com/route/113685027/dinoless', 'https://www.mountainproject.com/route/113684941/nates-route', 'https://www.mountainproject.com/route/113685105/unnamed-v0']"
15,15,https://www.mountainproject.com/area/115336534/corn-flakes-area,corn-flakes-area,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/108307056/mississippi', 'https://www.mountainproject.com/area/108324934/tishomingo']","['https://www.mountainproject.com/route/115336827/bud-wiser', 'https://www.mountainproject.com/route/115336881/hang-over-right', 'https://www.mountainproject.com/route/115336921/muscle-city-direct']"
16,16,https://www.mountainproject.com/area/108324964/jeans-overhang,jeans-overhang,"['https://www.mountainproject.com/area/105798164/in-progress', 'https://www.mountainproject.com/area/108307056/mississippi', 'https://www.mountainproject.com/area/108324934/tishomingo']","['https://www.mountainproject.com/route/111181994/discontinuous', 'https://www.mountainproject.com/route/111181966/fools-delight', 'https://www.mountainproject.com/route/115326988/jeans-overhang', 'https://www.mountainproject.com/route/115336692/mental-block', 'https://www.mountainproject.com/route/111181926/sky-divers-delight-center-variation', 'https://www.mountainproject.com/route/115327195/skydiver-right', 'https://www.mountainproject.com/route/111181950/southern-belles-climb', 'https://www.mountainproject.com/route/111181788/stumbling-blocks', 'https://www.mountainproject.com/route/115327295/stumbling-blocks']"
