,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106169527/cult-boulder,cult-boulder,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']",['https://www.mountainproject.com/route/106169538/cult-of-one']
1,1,https://www.mountainproject.com/area/106169506/h-boulders,h-boulders,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']","['https://www.mountainproject.com/route/106169509/go-fish', 'https://www.mountainproject.com/route/106169514/splash-traverse']"
2,2,https://www.mountainproject.com/area/106169464/heinousness-wall,heinousness-wall,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']","['https://www.mountainproject.com/route/108293890/catcher-in-the-rye', 'https://www.mountainproject.com/route/108242059/clocks', 'https://www.mountainproject.com/route/112224924/dont-eat-that-sandwich', 'https://www.mountainproject.com/route/110006169/johnnys-lunge', 'https://www.mountainproject.com/route/106169472/kundilini', 'https://www.mountainproject.com/route/115354320/kundilini-direct', 'https://www.mountainproject.com/route/108293918/marks-lunge', 'https://www.mountainproject.com/route/108293852/the-politician', 'https://www.mountainproject.com/route/108242051/ru-sirius', 'https://www.mountainproject.com/route/108293866/the-racist', 'https://www.mountainproject.com/route/106169476/religion', 'https://www.mountainproject.com/route/114336506/risky-business', 'https://www.mountainproject.com/route/106169467/stairway-right']"
3,3,https://www.mountainproject.com/area/108293938/peach-wall,peach-wall,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']","['https://www.mountainproject.com/route/112799496/in-a-jam', 'https://www.mountainproject.com/route/115131685/peach-dihedral', 'https://www.mountainproject.com/route/108293941/peachstress', 'https://www.mountainproject.com/route/112799532/pocket-rocket', 'https://www.mountainproject.com/route/112788270/skin-massacre', 'https://www.mountainproject.com/route/112788310/soft-and-supple']"
4,4,https://www.mountainproject.com/area/106169578/pink-boulder,pink-boulder,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']",['https://www.mountainproject.com/route/106169581/the-thighmaster']
5,5,https://www.mountainproject.com/area/106169591/strawberry-fields,strawberry-fields,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']","['https://www.mountainproject.com/route/114164453/cirque-du-soleil', 'https://www.mountainproject.com/route/113744699/commencement', 'https://www.mountainproject.com/route/114151496/the-contortionist', 'https://www.mountainproject.com/route/111853700/eggs-and-bakey', 'https://www.mountainproject.com/route/106169594/hoosier-daddy', 'https://www.mountainproject.com/route/110582441/hoosier-mama', 'https://www.mountainproject.com/route/111593780/osiris', 'https://www.mountainproject.com/route/110582475/strawberry-fields', 'https://www.mountainproject.com/route/106169598/yertle']"
6,6,https://www.mountainproject.com/area/106169487/tangerine-wall,tangerine-wall,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']","['https://www.mountainproject.com/route/110006207/hicks-on-skoal', 'https://www.mountainproject.com/route/106169603/ivy-league', 'https://www.mountainproject.com/route/110006186/paisley-dragon', 'https://www.mountainproject.com/route/106169490/the-red-hot-chili-pepper', 'https://www.mountainproject.com/route/114117692/red-not-chili-pepper', 'https://www.mountainproject.com/route/106265582/rogue-dentistry', 'https://www.mountainproject.com/route/106169494/the-spider', 'https://www.mountainproject.com/route/110006321/tangerine', 'https://www.mountainproject.com/route/111385074/wildflower', 'https://www.mountainproject.com/route/115371498/with-empty-hands']"
7,7,https://www.mountainproject.com/area/106169559/zeppelin-boulder,zeppelin-boulder,"['https://www.mountainproject.com/area/112389571/indiana', 'https://www.mountainproject.com/area/106169460/muscatatuck-county-park']","['https://www.mountainproject.com/route/106169570/bron-y-aur', 'https://www.mountainproject.com/route/106169563/down-by-the-river']"
8,8,https://www.mountainproject.com/area/112844776/garfield-park-railroad-bridge,garfield-park-railroad-bridge,['https://www.mountainproject.com/area/112389571/indiana'],[]
9,9,https://www.mountainproject.com/area/112804985/hemlock-cliffs,hemlock-cliffs,['https://www.mountainproject.com/area/112389571/indiana'],"['https://www.mountainproject.com/route/114546645/molly-lou', 'https://www.mountainproject.com/route/112939099/sand-box']"
