,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106956366/backbone-east,backbone-east,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106458117/backbone-state-park', 'https://www.mountainproject.com/area/106956352/devils-backbone']","['https://www.mountainproject.com/route/106957905/and-then-she-fell', 'https://www.mountainproject.com/route/106957920/coles-calamity', 'https://www.mountainproject.com/route/106957875/compound-fracture', 'https://www.mountainproject.com/route/106957909/fat-mans-crack', 'https://www.mountainproject.com/route/106957942/feces-face', 'https://www.mountainproject.com/route/106957937/feces-mammalius', 'https://www.mountainproject.com/route/106957926/glenoids-labrum', 'https://www.mountainproject.com/route/106957884/herniated-disk', 'https://www.mountainproject.com/route/106957932/slimer', 'https://www.mountainproject.com/route/106957914/temple-of-doom']"
1,1,https://www.mountainproject.com/area/106956359/backbone-west,backbone-west,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106458117/backbone-state-park', 'https://www.mountainproject.com/area/106956352/devils-backbone']","['https://www.mountainproject.com/route/107717918/devils-hideaway', 'https://www.mountainproject.com/route/112062265/monster-crack']"
2,2,https://www.mountainproject.com/area/106458123/backbone-trail-area,backbone-trail-area,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106458117/backbone-state-park']",[]
3,3,https://www.mountainproject.com/area/106947239/cake-walk-and-razor-wall,cake-walk-and-razor-wall,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106458117/backbone-state-park']","['https://www.mountainproject.com/route/106956306/cake-walk', 'https://www.mountainproject.com/route/106956330/the-razor', 'https://www.mountainproject.com/route/106956324/shagadelic-humper-bumper']"
4,4,https://www.mountainproject.com/area/106956352/devils-backbone,devils-backbone,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106458117/backbone-state-park']",['https://www.mountainproject.com/area/106956366/backbone-east']
5,5,https://www.mountainproject.com/area/106947227/drive-in-wall,drive-in-wall,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106458117/backbone-state-park']","['https://www.mountainproject.com/route/106956228/a-wall', 'https://www.mountainproject.com/route/106956263/bride-of-nemesis', 'https://www.mountainproject.com/route/106956212/lefty-and-poncho', 'https://www.mountainproject.com/route/106956249/nemesis', 'https://www.mountainproject.com/route/106956271/slot-machine', 'https://www.mountainproject.com/route/106956299/spinal-tap', 'https://www.mountainproject.com/route/106956280/stairway-to-heaven']"
6,6,https://www.mountainproject.com/area/106394917/cattesse-hollow,cattesse-hollow,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106383258/dubuque']","['https://www.mountainproject.com/route/106394939/420-cliff', 'https://www.mountainproject.com/route/106394921/crack-face']"
7,7,https://www.mountainproject.com/area/106383282/softball-crags,softball-crags,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106383258/dubuque']",['https://www.mountainproject.com/route/106383285/homerun']
8,8,https://www.mountainproject.com/area/108470932/black-hawk-wall-respect-closures,black-hawk-wall-respect-closures,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']",[]
9,9,https://www.mountainproject.com/area/108470939/blue-groove,blue-groove,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']","['https://www.mountainproject.com/route/114525586/29', 'https://www.mountainproject.com/route/114525575/blue-groove', 'https://www.mountainproject.com/route/106935143/boiler', 'https://www.mountainproject.com/route/114525559/sakul', 'https://www.mountainproject.com/route/114525567/samurai']"
10,10,https://www.mountainproject.com/area/108470943/boneless-chicken-ranch,boneless-chicken-ranch,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']","['https://www.mountainproject.com/route/106272625/bat-attack', 'https://www.mountainproject.com/route/106272609/between-the-sheets', 'https://www.mountainproject.com/route/106272614/crap-attack', 'https://www.mountainproject.com/route/106272590/fighting-fish', 'https://www.mountainproject.com/route/106272595/flavor-blasted-spermacide', 'https://www.mountainproject.com/route/108405362/hit-the-atmosphere', 'https://www.mountainproject.com/route/106272604/in-through-the-outhole', 'https://www.mountainproject.com/route/106272599/spearhead', 'https://www.mountainproject.com/route/106272620/talent-show']"
11,11,https://www.mountainproject.com/area/108470925/boulevard-wall,boulevard-wall,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']","['https://www.mountainproject.com/route/106873148/burnin-hell', 'https://www.mountainproject.com/route/106873152/drillin-hoes', 'https://www.mountainproject.com/route/106279756/el-diablo', 'https://www.mountainproject.com/route/106279745/go-left', 'https://www.mountainproject.com/route/106873157/horrible-chimney-route', 'https://www.mountainproject.com/route/106281632/no-response', 'https://www.mountainproject.com/route/106281637/ordinary-freak', 'https://www.mountainproject.com/route/106279751/ward-off']"
12,12,https://www.mountainproject.com/area/108470951/golden-bowl-red-rocks-south-face,golden-bowl-red-rocks-south-face,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']",[]
13,13,https://www.mountainproject.com/area/108470928/mother-wall,mother-wall,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']","['https://www.mountainproject.com/route/106934851/c-n-red', 'https://www.mountainproject.com/route/110754872/dib-doin-it-backwards', 'https://www.mountainproject.com/route/106934855/doin-the-smurf']"
14,14,https://www.mountainproject.com/area/108470948/red-rock-northeast-face-respect-closures,red-rock-northeast-face-respect-closures,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']",[]
15,15,https://www.mountainproject.com/area/108470954/trenchtown,trenchtown,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106272587/indian-bluffs']",[]
16,16,https://www.mountainproject.com/area/111717584/climb-iowa,climb-iowa,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/108504811/indoor-climbing-walls']",[]
17,17,https://www.mountainproject.com/area/112887284/long-lines-family-rec-center,long-lines-family-rec-center,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/108504811/indoor-climbing-walls']",['https://www.mountainproject.com/route/112887290/natural-born-thriller']
18,18,https://www.mountainproject.com/area/108504817/university-of-iowa-recreation-center,university-of-iowa-recreation-center,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/108504811/indoor-climbing-walls']","['https://www.mountainproject.com/route/108505029/floor-to-ceiling-crack', 'https://www.mountainproject.com/route/108505005/ledges-on-the-left', 'https://www.mountainproject.com/route/108505039/right-most-arete']"
19,19,https://www.mountainproject.com/area/110549036/alcove-boulder,alcove-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/110576323/adorned-with-thorns', 'https://www.mountainproject.com/route/110576305/baby-swiss', 'https://www.mountainproject.com/route/110576183/death-screams', 'https://www.mountainproject.com/route/110576311/making-momma-happy', 'https://www.mountainproject.com/route/110576174/survival-of-the-fattest', 'https://www.mountainproject.com/route/110576315/tuck-your-sack-back']"
20,20,https://www.mountainproject.com/area/111212956/bae-wall-boulder,bae-wall-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/112166004/bae-wall-direct', 'https://www.mountainproject.com/route/112106369/bae-watch', 'https://www.mountainproject.com/route/111213682/hang-man']"
21,21,https://www.mountainproject.com/area/110549080/barbed-wire-boulder,barbed-wire-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/111200151/blumpy', 'https://www.mountainproject.com/route/110910664/kickin-it', 'https://www.mountainproject.com/route/111711435/penis-envy']"
22,22,https://www.mountainproject.com/area/111711421/community-college-boulder,community-college-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/111713373/carpet-shag', 'https://www.mountainproject.com/route/111757461/stretch']"
23,23,https://www.mountainproject.com/area/112104599/dip-boulder,dip-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/112304704/jack-lynx', 'https://www.mountainproject.com/route/112300987/juggs-haul', 'https://www.mountainproject.com/route/112104889/logans-climb', 'https://www.mountainproject.com/route/112104887/patricks-climb', 'https://www.mountainproject.com/route/112304683/ron-storm-is-my-hero', 'https://www.mountainproject.com/route/112301037/slim-jim', 'https://www.mountainproject.com/route/112304719/speed-ascent-of-the-nose']"
24,24,https://www.mountainproject.com/area/114586471/ecosystems-area,ecosystems-area,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']",['https://www.mountainproject.com/route/114586483/hollow-earth']
25,25,https://www.mountainproject.com/area/110549014/freshman-boulder,freshman-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/110576496/all-nighter', 'https://www.mountainproject.com/route/110576487/druken-roomate', 'https://www.mountainproject.com/route/110576507/entrance-exam', 'https://www.mountainproject.com/route/114586441/field-trips-and-drop-outs', 'https://www.mountainproject.com/route/110576500/final-exam', 'https://www.mountainproject.com/route/110576492/home-sick', 'https://www.mountainproject.com/route/112304658/too-much-adderall', 'https://www.mountainproject.com/route/110576483/tuition-hike']"
26,26,https://www.mountainproject.com/area/110548992/furniture-boulder,furniture-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/110553545/furniture-traverse', 'https://www.mountainproject.com/route/110553560/love-sac', 'https://www.mountainproject.com/route/110553489/missionary-style', 'https://www.mountainproject.com/route/110553553/tongue-n-groove']"
27,27,https://www.mountainproject.com/area/110548961/jt-boulder,jt-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/110549279/butt-scratcher-traverse', 'https://www.mountainproject.com/route/110549272/gone-missing', 'https://www.mountainproject.com/route/110549268/grounded', 'https://www.mountainproject.com/route/110549251/looking-for-jt']"
28,28,https://www.mountainproject.com/area/111213583/kitten-wall,kitten-wall,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']",['https://www.mountainproject.com/route/111213617/shittin-kittens']
29,29,https://www.mountainproject.com/area/111213654/lp-wall,lp-wall,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/111213744/rise-up', 'https://www.mountainproject.com/route/111213673/sure-shot']"
30,30,https://www.mountainproject.com/area/112246443/merky-bottom-boulder,merky-bottom-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/112246481/group-hug', 'https://www.mountainproject.com/route/112246447/merky-bottom-boys']"
31,31,https://www.mountainproject.com/area/110549023/morell-boulder,morell-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/110561160/natural-high', 'https://www.mountainproject.com/route/110558683/on-the-prowl', 'https://www.mountainproject.com/route/110561167/out-shroomin']"
32,32,https://www.mountainproject.com/area/110549199/music-man-boulder,music-man-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/112163472/acapella', 'https://www.mountainproject.com/route/111711383/no-quarter', 'https://www.mountainproject.com/route/112784318/waking-the-cadaver']"
33,33,https://www.mountainproject.com/area/110549068/project-boulder,project-boulder,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/113083150/halfhearted', 'https://www.mountainproject.com/route/112166014/the-oardeal-of-the-boats', 'https://www.mountainproject.com/route/111212807/skidloader', 'https://www.mountainproject.com/route/111716069/welcome-to-gumby-town']"
34,34,https://www.mountainproject.com/area/112892591/quantum-chromodynamics-area,quantum-chromodynamics-area,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/113100332/entanglement', 'https://www.mountainproject.com/route/112892663/intergallactic-microwaves', 'https://www.mountainproject.com/route/113100443/palm-over-palm', 'https://www.mountainproject.com/route/112892624/spontaneous-proton-decay', 'https://www.mountainproject.com/route/112892609/weak-nuclear-force', 'https://www.mountainproject.com/route/113100482/wubbalubbadubdub']"
35,35,https://www.mountainproject.com/area/111881667/upper-and-lower-boulders,upper-and-lower-boulders,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/110548916/joinerville-bouldering-only']","['https://www.mountainproject.com/route/112892517/boogs-big-dig', 'https://www.mountainproject.com/route/112892544/elementary-particles', 'https://www.mountainproject.com/route/112892558/infinite-density', 'https://www.mountainproject.com/route/111883097/martys-trash-party', 'https://www.mountainproject.com/route/112892574/particle-density']"
36,36,https://www.mountainproject.com/area/109515219/187-crag,187-crag,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/109515202/ozark-wildlife-area']","['https://www.mountainproject.com/route/114444976/aggregating-anenome', 'https://www.mountainproject.com/route/109532030/bottomed-out', 'https://www.mountainproject.com/route/113223327/fire-escape', 'https://www.mountainproject.com/route/113223161/jealous', 'https://www.mountainproject.com/route/109531932/night-skies', 'https://www.mountainproject.com/route/109532100/out-of-touch', 'https://www.mountainproject.com/route/114432948/overzealous', 'https://www.mountainproject.com/route/109515232/whippa-time', 'https://www.mountainproject.com/route/109515261/xenophobe', 'https://www.mountainproject.com/route/109532048/the-yang', 'https://www.mountainproject.com/route/109532038/the-yin']"
37,37,https://www.mountainproject.com/area/106271142/hoot-bluff,hoot-bluff,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/109515202/ozark-wildlife-area']","['https://www.mountainproject.com/route/106279698/back-in-the-groove', 'https://www.mountainproject.com/route/106271146/bad-to-the-bone', 'https://www.mountainproject.com/route/106271219/big-muddy', 'https://www.mountainproject.com/route/106271211/blastoid', 'https://www.mountainproject.com/route/106271181/blue-skies', 'https://www.mountainproject.com/route/106271207/bone-yard', 'https://www.mountainproject.com/route/106271194/caution-when-flashing', 'https://www.mountainproject.com/route/106271163/deer-crossing', 'https://www.mountainproject.com/route/106271199/golden-showers', 'https://www.mountainproject.com/route/106271167/gravity-amp', 'https://www.mountainproject.com/route/106271173/happy-hooker', 'https://www.mountainproject.com/route/106271203/happy-toes', 'https://www.mountainproject.com/route/106271155/liberal-tendencies', 'https://www.mountainproject.com/route/106271177/power-surge', 'https://www.mountainproject.com/route/106271185/to-di-for', 'https://www.mountainproject.com/route/106271226/today', 'https://www.mountainproject.com/route/106271190/turn-to-stone']"
38,38,https://www.mountainproject.com/area/106506229/boat-ramp-boulder-roadside-attraction,boat-ramp-boulder-roadside-attraction,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']",['https://www.mountainproject.com/route/106506232/unknown']
39,39,https://www.mountainproject.com/area/106847563/city-of-copper,city-of-copper,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']",[]
40,40,https://www.mountainproject.com/area/106415726/golden-arches,golden-arches,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']","['https://www.mountainproject.com/route/106415729/ronald', 'https://www.mountainproject.com/route/106415741/two-all-beef-patties-on-a-sesame-seed-bun']"
41,41,https://www.mountainproject.com/area/112317949/old-quaker-area,old-quaker-area,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']",['https://www.mountainproject.com/route/112318001/timmies-and-timmies']
42,42,https://www.mountainproject.com/area/113486569/orlando-buttress-four-points,orlando-buttress-four-points,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']",['https://www.mountainproject.com/route/113486572/fissure-of-orlando']
43,43,https://www.mountainproject.com/area/106404872/outlook,outlook,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']","['https://www.mountainproject.com/route/106404883/kippered-devi', 'https://www.mountainproject.com/route/106404876/nanda-herring']"
44,44,https://www.mountainproject.com/area/113690461/palisades-dows-preserve,palisades-dows-preserve,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']",['https://www.mountainproject.com/route/113690469/ring-trilogy']
45,45,https://www.mountainproject.com/area/106778631/party-cave,party-cave,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']",[]
46,46,https://www.mountainproject.com/area/108973534/pequod,pequod,"['https://www.mountainproject.com/area/106092653/iowa', 'https://www.mountainproject.com/area/106360444/palisades-kepler-state-park']","['https://www.mountainproject.com/route/108997965/ahab-direct', 'https://www.mountainproject.com/route/108997978/ishmael', 'https://www.mountainproject.com/route/108998033/quequeg', 'https://www.mountainproject.com/route/108997953/robs-diner']"
