,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/108093248/overlook-boulders,overlook-boulders,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/108093237/cedar-bluff']","['https://www.mountainproject.com/route/108093273/country-girls', 'https://www.mountainproject.com/route/108093252/fossil-boulder', 'https://www.mountainproject.com/route/108093287/hidalgo']"
1,1,https://www.mountainproject.com/area/106604234/maxs-cliff,maxs-cliff,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/107235369/crappie-cove-tuttle-creek-lake']",['https://www.mountainproject.com/route/106604238/maxs-traverse']
2,2,https://www.mountainproject.com/area/106604189/the-main-area,the-main-area,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/107235369/crappie-cove-tuttle-creek-lake']","['https://www.mountainproject.com/route/106604198/blimey', 'https://www.mountainproject.com/route/106605085/pariss-arrow']"
3,3,https://www.mountainproject.com/area/115166724/breakfast-boulder,breakfast-boulder,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/110418124/elk-city-area', 'https://www.mountainproject.com/area/110418263/memorial-overlook']","['https://www.mountainproject.com/route/115166823/grandmas-biscuits', 'https://www.mountainproject.com/route/115173620/wavy-gravy', 'https://www.mountainproject.com/route/115192977/brunch-time-arete', 'https://www.mountainproject.com/route/115192985/crimp-grits']"
4,4,https://www.mountainproject.com/area/110418294/kansas-corner-wall,kansas-corner-wall,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/110418124/elk-city-area', 'https://www.mountainproject.com/area/110418263/memorial-overlook']","['https://www.mountainproject.com/route/110418484/elk-city-sidepull', 'https://www.mountainproject.com/route/110418298/lightning-bolt-flakes', 'https://www.mountainproject.com/route/110418331/meadowlark-perch']"
5,5,https://www.mountainproject.com/area/110418385/memorial-wall,memorial-wall,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/110418124/elk-city-area', 'https://www.mountainproject.com/area/110418263/memorial-overlook']",['https://www.mountainproject.com/route/110418469/unknown-4-bolt-sport-route']
6,6,https://www.mountainproject.com/area/115165925/the-crack-house-boulder,the-crack-house-boulder,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/110418124/elk-city-area', 'https://www.mountainproject.com/area/110418263/memorial-overlook']",['https://www.mountainproject.com/route/115165968/a-crack-house-in-kansas']
7,7,https://www.mountainproject.com/area/115192872/the-fall-wall,the-fall-wall,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/110418124/elk-city-area', 'https://www.mountainproject.com/area/110418263/memorial-overlook']",['https://www.mountainproject.com/route/115192892/adios-mis-dos-dedos']
8,8,https://www.mountainproject.com/area/115192709/the-reef,the-reef,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/110418124/elk-city-area', 'https://www.mountainproject.com/area/110418263/memorial-overlook']","['https://www.mountainproject.com/route/115192846/kansas-coral', 'https://www.mountainproject.com/route/115192810/free-willy', 'https://www.mountainproject.com/route/115192828/lay-down', 'https://www.mountainproject.com/route/115192779/the-lean-back']"
9,9,https://www.mountainproject.com/area/115192916/yeet-city-arete,yeet-city-arete,"['https://www.mountainproject.com/area/107235316/kansas', 'https://www.mountainproject.com/area/110418124/elk-city-area', 'https://www.mountainproject.com/area/110418263/memorial-overlook']",['https://www.mountainproject.com/route/115192924/yates-city-danger']
