,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/111129478/buckeye-buttress,buckeye-buttress,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp', 'https://www.mountainproject.com/area/106124299/the-motherlode']","['https://www.mountainproject.com/route/106598936/ball-scratcher', 'https://www.mountainproject.com/route/106261131/buff-the-wood', 'https://www.mountainproject.com/route/108371294/the-chronic', 'https://www.mountainproject.com/route/111312748/the-cream-machine', 'https://www.mountainproject.com/route/106543000/golden-touch', 'https://www.mountainproject.com/route/106286388/heart-shaped-box', 'https://www.mountainproject.com/route/110343233/leftomaniac', 'https://www.mountainproject.com/route/107195921/one-eyed-willy-up-the-back', 'https://www.mountainproject.com/route/112278421/overdrive', 'https://www.mountainproject.com/route/107055948/the-reacharound', 'https://www.mountainproject.com/route/111378920/rug-muncher', 'https://www.mountainproject.com/route/106286382/stain', 'https://www.mountainproject.com/route/106164148/trad-sucker', 'https://www.mountainproject.com/route/106969274/twisted']"
1,1,https://www.mountainproject.com/area/111129488/gmc-wall,gmc-wall,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp', 'https://www.mountainproject.com/area/106124299/the-motherlode']","['https://www.mountainproject.com/route/106575765/8-ball', 'https://www.mountainproject.com/route/107055941/cutthroat', 'https://www.mountainproject.com/route/108646527/false-positive', 'https://www.mountainproject.com/route/106969294/hot-for-teacher', 'https://www.mountainproject.com/route/107055936/snooker', 'https://www.mountainproject.com/route/107152892/white-mans-overbite']"
2,2,https://www.mountainproject.com/area/111129496/madness-cave,madness-cave,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp', 'https://www.mountainproject.com/area/106124299/the-motherlode']","['https://www.mountainproject.com/route/106575756/bohica', 'https://www.mountainproject.com/route/106969206/flour-power', 'https://www.mountainproject.com/route/106585375/forty-ounces-of-justice', 'https://www.mountainproject.com/route/106575777/the-madness', 'https://www.mountainproject.com/route/111342844/omaha-beach', 'https://www.mountainproject.com/route/106969249/pushing-up-daisies', 'https://www.mountainproject.com/route/107392101/transworld-depravity']"
3,3,https://www.mountainproject.com/area/111129504/undertow-wall,undertow-wall,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp', 'https://www.mountainproject.com/area/106124299/the-motherlode']","['https://www.mountainproject.com/route/106445478/ale-8-one', 'https://www.mountainproject.com/route/106538496/burliers-bane', 'https://www.mountainproject.com/route/106153682/chainsaw-massacre', 'https://www.mountainproject.com/route/106598931/convicted', 'https://www.mountainproject.com/route/106756611/crime-time', 'https://www.mountainproject.com/route/106417464/flux-capacitor', 'https://www.mountainproject.com/route/106417458/harvest', 'https://www.mountainproject.com/route/106736608/the-high-hard-one-aka-subman', 'https://www.mountainproject.com/route/106417447/hoofmaker', 'https://www.mountainproject.com/route/106484047/kick-me-in-the-jimmie', 'https://www.mountainproject.com/route/106585384/leave-it-to-beavis', 'https://www.mountainproject.com/route/106895870/the-low-easy-one', 'https://www.mountainproject.com/route/106727829/resurrection', 'https://www.mountainproject.com/route/106305165/rocket-dog', 'https://www.mountainproject.com/route/106928753/skwba', 'https://www.mountainproject.com/route/106925412/the-sauce', 'https://www.mountainproject.com/route/112224367/scrambled-porn', 'https://www.mountainproject.com/route/106579687/skin-boat', 'https://www.mountainproject.com/route/106575787/snapper', 'https://www.mountainproject.com/route/107359867/stabbed-in-the-back', 'https://www.mountainproject.com/route/106895836/stella', 'https://www.mountainproject.com/route/106916504/team-wilson', 'https://www.mountainproject.com/route/106393414/tuna-town', 'https://www.mountainproject.com/route/106932351/the-verdict']"
4,4,https://www.mountainproject.com/area/111129484/warm-up-wall,warm-up-wall,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp', 'https://www.mountainproject.com/area/106124299/the-motherlode']","['https://www.mountainproject.com/route/111085447/all-in', 'https://www.mountainproject.com/route/107934642/ben', 'https://www.mountainproject.com/route/106975155/breathe-right', 'https://www.mountainproject.com/route/106484453/injured-reserve', 'https://www.mountainproject.com/route/107899800/laura', 'https://www.mountainproject.com/route/109089998/purdy-mouth', 'https://www.mountainproject.com/route/110329120/so-low', 'https://www.mountainproject.com/route/106598941/swahili-slang', 'https://www.mountainproject.com/route/114017020/take-that-katie-brown', 'https://www.mountainproject.com/route/106577231/trust-in-jesus']"
5,5,https://www.mountainproject.com/area/106229629/chocolate-factory,chocolate-factory,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp']","['https://www.mountainproject.com/route/106229634/the-andy-man-can', 'https://www.mountainproject.com/route/107756397/augustus-gloop', 'https://www.mountainproject.com/route/107892923/babinski-sign', 'https://www.mountainproject.com/route/108640441/ball-nuts-and-brassies-aka-broken-ankles', 'https://www.mountainproject.com/route/107401205/bleak-december', 'https://www.mountainproject.com/route/111855528/breakin-the-law', 'https://www.mountainproject.com/route/110239204/butane-junky', 'https://www.mountainproject.com/route/108412856/buttercup', 'https://www.mountainproject.com/route/107759737/cats-demise', 'https://www.mountainproject.com/route/108415831/charlie', 'https://www.mountainproject.com/route/106453181/chocolate-river', 'https://www.mountainproject.com/route/109695218/climactic-crush', 'https://www.mountainproject.com/route/111312129/the-dainty-butterfly', 'https://www.mountainproject.com/route/112337789/death-by-chocolate', 'https://www.mountainproject.com/route/114264039/divine-punishment', 'https://www.mountainproject.com/route/108766319/egbg', 'https://www.mountainproject.com/route/107667789/easy-pickins', 'https://www.mountainproject.com/route/114154467/end-of-innocence', 'https://www.mountainproject.com/route/107892916/enkidu', 'https://www.mountainproject.com/route/113883811/eternal-fire', 'https://www.mountainproject.com/route/114115512/fatface', 'https://www.mountainproject.com/route/110325706/fatman', 'https://www.mountainproject.com/route/108384261/fickelgruber', 'https://www.mountainproject.com/route/108206728/for-your-health', 'https://www.mountainproject.com/route/108430483/gene-wilder', 'https://www.mountainproject.com/route/108126174/gilgamesh', 'https://www.mountainproject.com/route/106927822/the-glass-elevator', 'https://www.mountainproject.com/route/107667776/gobstopper', 'https://www.mountainproject.com/route/108521478/golden-ticket', 'https://www.mountainproject.com/route/109480361/grandpa-joe', 'https://www.mountainproject.com/route/108341815/grumpalump', 'https://www.mountainproject.com/route/107379148/hip-to-the-jive', 'https://www.mountainproject.com/route/108128595/icebreaker', 'https://www.mountainproject.com/route/106453221/j-rats-back', 'https://www.mountainproject.com/route/109770822/the-juggernaut', 'https://www.mountainproject.com/route/106927842/loompa', 'https://www.mountainproject.com/route/106968288/malice', 'https://www.mountainproject.com/route/108749249/mike-teavee', 'https://www.mountainproject.com/route/108055657/molten', 'https://www.mountainproject.com/route/107921969/mr-p', 'https://www.mountainproject.com/route/108341704/naked', 'https://www.mountainproject.com/route/112415973/old-school-chocolate', 'https://www.mountainproject.com/route/107379134/one-side-makes-you-taller', 'https://www.mountainproject.com/route/106782060/oompa', 'https://www.mountainproject.com/route/112913180/perfect-puzzle', 'https://www.mountainproject.com/route/108366830/pure-imagination', 'https://www.mountainproject.com/route/107892930/robotic-thumb', 'https://www.mountainproject.com/route/111756736/scarlet-scorchdropper', 'https://www.mountainproject.com/route/114251864/shootin-hot-hugs', 'https://www.mountainproject.com/route/114263947/silky-smooth', 'https://www.mountainproject.com/route/109480386/snarf-victory', 'https://www.mountainproject.com/route/108411358/snozzberries', 'https://www.mountainproject.com/route/111145636/squirrelworker', 'https://www.mountainproject.com/route/107667783/strongyloides', 'https://www.mountainproject.com/route/107074597/sugar-rush', 'https://www.mountainproject.com/route/111378943/sunday-night-cockfights', 'https://www.mountainproject.com/route/108043545/swedish-fish', 'https://www.mountainproject.com/route/108429570/team-tough-on-tour', 'https://www.mountainproject.com/route/109770874/theobroma', 'https://www.mountainproject.com/route/114290724/three-stooges', 'https://www.mountainproject.com/route/108064675/throbbing-emotions', 'https://www.mountainproject.com/route/108640459/through-the-looking-glass', 'https://www.mountainproject.com/route/109695855/toxicodendron', 'https://www.mountainproject.com/route/113709113/unknown', 'https://www.mountainproject.com/route/108749213/willy-wonka', 'https://www.mountainproject.com/route/109472352/wobbler', 'https://www.mountainproject.com/route/107379163/wonkaholic']"
6,6,https://www.mountainproject.com/area/108387175/the-bears-den,the-bears-den,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp']","['https://www.mountainproject.com/route/110261773/72-hour-energy', 'https://www.mountainproject.com/route/110330437/c-quest-r', 'https://www.mountainproject.com/route/110270655/clay-city-exit', 'https://www.mountainproject.com/route/108389072/gandee-candy', 'https://www.mountainproject.com/route/109469913/golden-snow-cone', 'https://www.mountainproject.com/route/113740571/in-red-we-trust', 'https://www.mountainproject.com/route/110270679/low-hanging-fruit', 'https://www.mountainproject.com/route/110330421/mooch', 'https://www.mountainproject.com/route/111304044/off-the-couch', 'https://www.mountainproject.com/route/111292167/pinkalicious', 'https://www.mountainproject.com/route/111251858/psychopomp', 'https://www.mountainproject.com/route/111281142/routeburglar', 'https://www.mountainproject.com/route/110261825/shadow-enhancement', 'https://www.mountainproject.com/route/111790387/squatter', 'https://www.mountainproject.com/route/109469891/tar-baby']"
7,7,https://www.mountainproject.com/area/106124299/the-motherlode,the-motherlode,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp']","['https://www.mountainproject.com/area/111129478/buckeye-buttress', 'https://www.mountainproject.com/area/111129488/gmc-wall', 'https://www.mountainproject.com/area/111129496/madness-cave', 'https://www.mountainproject.com/area/111129504/undertow-wall']"
8,8,https://www.mountainproject.com/area/106927882/the-unlode,the-unlode,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/112439039/bald-rock-recreational-preserve-brrp']","['https://www.mountainproject.com/route/106927891/unbridled', 'https://www.mountainproject.com/route/106927939/undesirable', 'https://www.mountainproject.com/route/106927926/unworthy']"
9,9,https://www.mountainproject.com/area/113751834/lower,lower,"['https://www.mountainproject.com/area/105868674/kentucky', 'https://www.mountainproject.com/area/105841134/red-river-gorge', 'https://www.mountainproject.com/area/113747976/cathedral-domain-rock-domain-climbing-area', 'https://www.mountainproject.com/area/113751741/inner-loop-trail', 'https://www.mountainproject.com/area/113751786/litter-box']",[]
