,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/114497442/canada-cliff-boulder,canada-cliff-boulder,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/106616258/canada-cliff']","['https://www.mountainproject.com/route/112000723/center-crack-main-boulder', 'https://www.mountainproject.com/route/112000736/dyno-soar-right-side-variation', 'https://www.mountainproject.com/route/112000760/dyno-soar-right-side-main-boulder', 'https://www.mountainproject.com/route/115181324/irish-goodbye', 'https://www.mountainproject.com/route/112135571/its-never-pretty-aka-grovel-time', 'https://www.mountainproject.com/route/112000669/left-arete-main-boulder', 'https://www.mountainproject.com/route/112000596/the-lip-traverse-left-aka-shark-tooth-left', 'https://www.mountainproject.com/route/110751983/lip-traverse-right-aka-prow', 'https://www.mountainproject.com/route/112135628/mammoth', 'https://www.mountainproject.com/route/112000634/old-world-underground', 'https://www.mountainproject.com/route/112103427/the-prow-aka-sharks-tooth-right-andor-lip-traverse-right', 'https://www.mountainproject.com/route/112000617/steal-once-pay-twice', 'https://www.mountainproject.com/route/112134396/synthetica', 'https://www.mountainproject.com/route/112135542/triangular-boulder-unknown-slab', 'https://www.mountainproject.com/route/112135595/unknown-slab-aka-the-blob', 'https://www.mountainproject.com/route/112135640/warm-ups-main-boulder']"
1,1,https://www.mountainproject.com/area/114497437/canada-cliff-rock,canada-cliff-rock,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/106616258/canada-cliff']","['https://www.mountainproject.com/route/109591551/bander-snatch', 'https://www.mountainproject.com/route/114482618/coda', 'https://www.mountainproject.com/route/109591518/commander-salamander', 'https://www.mountainproject.com/route/109591511/garetts-arete', 'https://www.mountainproject.com/route/109591565/house-of-detention', 'https://www.mountainproject.com/route/106616340/jailbait', 'https://www.mountainproject.com/route/111939809/man-o-war', 'https://www.mountainproject.com/route/112236092/mystery-arete', 'https://www.mountainproject.com/route/111823372/russian-revolution', 'https://www.mountainproject.com/route/115131630/seasons-of-wither', 'https://www.mountainproject.com/route/114577730/stiletto', 'https://www.mountainproject.com/route/106616311/stonecutters-bible', 'https://www.mountainproject.com/route/111029292/they-call-me-nasty', 'https://www.mountainproject.com/route/109591531/unforgiven']"
2,2,https://www.mountainproject.com/area/106116454/left-wall,left-wall,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/105949209/great-head']","['https://www.mountainproject.com/route/106153773/24-hour-crack', 'https://www.mountainproject.com/route/113060241/barnacle', 'https://www.mountainproject.com/route/111890772/bilge', 'https://www.mountainproject.com/route/113060708/crustacean', 'https://www.mountainproject.com/route/111949009/full-sail', 'https://www.mountainproject.com/route/106301266/head-arete', 'https://www.mountainproject.com/route/106153765/high-noon', 'https://www.mountainproject.com/route/110719812/melba', 'https://www.mountainproject.com/route/113432826/old-soaker', 'https://www.mountainproject.com/route/111890891/sinbad', 'https://www.mountainproject.com/route/106153896/tiger-shark', 'https://www.mountainproject.com/route/113060724/windward-roof']"
3,3,https://www.mountainproject.com/area/106116464/morning-glory-alcove,morning-glory-alcove,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/105949209/great-head']","['https://www.mountainproject.com/route/106116467/black-watch', 'https://www.mountainproject.com/route/106116469/corsair', 'https://www.mountainproject.com/route/106116477/firstlight', 'https://www.mountainproject.com/route/106116474/highlander', 'https://www.mountainproject.com/route/106116481/morning-glory', 'https://www.mountainproject.com/route/106153754/trail-of-dawn']"
4,4,https://www.mountainproject.com/area/106116460/the-cavern,the-cavern,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/105949209/great-head']","['https://www.mountainproject.com/route/106153710/dragon-fish', 'https://www.mountainproject.com/route/106153696/the-fishscale', 'https://www.mountainproject.com/route/106162339/thicker-than-water', 'https://www.mountainproject.com/route/106153742/when-six-changes-to-nine']"
5,5,https://www.mountainproject.com/area/112134445/beech-cliff-bouldering,beech-cliff-bouldering,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/112134516/beeched-whale', 'https://www.mountainproject.com/route/112134566/beeched-whale-left-arete', 'https://www.mountainproject.com/route/112134583/hyperbole', 'https://www.mountainproject.com/route/112134496/kara', 'https://www.mountainproject.com/route/112134449/parking-lot-boulder', 'https://www.mountainproject.com/route/114363425/parking-lot-left-arete', 'https://www.mountainproject.com/route/112134536/purity', 'https://www.mountainproject.com/route/112134551/purity-right-variation', 'https://www.mountainproject.com/route/112134474/silence-is-the-question', 'https://www.mountainproject.com/route/114363504/unnamed', 'https://www.mountainproject.com/route/114948701/the-flake-will-break']"
6,6,https://www.mountainproject.com/area/112024202/charlottes-corner,charlottes-corner,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/112024667/salutations', 'https://www.mountainproject.com/route/112024630/spiderpig', 'https://www.mountainproject.com/route/113363344/telegraph']"
7,7,https://www.mountainproject.com/area/106787734/gorham-mountain-bouldering,gorham-mountain-bouldering,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/106787752/the-butterfield-line', 'https://www.mountainproject.com/route/106787762/the-traverse']"
8,8,https://www.mountainproject.com/area/115339340/great-head,great-head,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/115339374/tug-boat', 'https://www.mountainproject.com/route/115339358/unknown-v3', 'https://www.mountainproject.com/route/115339344/unknown-v3']"
9,9,https://www.mountainproject.com/area/112134599/highway-233-boulders,highway-233-boulders,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/112134671/monkey-pants-direct', 'https://www.mountainproject.com/route/112134643/monkey-pants-left', 'https://www.mountainproject.com/route/112134616/playing-hookie']"
10,10,https://www.mountainproject.com/area/106112923/monument-cove,monument-cove,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/113478744/mojito-madness', 'https://www.mountainproject.com/route/114240954/pumping-poodles', 'https://www.mountainproject.com/route/107695271/right-to-left-traverse', 'https://www.mountainproject.com/route/113394269/stuck-in-the-ocean', 'https://www.mountainproject.com/route/107164897/zigzag-to-the-stars']"
11,11,https://www.mountainproject.com/area/107250026/otter-cliffs-plot-bouldering,otter-cliffs-plot-bouldering,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/107250029/jake-d-by-the-sea', 'https://www.mountainproject.com/route/107250049/sailng-takes-me-away']"
12,12,https://www.mountainproject.com/area/114496110/precipice-boulders,precipice-boulders,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']",['https://www.mountainproject.com/route/114496133/unknown-v5']
13,13,https://www.mountainproject.com/area/112243652/school-house,school-house,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']","['https://www.mountainproject.com/route/112243705/back-to-basics', 'https://www.mountainproject.com/route/112243727/class-bookshelf', 'https://www.mountainproject.com/route/112243734/extra-credit', 'https://www.mountainproject.com/route/112243716/naughty-corner', 'https://www.mountainproject.com/route/112243797/quick-learner', 'https://www.mountainproject.com/route/112243763/single-file', 'https://www.mountainproject.com/route/112243680/teachers-pet', 'https://www.mountainproject.com/route/112243697/thinking-cap']"
14,14,https://www.mountainproject.com/area/112137438/the-birdcage,the-birdcage,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/114558946/mdi-bouldering']",['https://www.mountainproject.com/route/112137445/agador-spartacus']
15,15,https://www.mountainproject.com/area/112092789/bald-porcupine-island,bald-porcupine-island,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/112092772/porcupine-islands-dws']",[]
16,16,https://www.mountainproject.com/area/106223475/lower-slab,lower-slab,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/106223460/south-bubble']",['https://www.mountainproject.com/route/108229465/the-lower-slab']
17,17,https://www.mountainproject.com/area/106223480/upper-slab-and-upper-wall,upper-slab-and-upper-wall,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park', 'https://www.mountainproject.com/area/106223460/south-bubble']","['https://www.mountainproject.com/route/111006775/ancient-via-ferrata', 'https://www.mountainproject.com/route/111006735/escape-hatch', 'https://www.mountainproject.com/route/111370809/faust', 'https://www.mountainproject.com/route/107789065/gargoyle', 'https://www.mountainproject.com/route/106680124/moraviana', 'https://www.mountainproject.com/route/108229467/off-width-chimney', 'https://www.mountainproject.com/route/111006753/upper-slab-routes']"
18,18,https://www.mountainproject.com/area/106616258/canada-cliff,canada-cliff,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park']",['https://www.mountainproject.com/area/114497442/canada-cliff-boulder']
19,19,https://www.mountainproject.com/area/112932506/eagles-crag,eagles-crag,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park']","['https://www.mountainproject.com/route/112934515/ballistic', 'https://www.mountainproject.com/route/112932514/stratocaster']"
20,20,https://www.mountainproject.com/area/105949209/great-head,great-head,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park']","['https://www.mountainproject.com/area/106116460/the-cavern', 'https://www.mountainproject.com/area/106116454/left-wall']"
21,21,https://www.mountainproject.com/area/114558946/mdi-bouldering,mdi-bouldering,"['https://www.mountainproject.com/area/105948977/maine', 'https://www.mountainproject.com/area/105948980/acadia-national-park']","['https://www.mountainproject.com/area/112134445/beech-cliff-bouldering', 'https://www.mountainproject.com/area/112137438/the-birdcage', 'https://www.mountainproject.com/area/112024202/charlottes-corner', 'https://www.mountainproject.com/area/106787734/gorham-mountain-bouldering', 'https://www.mountainproject.com/area/115339340/great-head', 'https://www.mountainproject.com/area/112134599/highway-233-boulders', 'https://www.mountainproject.com/area/106112923/monument-cove', 'https://www.mountainproject.com/area/107250026/otter-cliffs-plot-bouldering', 'https://www.mountainproject.com/area/114496110/precipice-boulders']"
