,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106734744/argo-rock,argo-rock,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106734666/annapolis-rock']","['https://www.mountainproject.com/route/106777905/argonaut', 'https://www.mountainproject.com/route/107513993/the-battlefield', 'https://www.mountainproject.com/route/107513997/exit-field-right', 'https://www.mountainproject.com/route/106735351/wall-of-wander']"
1,1,https://www.mountainproject.com/area/106734756/faints-roof,faints-roof,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106734666/annapolis-rock']","['https://www.mountainproject.com/route/110468830/blood-and-pus', 'https://www.mountainproject.com/route/107513807/cell-phones-and-fast-food', 'https://www.mountainproject.com/route/112255094/cracked-earth', 'https://www.mountainproject.com/route/109057741/face-the-notch', 'https://www.mountainproject.com/route/109611779/face-the-roof', 'https://www.mountainproject.com/route/106777895/faints-roof', 'https://www.mountainproject.com/route/109470519/in-your-face', 'https://www.mountainproject.com/route/106898757/ounce-of-perception', 'https://www.mountainproject.com/route/107513827/pound-of-obscure']"
2,2,https://www.mountainproject.com/area/106734766/fin-rock,fin-rock,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106734666/annapolis-rock']","['https://www.mountainproject.com/route/107513871/a-call-to-arms', 'https://www.mountainproject.com/route/107513837/amazon-direct', 'https://www.mountainproject.com/route/107513847/amazon-from-ozegna-aka-short-italian-girls', 'https://www.mountainproject.com/route/107513878/aquas-ascent', 'https://www.mountainproject.com/route/107513882/blondes-just-wanna-have-fin', 'https://www.mountainproject.com/route/114569075/dirty-little-pig-boy', 'https://www.mountainproject.com/route/114569065/dirty-little-pig-boy', 'https://www.mountainproject.com/route/107513885/end-of-the-day-wall', 'https://www.mountainproject.com/route/107513860/part-man-part-monkey']"
3,3,https://www.mountainproject.com/area/106734749/nixons-other-nose,nixons-other-nose,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106734666/annapolis-rock']",[]
4,4,https://www.mountainproject.com/area/106734762/sunset-wall,sunset-wall,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106734666/annapolis-rock']","['https://www.mountainproject.com/route/110462399/the-dragon', 'https://www.mountainproject.com/route/110462413/dreaming-real', 'https://www.mountainproject.com/route/110462421/trantor']"
5,5,https://www.mountainproject.com/area/106734773/the-south-end,the-south-end,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106734666/annapolis-rock']","['https://www.mountainproject.com/route/114580628/behind-the-sun', 'https://www.mountainproject.com/route/106777915/black-crack', 'https://www.mountainproject.com/route/107514085/black-hole-sun', 'https://www.mountainproject.com/route/107514014/cynosure', 'https://www.mountainproject.com/route/107514019/cynosure-direct', 'https://www.mountainproject.com/route/108853226/fire-away', 'https://www.mountainproject.com/route/107514080/high-hopes', 'https://www.mountainproject.com/route/114492115/hot-nos', 'https://www.mountainproject.com/route/107514092/illusion', 'https://www.mountainproject.com/route/107514002/white-arete']"
6,6,https://www.mountainproject.com/area/106831169/fishermans-rock,fishermans-rock,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106396350/baltimore-city-watershed', 'https://www.mountainproject.com/area/106396359/loch-raven-reservoir', 'https://www.mountainproject.com/area/106396368/paper-mill-rd']",[]
7,7,https://www.mountainproject.com/area/106831176/the-fins,the-fins,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106396350/baltimore-city-watershed', 'https://www.mountainproject.com/area/106396359/loch-raven-reservoir', 'https://www.mountainproject.com/area/106396368/paper-mill-rd']","['https://www.mountainproject.com/route/106831315/dawn-of-mankind', 'https://www.mountainproject.com/route/106831180/the-historian', 'https://www.mountainproject.com/route/106831297/the-remains-of-mankind', 'https://www.mountainproject.com/route/106831272/time-of-the-prophets', 'https://www.mountainproject.com/route/106831265/time-of-the-prophets-v1']"
8,8,https://www.mountainproject.com/area/106396368/paper-mill-rd,paper-mill-rd,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106396350/baltimore-city-watershed', 'https://www.mountainproject.com/area/106396359/loch-raven-reservoir']",['https://www.mountainproject.com/area/106831176/the-fins']
9,9,https://www.mountainproject.com/area/106396364/warren-rd-bridge-aka-the-old-town-of-warren,warren-rd-bridge-aka-the-old-town-of-warren,"['https://www.mountainproject.com/area/106029417/maryland', 'https://www.mountainproject.com/area/106396350/baltimore-city-watershed', 'https://www.mountainproject.com/area/106396359/loch-raven-reservoir']","['https://www.mountainproject.com/route/106831130/oh-shit', 'https://www.mountainproject.com/route/106831135/sneakers', 'https://www.mountainproject.com/route/106831123/unknown']"
