,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/108416205/a-little-slice-of-heaven,a-little-slice-of-heaven,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/107262726/ayer-boulders']",[]
1,1,https://www.mountainproject.com/area/107470622/chimney-boulders,chimney-boulders,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/107262726/ayer-boulders']",['https://www.mountainproject.com/route/107470633/bear-hug']
2,2,https://www.mountainproject.com/area/107262746/double-roof,double-roof,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/107262726/ayer-boulders']","['https://www.mountainproject.com/route/107262756/double-roof', 'https://www.mountainproject.com/route/107264238/stick-bug']"
3,3,https://www.mountainproject.com/area/108416242/indian-headdress,indian-headdress,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/107262726/ayer-boulders']","['https://www.mountainproject.com/route/114058834/crescent', 'https://www.mountainproject.com/route/114058816/gibbet-hill-highball', 'https://www.mountainproject.com/route/114058730/indian-headress']"
4,4,https://www.mountainproject.com/area/108036806/trashcan-boulder,trashcan-boulder,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/107262726/ayer-boulders']","['https://www.mountainproject.com/route/112164789/ass-can', 'https://www.mountainproject.com/route/111463220/the-compactor', 'https://www.mountainproject.com/route/114272577/walk-on']"
5,5,https://www.mountainproject.com/area/109721232/tall-boulder,tall-boulder,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/106111354/borderland-state-park-easton', 'https://www.mountainproject.com/area/109721210/northwest-boulders']",['https://www.mountainproject.com/route/109721397/tandoori-sizzler']
6,6,https://www.mountainproject.com/area/109721215/the-prow,the-prow,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/106111354/borderland-state-park-easton', 'https://www.mountainproject.com/area/109721210/northwest-boulders']",['https://www.mountainproject.com/route/109721406/levitation']
7,7,https://www.mountainproject.com/area/109721237/warmup-boulder,warmup-boulder,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/106111354/borderland-state-park-easton', 'https://www.mountainproject.com/area/109721210/northwest-boulders']",[]
8,8,https://www.mountainproject.com/area/109710722/ames-boulder,ames-boulder,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/106111354/borderland-state-park-easton']","['https://www.mountainproject.com/route/112520151/aim-high', 'https://www.mountainproject.com/route/112520177/aimless', 'https://www.mountainproject.com/route/109722529/childs-play', 'https://www.mountainproject.com/route/106276245/crazy-girls', 'https://www.mountainproject.com/route/109722540/good-aim', 'https://www.mountainproject.com/route/112520167/prow', 'https://www.mountainproject.com/route/112520147/slab-crack', 'https://www.mountainproject.com/route/112520139/slab-problems', 'https://www.mountainproject.com/route/106112638/thug', 'https://www.mountainproject.com/route/112520118/thug-sit', 'https://www.mountainproject.com/route/112520158/warm-ups']"
9,9,https://www.mountainproject.com/area/109710719/button-boulder,button-boulder,"['https://www.mountainproject.com/area/105908062/massachusetts', 'https://www.mountainproject.com/area/106111354/borderland-state-park-easton']","['https://www.mountainproject.com/route/112520208/button-arete', 'https://www.mountainproject.com/route/112520202/button-corner', 'https://www.mountainproject.com/route/106320453/hardest-button-to-button', 'https://www.mountainproject.com/route/106320457/work-horse']"
