,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/113006839/ghost-peak,ghost-peak,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']",[]
1,1,https://www.mountainproject.com/area/111950657/luntas-lookout,luntas-lookout,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']",[]
2,2,https://www.mountainproject.com/area/111949252/pulpit-pitch,pulpit-pitch,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']",[]
3,3,https://www.mountainproject.com/area/112050611/refuge-ridge,refuge-ridge,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']",[]
4,4,https://www.mountainproject.com/area/106427651/sandstone-glaicer-cut,sandstone-glaicer-cut,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']","['https://www.mountainproject.com/route/106427657/the-deadpoint', 'https://www.mountainproject.com/route/106427664/finger-crack', 'https://www.mountainproject.com/route/106427675/the-seam']"
5,5,https://www.mountainproject.com/area/111945935/superior-mt,superior-mt,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']",[]
6,6,https://www.mountainproject.com/area/111949334/tic-peak,tic-peak,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']",[]
7,7,https://www.mountainproject.com/area/111951222/travers-rock,travers-rock,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106427644/little-huron-river-range']",[]
8,8,https://www.mountainproject.com/area/107020358/hidden-beach,hidden-beach,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106187283/marquette', 'https://www.mountainproject.com/area/107020303/marquette-ice-climbing']","['https://www.mountainproject.com/route/107020766/three-sisters', 'https://www.mountainproject.com/route/107020377/hidden-beach-flow']"
9,9,https://www.mountainproject.com/area/107020309/hogback,hogback,"['https://www.mountainproject.com/area/106113246/michigan', 'https://www.mountainproject.com/area/106187283/marquette', 'https://www.mountainproject.com/area/107020303/marquette-ice-climbing']","['https://www.mountainproject.com/route/107020749/center-route', 'https://www.mountainproject.com/route/107020759/far-right', 'https://www.mountainproject.com/route/107020330/the-grotto', 'https://www.mountainproject.com/route/107020312/mini-mixed', 'https://www.mountainproject.com/route/107020320/the-grotto-far-left']"
