,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/109255469/teachers-overlook,teachers-overlook,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/109255452/banning-state-park-bouldering']","['https://www.mountainproject.com/route/109255486/banning-genesis', 'https://www.mountainproject.com/route/109256082/booster-shot', 'https://www.mountainproject.com/route/109441076/clouds', 'https://www.mountainproject.com/route/110427441/the-coach', 'https://www.mountainproject.com/route/109441194/creeper', 'https://www.mountainproject.com/route/109703200/cutting-class', 'https://www.mountainproject.com/route/109526469/the-easiest-route-in-thailand', 'https://www.mountainproject.com/route/109259749/fin-s', 'https://www.mountainproject.com/route/109261532/game-of-stones', 'https://www.mountainproject.com/route/109307543/the-gym-teacher', 'https://www.mountainproject.com/route/109606387/left-of-center', 'https://www.mountainproject.com/route/109260224/lichen-me-lichen-you', 'https://www.mountainproject.com/route/109525915/long-haul-sucker', 'https://www.mountainproject.com/route/109307566/lunch-money-dyno', 'https://www.mountainproject.com/route/109256767/mental-hangover', 'https://www.mountainproject.com/route/109256593/mentor-overhang', 'https://www.mountainproject.com/route/110994667/milwaukees-best', 'https://www.mountainproject.com/route/109255550/one-two-arete-direct', 'https://www.mountainproject.com/route/109255720/one-two-arete-right', 'https://www.mountainproject.com/route/109703176/pop-quiz', 'https://www.mountainproject.com/route/110994759/river-bandits', 'https://www.mountainproject.com/route/109255743/scareface', 'https://www.mountainproject.com/route/109256105/scareface-sit', 'https://www.mountainproject.com/route/109441217/slab-center', 'https://www.mountainproject.com/route/109635038/slabriela', 'https://www.mountainproject.com/route/109255873/space-heater', 'https://www.mountainproject.com/route/109335743/unnamed']"
1,1,https://www.mountainproject.com/area/105813076/annadonia-area,annadonia-area,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812663/barn-bluff-red-wing']","['https://www.mountainproject.com/route/114453961/a-salami-for-your-boy-in-the-army', 'https://www.mountainproject.com/route/105825155/annadonia', 'https://www.mountainproject.com/route/105831559/campinini', 'https://www.mountainproject.com/route/105831459/cardiac-standstill', 'https://www.mountainproject.com/route/105827119/cinq-jour-daffille', 'https://www.mountainproject.com/route/105831565/cookie-crumble', 'https://www.mountainproject.com/route/105831587/cool-for-cats', 'https://www.mountainproject.com/route/105831469/danger-high-boltage', 'https://www.mountainproject.com/route/105831556/dirty-corner', 'https://www.mountainproject.com/route/105831481/esp', 'https://www.mountainproject.com/route/105831485/femme-fatale', 'https://www.mountainproject.com/route/105831462/freebase', 'https://www.mountainproject.com/route/106266364/the-future', 'https://www.mountainproject.com/route/105831494/geriatric-sex-maniacs-from-mars', 'https://www.mountainproject.com/route/105831596/last-call-for-alcohol', 'https://www.mountainproject.com/route/105825151/looking-for-lust', 'https://www.mountainproject.com/route/105827127/micro-balls', 'https://www.mountainproject.com/route/105831548/out-of-control', 'https://www.mountainproject.com/route/105831488/quiet-desperation', 'https://www.mountainproject.com/route/105831465/rock-a-holics', 'https://www.mountainproject.com/route/105831593/rude-awakening', 'https://www.mountainproject.com/route/106911358/shower-the-people-you-love-with-bolts', 'https://www.mountainproject.com/route/105831552/stylin', 'https://www.mountainproject.com/route/105831472/too-low-for-zero', 'https://www.mountainproject.com/route/105831590/vertical-willies', 'https://www.mountainproject.com/route/105827133/year-of-the-ankle']"
2,2,https://www.mountainproject.com/area/105813063/cyclops-area,cyclops-area,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812663/barn-bluff-red-wing']","['https://www.mountainproject.com/route/105824451/big-rocks-remembered', 'https://www.mountainproject.com/route/105820233/cyclops', 'https://www.mountainproject.com/route/105860465/end-play', 'https://www.mountainproject.com/route/105819435/forearm-smash', 'https://www.mountainproject.com/route/105824459/pigeon-paranoia', 'https://www.mountainproject.com/route/105824455/piranha', 'https://www.mountainproject.com/route/105824443/sleeping-bat-in-a-ziplock-bag', 'https://www.mountainproject.com/route/105817169/sobriety', 'https://www.mountainproject.com/route/105820229/suicide-squeeze', 'https://www.mountainproject.com/route/105819423/unknown', 'https://www.mountainproject.com/route/105824447/urban-chunks', 'https://www.mountainproject.com/route/105819417/user-friendly', 'https://www.mountainproject.com/route/105819431/wasp-mentality', 'https://www.mountainproject.com/route/105820225/work-ethic']"
3,3,https://www.mountainproject.com/area/105813088/large-roof-area,large-roof-area,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812663/barn-bluff-red-wing']","['https://www.mountainproject.com/route/105842434/a-deal-with-the-devil', 'https://www.mountainproject.com/route/105843549/arachnid-tendencies', 'https://www.mountainproject.com/route/105843542/climb-or-die', 'https://www.mountainproject.com/route/105842431/dances-with-pete', 'https://www.mountainproject.com/route/105843552/dumpster-does-duffels', 'https://www.mountainproject.com/route/105842418/fish-furniture', 'https://www.mountainproject.com/route/105842386/in-the-pink', 'https://www.mountainproject.com/route/105842424/multiple-stab-wounds', 'https://www.mountainproject.com/route/105826285/needles-and-pins', 'https://www.mountainproject.com/route/105842391/quick-draw-moves-to-hollywood', 'https://www.mountainproject.com/route/105842394/space-warp', 'https://www.mountainproject.com/route/105842437/talking-with-god', 'https://www.mountainproject.com/route/105842427/toll-free', 'https://www.mountainproject.com/route/105842415/tub-toys', 'https://www.mountainproject.com/route/111911551/tummy-kittens-in-space', 'https://www.mountainproject.com/route/105843538/weenies-and-nerds', 'https://www.mountainproject.com/route/105842403/why-doesnt-anybody-climb-this']"
4,4,https://www.mountainproject.com/area/105813082/new-vice-area,new-vice-area,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812663/barn-bluff-red-wing']","['https://www.mountainproject.com/route/105842380/alligator-allimony', 'https://www.mountainproject.com/route/105842364/bf-bugs', 'https://www.mountainproject.com/route/105826795/blue-moon', 'https://www.mountainproject.com/route/111814940/blue-steel', 'https://www.mountainproject.com/route/105832919/call-of-the-mild', 'https://www.mountainproject.com/route/105826295/dealers-choice', 'https://www.mountainproject.com/route/105826091/doctor-limit', 'https://www.mountainproject.com/route/105825969/doctor-rock', 'https://www.mountainproject.com/route/105842383/eel-pocket-route', 'https://www.mountainproject.com/route/105842309/eggs-and-darts-and-shit', 'https://www.mountainproject.com/route/105842199/eyebolt-approach', 'https://www.mountainproject.com/route/105825974/frequent-flatulence', 'https://www.mountainproject.com/route/105825456/goofed-on-skunk-weed', 'https://www.mountainproject.com/route/105831407/jennas-chimney', 'https://www.mountainproject.com/route/105842207/jennas-face', 'https://www.mountainproject.com/route/105826845/living-postmortems', 'https://www.mountainproject.com/route/105842211/new-tomorrow', 'https://www.mountainproject.com/route/105826839/no-whippin-boys', 'https://www.mountainproject.com/route/105830832/pandemonium', 'https://www.mountainproject.com/route/105830742/pleasant-summer-absence', 'https://www.mountainproject.com/route/105826290/prairie-fire', 'https://www.mountainproject.com/route/115371309/stormy-daniels', 'https://www.mountainproject.com/route/105842361/syncopation', 'https://www.mountainproject.com/route/105842372/three-fat-chicks-on-a-world-tour', 'https://www.mountainproject.com/route/105825445/two-tone-zephyr', 'https://www.mountainproject.com/route/105842204/unknown', 'https://www.mountainproject.com/route/105830747/vertical-vice', 'https://www.mountainproject.com/route/105842358/way-knarly-dudes']"
5,5,https://www.mountainproject.com/area/105813079/perfect-crimb-area,perfect-crimb-area,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812663/barn-bluff-red-wing']","['https://www.mountainproject.com/route/105842122/advanced-birding', 'https://www.mountainproject.com/route/105826082/crank-n-go-go', 'https://www.mountainproject.com/route/105860479/demystification', 'https://www.mountainproject.com/route/105831577/dont-mean-nothin', 'https://www.mountainproject.com/route/105842118/fallout-aka-perfect-sex', 'https://www.mountainproject.com/route/105842126/gear-fear', 'https://www.mountainproject.com/route/105826100/hateful-pleasures', 'https://www.mountainproject.com/route/105842130/lacuna', 'https://www.mountainproject.com/route/105831574/one-hand-jam', 'https://www.mountainproject.com/route/105826069/the-perfect-crimb', 'https://www.mountainproject.com/route/105842115/pulldown-menu', 'https://www.mountainproject.com/route/105831580/technical-difficulties', 'https://www.mountainproject.com/route/105831583/vice-squad']"
6,6,https://www.mountainproject.com/area/105813072/the-east-end,the-east-end,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812663/barn-bluff-red-wing']","['https://www.mountainproject.com/route/105826242/barn-dance', 'https://www.mountainproject.com/route/105826248/barnies-corner', 'https://www.mountainproject.com/route/105826239/dead-dog-face', 'https://www.mountainproject.com/route/105826254/left-lane', 'https://www.mountainproject.com/route/106911343/prow-left-aka-pietro-loves-iris', 'https://www.mountainproject.com/route/106911310/prow-right-aka-dead-dog-arete-aka-gene-machine', 'https://www.mountainproject.com/route/105826245/roof-burner', 'https://www.mountainproject.com/route/105826257/sunburst', 'https://www.mountainproject.com/route/105826251/thief-of-wives']"
7,7,https://www.mountainproject.com/area/105813066/winter-wall,winter-wall,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812663/barn-bluff-red-wing']","['https://www.mountainproject.com/route/105825176/a-drilling-experience', 'https://www.mountainproject.com/route/105826227/barnburner', 'https://www.mountainproject.com/route/105825357/barney-rubble-aka-birch-tree-crack', 'https://www.mountainproject.com/route/105826652/blank-man', 'https://www.mountainproject.com/route/105826213/chinese-freedom', 'https://www.mountainproject.com/route/105826643/cooler-than-ice', 'https://www.mountainproject.com/route/105826646/cooler-than-paradigm', 'https://www.mountainproject.com/route/105826216/do-the-right-thing', 'https://www.mountainproject.com/route/105826209/foreign-affairs', 'https://www.mountainproject.com/route/105826205/the-go-between', 'https://www.mountainproject.com/route/110170215/gravity-heroes', 'https://www.mountainproject.com/route/105826649/insectaphobe', 'https://www.mountainproject.com/route/105860473/the-itch', 'https://www.mountainproject.com/route/105825604/jam-and-jelly', 'https://www.mountainproject.com/route/105825167/jump-start', 'https://www.mountainproject.com/route/105927316/jump-to-something-good', 'https://www.mountainproject.com/route/105825378/kellys-arete', 'https://www.mountainproject.com/route/105825369/last-dance-of-a-fat-man', 'https://www.mountainproject.com/route/105825375/light-my-fire', 'https://www.mountainproject.com/route/105826230/living-all-over-me', 'https://www.mountainproject.com/route/105824529/longing-for-miss-adonis', 'https://www.mountainproject.com/route/105824808/meet-the-feebles', 'https://www.mountainproject.com/route/105826224/mississippi-burning', 'https://www.mountainproject.com/route/105824813/nsp', 'https://www.mountainproject.com/route/105825163/new-kids-on-the-rock', 'https://www.mountainproject.com/route/105824520/orange-marmalade', 'https://www.mountainproject.com/route/105826640/ptc-present-time-consciousness', 'https://www.mountainproject.com/route/105826220/paradigm-shift', 'https://www.mountainproject.com/route/105826633/pauls-boutique', 'https://www.mountainproject.com/route/105825179/preemptive-strike', 'https://www.mountainproject.com/route/105825360/pretty-in-pink', 'https://www.mountainproject.com/route/105824533/relentless', 'https://www.mountainproject.com/route/105825160/right-touch', 'https://www.mountainproject.com/route/105825372/rock-pigs', 'https://www.mountainproject.com/route/105824525/skooter-trash', 'https://www.mountainproject.com/route/105824817/soft-touch', 'https://www.mountainproject.com/route/105860469/spy-friction', 'https://www.mountainproject.com/route/105825173/squeeze-play', 'https://www.mountainproject.com/route/105825170/start-of-something-good', 'https://www.mountainproject.com/route/105847825/super-high-tech-jetfighter', 'https://www.mountainproject.com/route/105825363/toxic-art', 'https://www.mountainproject.com/route/105825366/vias-aka-godzilla']"
8,8,https://www.mountainproject.com/area/106573338/lower-boulder,lower-boulder,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812716/blue-mounds-state-park-luverne', 'https://www.mountainproject.com/area/110040664/bouldering-at-blue-mounds', 'https://www.mountainproject.com/area/106763274/bur-oak-trail', 'https://www.mountainproject.com/area/106573328/boulder-area-6']",[]
9,9,https://www.mountainproject.com/area/106573333/main-boulder,main-boulder,"['https://www.mountainproject.com/area/105812481/minnesota', 'https://www.mountainproject.com/area/105812716/blue-mounds-state-park-luverne', 'https://www.mountainproject.com/area/110040664/bouldering-at-blue-mounds', 'https://www.mountainproject.com/area/106763274/bur-oak-trail', 'https://www.mountainproject.com/area/106573328/boulder-area-6']","['https://www.mountainproject.com/route/106574158/far-left-problem', 'https://www.mountainproject.com/route/106574252/far-right-problem', 'https://www.mountainproject.com/route/106574136/left-to-right-traverse', 'https://www.mountainproject.com/route/106574167/middle-arete-traverse', 'https://www.mountainproject.com/route/107307196/nose-lob', 'https://www.mountainproject.com/route/106574175/project']"
