,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/105960148/andromeda-sprain-wall,andromeda-sprain-wall,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/105960135/cm-andromeda']","['https://www.mountainproject.com/route/105960151/andromeda-sprain', 'https://www.mountainproject.com/route/105960166/doctor-hook', 'https://www.mountainproject.com/route/105960422/muffin-man', 'https://www.mountainproject.com/route/105960416/old-ironsides', 'https://www.mountainproject.com/route/112902712/one-for-thomas', 'https://www.mountainproject.com/route/112902698/slow-children-playing']"
1,1,https://www.mountainproject.com/area/105960551/katy-cliff,katy-cliff,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/105960135/cm-andromeda']","['https://www.mountainproject.com/route/115335232/alpha-male', 'https://www.mountainproject.com/route/115335239/blond-ambition', 'https://www.mountainproject.com/route/105960554/dogs-dont-do-coffee', 'https://www.mountainproject.com/route/114182214/fly-on-the-wall', 'https://www.mountainproject.com/route/105960566/joint-checking', 'https://www.mountainproject.com/route/105960558/katys-trail', 'https://www.mountainproject.com/route/105961281/off-the-couch', 'https://www.mountainproject.com/route/105960562/psychiatry-kills', 'https://www.mountainproject.com/route/105960583/twins', 'https://www.mountainproject.com/route/105961285/wing-walker']"
2,2,https://www.mountainproject.com/area/112480303/kawagunga-buttress,kawagunga-buttress,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/105960135/cm-andromeda']",['https://www.mountainproject.com/route/112480311/kawabunga-crack']
3,3,https://www.mountainproject.com/area/105960138/walkdown-area,walkdown-area,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/105960135/cm-andromeda']","['https://www.mountainproject.com/route/105961295/bacca-box', 'https://www.mountainproject.com/route/105960412/flexible-flakes', 'https://www.mountainproject.com/route/105960142/flying-meat', 'https://www.mountainproject.com/route/105960382/raging-slob', 'https://www.mountainproject.com/route/105961289/the-slab', 'https://www.mountainproject.com/route/105960159/slow-children-playing']"
4,4,https://www.mountainproject.com/area/112174256/main-area,main-area,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/112174236/cm-capen-park']","['https://www.mountainproject.com/route/106297533/ape-man', 'https://www.mountainproject.com/route/106297842/bon-voyage', 'https://www.mountainproject.com/route/106297528/butt-slammer', 'https://www.mountainproject.com/route/113116372/chris-reach', 'https://www.mountainproject.com/route/112172136/flenner-sit-down', 'https://www.mountainproject.com/route/113091555/foot-loose', 'https://www.mountainproject.com/route/113116106/footloose-direct', 'https://www.mountainproject.com/route/113116197/the-great-escape', 'https://www.mountainproject.com/route/113116274/green-slime', 'https://www.mountainproject.com/route/106297558/hard-traverse', 'https://www.mountainproject.com/route/106297553/jays-dyno', 'https://www.mountainproject.com/route/113115923/middle-traverse', 'https://www.mountainproject.com/route/113091572/missouri-breaks', 'https://www.mountainproject.com/route/107183351/mister-easy', 'https://www.mountainproject.com/route/106284593/the-open-book', 'https://www.mountainproject.com/route/107184183/rock-garden', 'https://www.mountainproject.com/route/113116217/roots', 'https://www.mountainproject.com/route/107184163/russian-vault', 'https://www.mountainproject.com/route/107091998/solution-pocket', 'https://www.mountainproject.com/route/106297827/straight-up', 'https://www.mountainproject.com/route/106297538/sunshine', 'https://www.mountainproject.com/route/113091542/swing-time', 'https://www.mountainproject.com/route/106297851/three-horns', 'https://www.mountainproject.com/route/106297863/white-lightning']"
5,5,https://www.mountainproject.com/area/112174248/the-drive-in,the-drive-in,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/112174236/cm-capen-park']","['https://www.mountainproject.com/route/111640650/got-time-for-a-quickie', 'https://www.mountainproject.com/route/111640703/mano-y-mano', 'https://www.mountainproject.com/route/111817186/trundle-tower', 'https://www.mountainproject.com/route/111261064/community-service', 'https://www.mountainproject.com/route/111261077/playing-hookie']"
6,6,https://www.mountainproject.com/area/112174244/walk-down-area,walk-down-area,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/112174236/cm-capen-park']","['https://www.mountainproject.com/route/112172228/contact-high-v4', 'https://www.mountainproject.com/route/112172342/dihedral', 'https://www.mountainproject.com/route/112172182/levitation-v5', 'https://www.mountainproject.com/route/112172195/long-traverse-v1', 'https://www.mountainproject.com/route/112172205/trust-the-fiction-v4', 'https://www.mountainproject.com/route/112172273/unnamed-v1', 'https://www.mountainproject.com/route/112172239/unnamed-v3']"
7,7,https://www.mountainproject.com/area/112338200/the-slabs,the-slabs,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/107896416/cm-cedar-creek', 'https://www.mountainproject.com/area/112338152/horseshoe-bend']",[]
8,8,https://www.mountainproject.com/area/112117915/cedar-creek-main-bluff,cedar-creek-main-bluff,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/107896416/cm-cedar-creek']",[]
9,9,https://www.mountainproject.com/area/112117898/devils-backbone-sandstone,devils-backbone-sandstone,"['https://www.mountainproject.com/area/105899020/missouri', 'https://www.mountainproject.com/area/107896416/cm-cedar-creek']","['https://www.mountainproject.com/route/112329940/fight-or-flight', 'https://www.mountainproject.com/route/112329910/past-my-prime', 'https://www.mountainproject.com/route/112329935/v-card']"
