,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106536051/barretts-main-face,barretts-main-face,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106535309/barretts']","['https://www.mountainproject.com/route/106536054/andesite-for-sore-eyes', 'https://www.mountainproject.com/route/106536060/mock-hospitality']"
1,1,https://www.mountainproject.com/area/106536030/pinnacle,pinnacle,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106535309/barretts']","['https://www.mountainproject.com/route/106536035/pinnacle-route', 'https://www.mountainproject.com/route/106536041/sun-dog']"
2,2,https://www.mountainproject.com/area/115337358/moonshine-boulder,moonshine-boulder,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon', 'https://www.mountainproject.com/area/115337264/new-world-gulch-bouldering']","['https://www.mountainproject.com/route/115337439/big-shooter', 'https://www.mountainproject.com/route/115337406/whisky-in-the-morning']"
3,3,https://www.mountainproject.com/area/108265323/ant-wall,ant-wall,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon']","['https://www.mountainproject.com/route/108265342/the-ant-route', 'https://www.mountainproject.com/route/108265331/bar-wrench-route']"
4,4,https://www.mountainproject.com/area/107756996/batman-and-robin-slab,batman-and-robin-slab,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon']","['https://www.mountainproject.com/route/107643164/batman', 'https://www.mountainproject.com/route/107756999/left-prow', 'https://www.mountainproject.com/route/107643205/robin']"
5,5,https://www.mountainproject.com/area/109822609/boundary-line-fin,boundary-line-fin,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon']","['https://www.mountainproject.com/route/109822816/butterfingers-and-eagle-eye', 'https://www.mountainproject.com/route/109822984/executive-decision', 'https://www.mountainproject.com/route/109822615/martian-titties', 'https://www.mountainproject.com/route/109823009/schism', 'https://www.mountainproject.com/route/109822805/shorty-wanna-be-a-thug', 'https://www.mountainproject.com/route/109822627/twilight-chainsaw', 'https://www.mountainproject.com/route/109822789/without-a-hat']"
6,6,https://www.mountainproject.com/area/113157134/hidden-spire-area,hidden-spire-area,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon']",[]
7,7,https://www.mountainproject.com/area/113157107/lower-tsunami-area,lower-tsunami-area,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon']",[]
8,8,https://www.mountainproject.com/area/115337264/new-world-gulch-bouldering,new-world-gulch-bouldering,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon']",[]
9,9,https://www.mountainproject.com/area/107757004/the-prow,the-prow,"['https://www.mountainproject.com/area/105907492/montana', 'https://www.mountainproject.com/area/106624807/bear-canyon']",['https://www.mountainproject.com/route/107077816/ignition']
