,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/110636601/trout-slayer-buttress,trout-slayer-buttress,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/110636551/angel-lake']",['https://www.mountainproject.com/route/110636608/trout-slayer']
1,1,https://www.mountainproject.com/area/113950320/camp-hill,camp-hill,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/109083582/big-rocks-wilderness-aka-mecca', 'https://www.mountainproject.com/area/113950304/campground-lowercase-e']",['https://www.mountainproject.com/route/113950337/incognito-crack']
2,2,https://www.mountainproject.com/area/113950398/fridays-crag,fridays-crag,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/109083582/big-rocks-wilderness-aka-mecca', 'https://www.mountainproject.com/area/113950304/campground-lowercase-e']",['https://www.mountainproject.com/route/113950413/womp-rat']
3,3,https://www.mountainproject.com/area/113950529/oldsmobile-rock,oldsmobile-rock,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/109083582/big-rocks-wilderness-aka-mecca', 'https://www.mountainproject.com/area/113950304/campground-lowercase-e']",[]
4,4,https://www.mountainproject.com/area/113950304/campground-lowercase-e,campground-lowercase-e,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/109083582/big-rocks-wilderness-aka-mecca']","['https://www.mountainproject.com/area/113950320/camp-hill', 'https://www.mountainproject.com/area/113950398/fridays-crag']"
5,5,https://www.mountainproject.com/area/113950560/south-pahroc-summit-pass-rocks,south-pahroc-summit-pass-rocks,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/109083582/big-rocks-wilderness-aka-mecca']",[]
6,6,https://www.mountainproject.com/area/108245811/condor-dome,condor-dome,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/108099565/harrison-pass']",['https://www.mountainproject.com/route/108245815/dragon-scales']
7,7,https://www.mountainproject.com/area/108207145/durable-dome,durable-dome,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/108099565/harrison-pass']",['https://www.mountainproject.com/route/108207164/trust-it']
8,8,https://www.mountainproject.com/area/108212583/main-area,main-area,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/108099565/harrison-pass']",[]
9,9,https://www.mountainproject.com/area/108099573/the-clam,the-clam,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/108099565/harrison-pass']",['https://www.mountainproject.com/route/108102564/hot-dog-in-a-hallway']
10,10,https://www.mountainproject.com/area/108207249/the-grunion,the-grunion,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/108099565/harrison-pass']",['https://www.mountainproject.com/route/108207253/huecos-and-hands']
11,11,https://www.mountainproject.com/area/108231030/the-housing-section,the-housing-section,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/108099565/harrison-pass']",['https://www.mountainproject.com/route/108231041/wesleys-go-te']
12,12,https://www.mountainproject.com/area/108102712/the-trailer-park,the-trailer-park,"['https://www.mountainproject.com/area/105708961/nevada', 'https://www.mountainproject.com/area/113755164/eastern-nevada', 'https://www.mountainproject.com/area/108099565/harrison-pass']","['https://www.mountainproject.com/route/108207205/catbox', 'https://www.mountainproject.com/route/108230957/the-trailers-a-rockn', 'https://www.mountainproject.com/route/109216135/unknown-crack-chimney']"
