,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107340314/big-wall,big-wall,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/107340274/cannon-cliff']","['https://www.mountainproject.com/route/109379353/benedictusmasterpiece', 'https://www.mountainproject.com/route/106820366/dreamin', 'https://www.mountainproject.com/route/113453648/the-ghost-clean-aid', 'https://www.mountainproject.com/route/110865446/the-ghost', 'https://www.mountainproject.com/route/109513958/ghostrider', 'https://www.mountainproject.com/route/106469355/hierophant-tower', 'https://www.mountainproject.com/route/107496893/labyrinth-wall-direct', 'https://www.mountainproject.com/route/109118364/magical-mystery-tour-the-girdle-traverse-of-cannon-cliff', 'https://www.mountainproject.com/route/107700304/one-drop-of-water-v', 'https://www.mountainproject.com/route/106028120/vmc-direct-direct']"
1,1,https://www.mountainproject.com/area/107340309/duet-area-etc,duet-area-etc,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/107340274/cannon-cliff']","['https://www.mountainproject.com/route/106469617/add-libs', 'https://www.mountainproject.com/route/106469517/all-day-sucker', 'https://www.mountainproject.com/route/107376613/the-british-were-coming', 'https://www.mountainproject.com/route/106728661/condemned-man', 'https://www.mountainproject.com/route/106469686/continuation-of-rock-candy', 'https://www.mountainproject.com/route/106765208/duet', 'https://www.mountainproject.com/route/106269732/duet-direct', 'https://www.mountainproject.com/route/107815601/fall-from-grace', 'https://www.mountainproject.com/route/106469588/jawbreaker-not-completely-done', 'https://www.mountainproject.com/route/107625904/the-light-brigade', 'https://www.mountainproject.com/route/107263221/lightning-crack', 'https://www.mountainproject.com/route/106469464/pops-sick-hill', 'https://www.mountainproject.com/route/106772331/raven-crack', 'https://www.mountainproject.com/route/106469660/rock-candy', 'https://www.mountainproject.com/route/106469029/rodan', 'https://www.mountainproject.com/route/106468630/sams-ghost', 'https://www.mountainproject.com/route/107880132/sams-swan-song', 'https://www.mountainproject.com/route/106469926/sayonara', 'https://www.mountainproject.com/route/106468861/sextet', 'https://www.mountainproject.com/route/106469722/shadey-grove-unfinished', 'https://www.mountainproject.com/route/107263245/sinister-satisfaction', 'https://www.mountainproject.com/route/105980556/slow-and-easy', 'https://www.mountainproject.com/route/105980563/sticky-fingers', 'https://www.mountainproject.com/route/106469914/white-and-young']"
2,2,https://www.mountainproject.com/area/107340295/hendersons-buttress,hendersons-buttress,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/107340274/cannon-cliff']","['https://www.mountainproject.com/route/106468652/achilles-heel', 'https://www.mountainproject.com/route/106755876/bull-dog', 'https://www.mountainproject.com/route/107773790/henderson', 'https://www.mountainproject.com/route/106201177/mind-over-pinky-and-the-brain', 'https://www.mountainproject.com/route/113715513/muir', 'https://www.mountainproject.com/route/107273629/no-guts-no-glory', 'https://www.mountainproject.com/route/107773828/noonie-direct', 'https://www.mountainproject.com/route/107178473/our-mines-i', 'https://www.mountainproject.com/route/106200433/pinky-and-the-brain', 'https://www.mountainproject.com/route/108131798/quick-silver-variation-on-muir-buttress', 'https://www.mountainproject.com/route/106469383/two-stoned']"
3,3,https://www.mountainproject.com/area/107340355/moby-grape-area,moby-grape-area,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/107340274/cannon-cliff']","['https://www.mountainproject.com/route/106468602/dark-hallow', 'https://www.mountainproject.com/route/106231654/manhedral', 'https://www.mountainproject.com/route/105884815/moby-grape', 'https://www.mountainproject.com/route/107622314/moonshadow', 'https://www.mountainproject.com/route/105918200/peppys-face', 'https://www.mountainproject.com/route/107185923/psyche-dike-bradley-leblancs-variation', 'https://www.mountainproject.com/route/110887591/reppys-crack', 'https://www.mountainproject.com/route/107286349/tip-trip-formally-11a', 'https://www.mountainproject.com/route/106014499/union-jack', 'https://www.mountainproject.com/route/105888753/vertigo', 'https://www.mountainproject.com/route/106469421/the-white-iceberg']"
4,4,https://www.mountainproject.com/area/107340841/slabs,slabs,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/107340274/cannon-cliff']","['https://www.mountainproject.com/route/107244778/beware-of-the-dog-mid-climb-variation', 'https://www.mountainproject.com/route/111212069/blockade-direct', 'https://www.mountainproject.com/route/107291365/cirrus', 'https://www.mountainproject.com/route/106464214/condescender', 'https://www.mountainproject.com/route/107237652/condescending-mid-climb-variation', 'https://www.mountainproject.com/route/107208914/consolation-prize', 'https://www.mountainproject.com/route/106795675/falling-aspirations', 'https://www.mountainproject.com/route/106778254/fleabitten-mid-climb-variation', 'https://www.mountainproject.com/route/106559276/the-indented-slab-a-mid-cliff-slab', 'https://www.mountainproject.com/route/106276179/lakeview', 'https://www.mountainproject.com/route/107238710/lima-bean', 'https://www.mountainproject.com/route/107237681/micron', 'https://www.mountainproject.com/route/108147697/odyssey-of-an-artichoke', 'https://www.mountainproject.com/route/106698576/slip-o-fools', 'https://www.mountainproject.com/route/108148788/snooky', 'https://www.mountainproject.com/route/106728635/stretched-on-your-grave', 'https://www.mountainproject.com/route/107238257/the-wag', 'https://www.mountainproject.com/route/106541947/weissners-butress', 'https://www.mountainproject.com/route/106559255/weissners-dike', 'https://www.mountainproject.com/route/108305524/unknown']"
5,5,https://www.mountainproject.com/area/107340303/whitney-gilman-area,whitney-gilman-area,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/107340274/cannon-cliff']","['https://www.mountainproject.com/route/106550317/ambrosia', 'https://www.mountainproject.com/route/107263195/meatgrinder', 'https://www.mountainproject.com/route/105872668/whitney-gilman-ridge']"
6,6,https://www.mountainproject.com/area/105920712/airation-buttress,airation-buttress,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/105908823/cathedral-ledge']","['https://www.mountainproject.com/route/105920901/airation', 'https://www.mountainproject.com/route/106392610/autoclave', 'https://www.mountainproject.com/route/105920725/camber', 'https://www.mountainproject.com/route/107826428/camber-view', 'https://www.mountainproject.com/route/106182149/clean-sweep', 'https://www.mountainproject.com/route/106698940/creation', 'https://www.mountainproject.com/route/114334728/endless-summer', 'https://www.mountainproject.com/route/106174421/heather', 'https://www.mountainproject.com/route/107194073/kill-your-television', 'https://www.mountainproject.com/route/113594207/mystery-crack', 'https://www.mountainproject.com/route/106030831/northern-hospitality', 'https://www.mountainproject.com/route/105920872/pine-tree-eliminate', 'https://www.mountainproject.com/route/105945027/play-misty', 'https://www.mountainproject.com/route/113594290/the-practice-chimney-offwidth', 'https://www.mountainproject.com/route/106175812/practice-makes-perfect', 'https://www.mountainproject.com/route/106182577/reach-the-sky', 'https://www.mountainproject.com/route/106698950/room-with-a-view', 'https://www.mountainproject.com/route/106820371/stage-fright', 'https://www.mountainproject.com/route/106293568/tabu', 'https://www.mountainproject.com/route/106698955/tourist-treat']"
7,7,https://www.mountainproject.com/area/105908828/barber-wall,barber-wall,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/105908823/cathedral-ledge']","['https://www.mountainproject.com/route/106645119/the-arete', 'https://www.mountainproject.com/route/113693357/bad-dogs', 'https://www.mountainproject.com/route/108254877/big-deal-rock-climb', 'https://www.mountainproject.com/route/106418775/black-crack', 'https://www.mountainproject.com/route/105922841/black-lung', 'https://www.mountainproject.com/route/110102551/book-of-solemnibeast-variation-of-book-of-solemnity', 'https://www.mountainproject.com/route/105880787/the-book-of-solemnity', 'https://www.mountainproject.com/route/105909580/chicken-delight', 'https://www.mountainproject.com/route/105935659/double-vee', 'https://www.mountainproject.com/route/106204869/dresden', 'https://www.mountainproject.com/route/105922852/final-gesture', 'https://www.mountainproject.com/route/113695105/fools-gold', 'https://www.mountainproject.com/route/113632699/graverobber', 'https://www.mountainproject.com/route/108359032/hatful-of-hollow', 'https://www.mountainproject.com/route/106113553/jolt', 'https://www.mountainproject.com/route/106229768/kim-jung-il', 'https://www.mountainproject.com/route/105909584/laytons-ascent', 'https://www.mountainproject.com/route/105974638/lichen-delight', 'https://www.mountainproject.com/route/106405937/lichen-it-a-lot', 'https://www.mountainproject.com/route/108359020/medusa', 'https://www.mountainproject.com/route/105911822/nomad-crack', 'https://www.mountainproject.com/route/105922177/nutcracker', 'https://www.mountainproject.com/route/107291074/off-the-hook', 'https://www.mountainproject.com/route/108359035/perseus', 'https://www.mountainproject.com/route/108359009/reconciliation', 'https://www.mountainproject.com/route/105935674/retaliation', 'https://www.mountainproject.com/route/105938018/upper-refuse', 'https://www.mountainproject.com/route/106266514/websters-unabridged', 'https://www.mountainproject.com/route/106271737/youth-challenge']"
8,8,https://www.mountainproject.com/area/106567855/end-of-days-crag,end-of-days-crag,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/105908823/cathedral-ledge']","['https://www.mountainproject.com/route/106567858/end-of-days', 'https://www.mountainproject.com/route/106567867/lazy-days', 'https://www.mountainproject.com/route/107635257/tres-agujeros']"
9,9,https://www.mountainproject.com/area/105908840/lower-left-wall-ventilator-slabs,lower-left-wall-ventilator-slabs,"['https://www.mountainproject.com/area/105872225/new-hampshire', 'https://www.mountainproject.com/area/105908823/cathedral-ledge']","['https://www.mountainproject.com/route/106752411/age-before-beauty', 'https://www.mountainproject.com/route/105903672/bombardment', 'https://www.mountainproject.com/route/107872221/the-effects-of-kind-bud-on-an-abnormal-brain', 'https://www.mountainproject.com/route/105949790/ego-trip', 'https://www.mountainproject.com/route/106569263/fisting-jon-aka-leafspring', 'https://www.mountainproject.com/route/105925756/fun-house', 'https://www.mountainproject.com/route/105949804/fun-house-left', 'https://www.mountainproject.com/route/106261506/happy-trails', 'https://www.mountainproject.com/route/109134435/king-crab-girdle-traverse-of-cathedral-ledge', 'https://www.mountainproject.com/route/106824407/once-upon-a-climb', 'https://www.mountainproject.com/route/106203357/one-hit-to-the-body', 'https://www.mountainproject.com/route/106261492/pleasant-st', 'https://www.mountainproject.com/route/105963176/pooh', 'https://www.mountainproject.com/route/106203367/son-of-a-birch', 'https://www.mountainproject.com/route/108150376/starfire-yo-yo', 'https://www.mountainproject.com/route/105921650/three-birches', 'https://www.mountainproject.com/route/106388205/ventilated-western-girl', 'https://www.mountainproject.com/route/105921622/ventilator', 'https://www.mountainproject.com/route/106172241/western-lady-california-girls']"
