,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106368117/cake-wall,cake-wall,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/106368092/allamuchy-state-park']","['https://www.mountainproject.com/route/106368850/55', 'https://www.mountainproject.com/route/106368843/56', 'https://www.mountainproject.com/route/106368847/59', 'https://www.mountainproject.com/route/112092185/baker-man', 'https://www.mountainproject.com/route/106368839/flash-appeal']"
1,1,https://www.mountainproject.com/area/106368107/east-cliff,east-cliff,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/106368092/allamuchy-state-park']","['https://www.mountainproject.com/route/106368858/57', 'https://www.mountainproject.com/route/106368869/57-center', 'https://www.mountainproject.com/route/106368881/57-left', 'https://www.mountainproject.com/route/106368863/born-in-the-usa', 'https://www.mountainproject.com/route/110129425/east-cliff-ice', 'https://www.mountainproject.com/route/106368885/european-vacation', 'https://www.mountainproject.com/route/106368875/muddy-waters', 'https://www.mountainproject.com/route/106368854/spanglish']"
2,2,https://www.mountainproject.com/area/106368102/main-wall-and-right-wall,main-wall-and-right-wall,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/106368092/allamuchy-state-park']","['https://www.mountainproject.com/route/106463599/muchaid', 'https://www.mountainproject.com/route/106369067/52', 'https://www.mountainproject.com/route/106368911/55', 'https://www.mountainproject.com/route/106369015/55-main-wall', 'https://www.mountainproject.com/route/106369048/56-left-of-hourglass', 'https://www.mountainproject.com/route/106369018/56-top-rope', 'https://www.mountainproject.com/route/106369043/57', 'https://www.mountainproject.com/route/106369007/57-main-wall-right', 'https://www.mountainproject.com/route/106368899/57', 'https://www.mountainproject.com/route/106369061/57', 'https://www.mountainproject.com/route/106368923/58', 'https://www.mountainproject.com/route/106368896/58', 'https://www.mountainproject.com/route/106368893/a-touch-too-much', 'https://www.mountainproject.com/route/106369024/a-year-in-the-life', 'https://www.mountainproject.com/route/106369027/a-year-in-the-life-variation-1-direct-start', 'https://www.mountainproject.com/route/106369031/a-year-in-the-life-variation-2-left-start', 'https://www.mountainproject.com/route/106368904/blow-out', 'https://www.mountainproject.com/route/106419203/evening-visitor', 'https://www.mountainproject.com/route/106369035/foreign-invasion', 'https://www.mountainproject.com/route/106369038/hourglass', 'https://www.mountainproject.com/route/106369052/main-wall-traverse', 'https://www.mountainproject.com/route/108794055/roof-route', 'https://www.mountainproject.com/route/107755500/welcome-to-waterloo']"
3,3,https://www.mountainproject.com/area/106368132/practice-wall,practice-wall,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/106368092/allamuchy-state-park']","['https://www.mountainproject.com/route/106369257/53', 'https://www.mountainproject.com/route/106369253/54', 'https://www.mountainproject.com/route/106369268/55-arete', 'https://www.mountainproject.com/route/106411550/allamuchys-great-roof', 'https://www.mountainproject.com/route/106369250/no-midgets', 'https://www.mountainproject.com/route/106411556/red-legos', 'https://www.mountainproject.com/route/106369265/salty-tears-left-of-bolt', 'https://www.mountainproject.com/route/106369261/salty-tears-right-of-bolt']"
4,4,https://www.mountainproject.com/area/106368127/tic-tac-toe-wall,tic-tac-toe-wall,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/106368092/allamuchy-state-park']","['https://www.mountainproject.com/route/106369515/52', 'https://www.mountainproject.com/route/106369519/53', 'https://www.mountainproject.com/route/106411545/57', 'https://www.mountainproject.com/route/106369502/59', 'https://www.mountainproject.com/route/106369505/chin-chaver', 'https://www.mountainproject.com/route/106369495/raincoats-and-candles', 'https://www.mountainproject.com/route/106369511/stoke-the-locals']"
5,5,https://www.mountainproject.com/area/106804639/upper-lead-wall,upper-lead-wall,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/106368092/allamuchy-state-park']","['https://www.mountainproject.com/route/114056502/blocky-madness', 'https://www.mountainproject.com/route/114056553/the-bowl', 'https://www.mountainproject.com/route/114056562/cedar-dance', 'https://www.mountainproject.com/route/114056541/false-arete', 'https://www.mountainproject.com/route/114056510/lead-roof', 'https://www.mountainproject.com/route/114056547/lead-wall-gulley', 'https://www.mountainproject.com/route/114056558/licky-lichen']"
6,6,https://www.mountainproject.com/area/108136908/the-itsy-boulder,the-itsy-boulder,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders', 'https://www.mountainproject.com/area/108136899/bald-hill-boulders']",['https://www.mountainproject.com/route/108136915/louisiana-flake']
7,7,https://www.mountainproject.com/area/107802772/crag,crag,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders', 'https://www.mountainproject.com/area/107802633/the-cliffs']","['https://www.mountainproject.com/route/107803426/leap-frog', 'https://www.mountainproject.com/route/107802776/rusted-root']"
8,8,https://www.mountainproject.com/area/107802799/fort-frolic,fort-frolic,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders', 'https://www.mountainproject.com/area/107802633/the-cliffs']","['https://www.mountainproject.com/route/107802819/the-blind-arete', 'https://www.mountainproject.com/route/107802810/myspace-whore']"
9,9,https://www.mountainproject.com/area/107802641/the-ivy-roof,the-ivy-roof,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders', 'https://www.mountainproject.com/area/107802633/the-cliffs']","['https://www.mountainproject.com/route/107802682/meltwater-assis', 'https://www.mountainproject.com/route/107802652/slabbys']"
10,10,https://www.mountainproject.com/area/108136899/bald-hill-boulders,bald-hill-boulders,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders']",[]
11,11,https://www.mountainproject.com/area/107803238/east-ridge-boulders,east-ridge-boulders,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders']","['https://www.mountainproject.com/route/107803407/alls-well-that-ends-well', 'https://www.mountainproject.com/route/107803242/cornered', 'https://www.mountainproject.com/route/107803416/windblown-arete']"
12,12,https://www.mountainproject.com/area/107802835/forest-street-cliffs,forest-street-cliffs,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders']",['https://www.mountainproject.com/route/107803436/luigis-crack']
13,13,https://www.mountainproject.com/area/107803455/hogs-pen,hogs-pen,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders']","['https://www.mountainproject.com/route/109297533/choss-or-na', 'https://www.mountainproject.com/route/107804191/detroit-rock-city', 'https://www.mountainproject.com/route/107803894/fanger-slapper', 'https://www.mountainproject.com/route/107803467/flamer', 'https://www.mountainproject.com/route/109297652/freak-gasoline-doppelganger', 'https://www.mountainproject.com/route/108162708/pac-mans-lunch', 'https://www.mountainproject.com/route/107803482/spiderman-cave', 'https://www.mountainproject.com/route/108326939/under-the-sliding-roof', 'https://www.mountainproject.com/route/108326913/uptown-boulder-arete', 'https://www.mountainproject.com/route/107804198/uptown-crack']"
14,14,https://www.mountainproject.com/area/108136885/rhododendron-boulder,rhododendron-boulder,"['https://www.mountainproject.com/area/106374428/new-jersey', 'https://www.mountainproject.com/area/107802625/cedar-lake-boulders']",['https://www.mountainproject.com/route/108136888/seamstress']
