,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/108358529/big-block,big-block,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106029437/big-block']","['https://www.mountainproject.com/route/110243365/big-block-1', 'https://www.mountainproject.com/route/110243374/big-block-2']"
1,1,https://www.mountainproject.com/area/106040612/block-wall,block-wall,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106029437/big-block']","['https://www.mountainproject.com/route/106040627/beth', 'https://www.mountainproject.com/route/106328737/la-bandit', 'https://www.mountainproject.com/route/106040615/left-route', 'https://www.mountainproject.com/route/106040630/seth', 'https://www.mountainproject.com/route/106040620/shane']"
2,2,https://www.mountainproject.com/area/106040587/bouldering-cave,bouldering-cave,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106029437/big-block']","['https://www.mountainproject.com/route/107060378/the-baseball-problem', 'https://www.mountainproject.com/route/106040652/blockade', 'https://www.mountainproject.com/route/106337365/football-problem', 'https://www.mountainproject.com/route/107171048/the-jew-claw', 'https://www.mountainproject.com/route/106337393/low-low-start-aka-desperation', 'https://www.mountainproject.com/route/106752967/murray-pinch', 'https://www.mountainproject.com/route/106337372/pegboard', 'https://www.mountainproject.com/route/106337350/reachy-sidepulls', 'https://www.mountainproject.com/route/106337387/v8']"
3,3,https://www.mountainproject.com/area/107490763/the-ozzy-boulder,the-ozzy-boulder,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106359124/foothills-bouldering', 'https://www.mountainproject.com/area/107490752/casa-bonita']","['https://www.mountainproject.com/route/107490782/left', 'https://www.mountainproject.com/route/107490819/left-to-right', 'https://www.mountainproject.com/route/107490791/middle', 'https://www.mountainproject.com/route/107490835/the-prow', 'https://www.mountainproject.com/route/107490804/right']"
4,4,https://www.mountainproject.com/area/111830306/the-gorilla,the-gorilla,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106359124/foothills-bouldering', 'https://www.mountainproject.com/area/106374457/fat-city-indian-school', 'https://www.mountainproject.com/area/111830129/south-trail-side-boulders']","['https://www.mountainproject.com/route/111830447/a-shoulder-to-try-on', 'https://www.mountainproject.com/route/111830438/granite-of-the-apes', 'https://www.mountainproject.com/route/111830402/off-the-cuff', 'https://www.mountainproject.com/route/111830429/whisper-sweet-nothings']"
5,5,https://www.mountainproject.com/area/111830145/the-turtle,the-turtle,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106359124/foothills-bouldering', 'https://www.mountainproject.com/area/106374457/fat-city-indian-school', 'https://www.mountainproject.com/area/111830129/south-trail-side-boulders']","['https://www.mountainproject.com/route/111830165/now-kith', 'https://www.mountainproject.com/route/111830150/turtle-traverse']"
6,6,https://www.mountainproject.com/area/107908744/boulder-a,boulder-a,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106359124/foothills-bouldering', 'https://www.mountainproject.com/area/106374457/fat-city-indian-school']","['https://www.mountainproject.com/route/109304346/grated-shin', 'https://www.mountainproject.com/route/108007198/knob-nirvana', 'https://www.mountainproject.com/route/108297274/shade-line', 'https://www.mountainproject.com/route/107908986/sliced-tips']"
7,7,https://www.mountainproject.com/area/107908964/boulder-b,boulder-b,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106359124/foothills-bouldering', 'https://www.mountainproject.com/area/106374457/fat-city-indian-school']","['https://www.mountainproject.com/route/111795400/el-pollo-verde', 'https://www.mountainproject.com/route/108013482/green-hueco-chile', 'https://www.mountainproject.com/route/109304357/mild-green', 'https://www.mountainproject.com/route/107908973/slabzilla']"
8,8,https://www.mountainproject.com/area/106374468/boulder-c,boulder-c,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106359124/foothills-bouldering', 'https://www.mountainproject.com/area/106374457/fat-city-indian-school']",['https://www.mountainproject.com/route/106374555/se-arete']
9,9,https://www.mountainproject.com/area/106374480/boulder-d-crystal-face,boulder-d-crystal-face,"['https://www.mountainproject.com/area/105708964/new-mexico', 'https://www.mountainproject.com/area/106299665/albuquerque-area-climbing', 'https://www.mountainproject.com/area/106359124/foothills-bouldering', 'https://www.mountainproject.com/area/106374457/fat-city-indian-school']","['https://www.mountainproject.com/route/106374615/crystal-face-center-valentina', 'https://www.mountainproject.com/route/106374486/ne-arete']"
