,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106817941/45-degree-wall,45-degree-wall,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']","['https://www.mountainproject.com/route/106817944/ahr', 'https://www.mountainproject.com/route/107074873/center-45', 'https://www.mountainproject.com/route/108067895/flagyl', 'https://www.mountainproject.com/route/106817953/left-45', 'https://www.mountainproject.com/route/112001444/left-into-center-45', 'https://www.mountainproject.com/route/112511476/stone-house']"
1,1,https://www.mountainproject.com/area/107597445/510-wall,510-wall,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']",[]
2,2,https://www.mountainproject.com/area/107597455/510-wall-roof-of-death,510-wall-roof-of-death,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']","['https://www.mountainproject.com/route/114299155/bitch', 'https://www.mountainproject.com/route/113470090/desperate-bitch', 'https://www.mountainproject.com/route/112864301/harvester-of-sorrows', 'https://www.mountainproject.com/route/113470056/lovely-roof-of-death']"
3,3,https://www.mountainproject.com/area/107597340/classic-boulder,classic-boulder,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']","['https://www.mountainproject.com/route/107823630/513', 'https://www.mountainproject.com/route/112001423/classic-arete', 'https://www.mountainproject.com/route/107597364/classic-arete-stand', 'https://www.mountainproject.com/route/107597355/the-horn']"
4,4,https://www.mountainproject.com/area/108146852/colt-45-area,colt-45-area,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']",['https://www.mountainproject.com/route/108146855/colt-45']
5,5,https://www.mountainproject.com/area/112529668/maddox-boulder,maddox-boulder,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']","['https://www.mountainproject.com/route/112529740/maddox-traverse', 'https://www.mountainproject.com/route/112529699/right-maddox', 'https://www.mountainproject.com/route/112529771/tendon-sandwich']"
6,6,https://www.mountainproject.com/area/107597410/mushroom-boulder,mushroom-boulder,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']","['https://www.mountainproject.com/route/113469928/doomed-to-obscurity', 'https://www.mountainproject.com/route/111807217/the-fin', 'https://www.mountainproject.com/route/112511491/monkey-paw', 'https://www.mountainproject.com/route/113663169/monkeys-brain', 'https://www.mountainproject.com/route/113469978/portabello', 'https://www.mountainproject.com/route/112435462/seven-eleven', 'https://www.mountainproject.com/route/112511499/stems-caps', 'https://www.mountainproject.com/route/113663191/vagina-pancakes']"
7,7,https://www.mountainproject.com/area/107597373/pump-wall,pump-wall,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/106817923/blowing-rock-boulders']",['https://www.mountainproject.com/route/107597390/pump-wall']
8,8,https://www.mountainproject.com/area/111662545/headwall,headwall,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/109066435/buffalo-creek-park']",['https://www.mountainproject.com/route/111662561/late-for-dinner']
9,9,https://www.mountainproject.com/area/109069016/tatanka-boulder,tatanka-boulder,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/109066435/buffalo-creek-park']","['https://www.mountainproject.com/route/109069059/beefalo-arete', 'https://www.mountainproject.com/route/114172086/chasm', 'https://www.mountainproject.com/route/114172049/green-arete-left', 'https://www.mountainproject.com/route/114172123/grey-arete-left', 'https://www.mountainproject.com/route/114172136/grey-arete-right', 'https://www.mountainproject.com/route/114171781/high-expectations', 'https://www.mountainproject.com/route/114171937/low-expectations', 'https://www.mountainproject.com/route/114171805/tatankas-chin', 'https://www.mountainproject.com/route/114171755/white-streaks']"
10,10,https://www.mountainproject.com/area/109066463/the-shark-fin,the-shark-fin,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/109066435/buffalo-creek-park']","['https://www.mountainproject.com/route/114171717/great-white', 'https://www.mountainproject.com/route/109066466/shark-warm-up', 'https://www.mountainproject.com/route/109066568/shedding-shark']"
11,11,https://www.mountainproject.com/area/109066574/trailside-boulder,trailside-boulder,"['https://www.mountainproject.com/area/105873282/north-carolina', 'https://www.mountainproject.com/area/109066435/buffalo-creek-park']","['https://www.mountainproject.com/route/111662720/lost-dog', 'https://www.mountainproject.com/route/111767981/s-is-for-sam']"
