,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/112099727/coad-boulders,coad-boulders,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108160138/athens']","['https://www.mountainproject.com/route/114183635/bar-none', 'https://www.mountainproject.com/route/112099748/fire-in-the-hole', 'https://www.mountainproject.com/route/112099737/pot-o-gold', 'https://www.mountainproject.com/route/112099741/to-slot-or-not']"
1,1,https://www.mountainproject.com/area/108160145/witches-back,witches-back,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108160138/athens']","['https://www.mountainproject.com/route/108161340/bones', 'https://www.mountainproject.com/route/108161328/boulder-1', 'https://www.mountainproject.com/route/108161361/boulder-10-project', 'https://www.mountainproject.com/route/108161398/boulder-13a-project', 'https://www.mountainproject.com/route/108161402/boulder-13b-project', 'https://www.mountainproject.com/route/108161405/boulder-14a-project', 'https://www.mountainproject.com/route/108161421/boulder-15b-project', 'https://www.mountainproject.com/route/108161331/boulder-2', 'https://www.mountainproject.com/route/108161334/boulder-3', 'https://www.mountainproject.com/route/108161352/boulder-8', 'https://www.mountainproject.com/route/108161343/crack-face', 'https://www.mountainproject.com/route/108161370/double-down', 'https://www.mountainproject.com/route/108161408/hand-grenade-14b-project', 'https://www.mountainproject.com/route/108161415/light-show-15a-project', 'https://www.mountainproject.com/route/108161355/the-lightbringer', 'https://www.mountainproject.com/route/108161381/party-cave', 'https://www.mountainproject.com/route/108161367/proctologist', 'https://www.mountainproject.com/route/108161346/rails', 'https://www.mountainproject.com/route/108161337/the-skull']"
2,2,https://www.mountainproject.com/area/108160149/witches-front,witches-front,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108160138/athens']","['https://www.mountainproject.com/route/108160192/50-grit', 'https://www.mountainproject.com/route/108160183/balance-slab', 'https://www.mountainproject.com/route/108161056/boulder-12', 'https://www.mountainproject.com/route/108161067/boulder-14', 'https://www.mountainproject.com/route/108161084/boulder-19', 'https://www.mountainproject.com/route/108161047/boulder-2', 'https://www.mountainproject.com/route/108160163/castles-made-of-sand', 'https://www.mountainproject.com/route/108160170/climbing-class-mantel', 'https://www.mountainproject.com/route/108161077/drew-arete', 'https://www.mountainproject.com/route/108161071/duck-bill', 'https://www.mountainproject.com/route/108160179/french-press', 'https://www.mountainproject.com/route/108160195/key-hole-arete', 'https://www.mountainproject.com/route/108161064/lip-traverse', 'https://www.mountainproject.com/route/108161106/low-blowjoe-project', 'https://www.mountainproject.com/route/108161044/nintendo-thumb-project', 'https://www.mountainproject.com/route/108161081/pillow-fight', 'https://www.mountainproject.com/route/108161103/prego-in-a-dress', 'https://www.mountainproject.com/route/108161100/route-23', 'https://www.mountainproject.com/route/108161050/route-6', 'https://www.mountainproject.com/route/108161053/school-house-crack', 'https://www.mountainproject.com/route/108160187/thumber', 'https://www.mountainproject.com/route/108161097/whale-sex', 'https://www.mountainproject.com/route/108161093/witches-backside', 'https://www.mountainproject.com/route/108161089/witches-brew', 'https://www.mountainproject.com/route/108161074/witches-traverse']"
3,3,https://www.mountainproject.com/area/114804446/off-the-rails,off-the-rails,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108132073/beach-city-nature-preserve', 'https://www.mountainproject.com/area/114804342/dundee-railroad']","['https://www.mountainproject.com/route/114804487/beneath-the-bow', 'https://www.mountainproject.com/route/114804534/killroy', 'https://www.mountainproject.com/route/114805710/warm-up']"
4,4,https://www.mountainproject.com/area/114804352/railroad,railroad,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108132073/beach-city-nature-preserve', 'https://www.mountainproject.com/area/114804342/dundee-railroad']","['https://www.mountainproject.com/route/114804423/far-for-the-short', 'https://www.mountainproject.com/route/114804379/una-pierna']"
5,5,https://www.mountainproject.com/area/108132082/big-wall,big-wall,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108132073/beach-city-nature-preserve']","['https://www.mountainproject.com/route/108132095/blackboard', 'https://www.mountainproject.com/route/108132187/blacktop', 'https://www.mountainproject.com/route/108132106/detension', 'https://www.mountainproject.com/route/108132118/easy-a', 'https://www.mountainproject.com/route/108132184/fire-pit', 'https://www.mountainproject.com/route/108132168/fish-scalesstumps', 'https://www.mountainproject.com/route/108132112/flake-face', 'https://www.mountainproject.com/route/108132158/hornets-nest', 'https://www.mountainproject.com/route/108132177/nipple-routebalance-beam', 'https://www.mountainproject.com/route/108132133/pigs-snout', 'https://www.mountainproject.com/route/108132148/recess', 'https://www.mountainproject.com/route/108132153/recess-crack', 'https://www.mountainproject.com/route/108132174/ripple-route', 'https://www.mountainproject.com/route/108132180/some-roof-crack', 'https://www.mountainproject.com/route/108132193/spare-tire', 'https://www.mountainproject.com/route/108132163/the-swing', 'https://www.mountainproject.com/route/108132089/unknown', 'https://www.mountainproject.com/route/108132127/unknown-2', 'https://www.mountainproject.com/route/108132139/unknown-3', 'https://www.mountainproject.com/route/108132190/unknown-4']"
6,6,https://www.mountainproject.com/area/108132198/dundee-falls-corner,dundee-falls-corner,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108132073/beach-city-nature-preserve']",['https://www.mountainproject.com/route/108132203/hueco-fango']
7,7,https://www.mountainproject.com/area/114804342/dundee-railroad,dundee-railroad,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/108132073/beach-city-nature-preserve']",['https://www.mountainproject.com/area/114804446/off-the-rails']
8,8,https://www.mountainproject.com/area/105994254/entrance-boulder,entrance-boulder,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/105994179/cascade-elywood-park-elyria']","['https://www.mountainproject.com/route/105995075/mr-hero', 'https://www.mountainproject.com/route/105995081/seams-easy']"
9,9,https://www.mountainproject.com/area/105994257/grey-paint,grey-paint,"['https://www.mountainproject.com/area/105994953/ohio', 'https://www.mountainproject.com/area/105994179/cascade-elywood-park-elyria']",[]
