,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/112090092/the-poppy-wall,the-poppy-wall,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/112090064/3-fingers-bay']","['https://www.mountainproject.com/route/112092529/first-gen-stowaway', 'https://www.mountainproject.com/route/112092497/flaky-layers-direct', 'https://www.mountainproject.com/route/112092506/flaky-layers-with-the-right-brain', 'https://www.mountainproject.com/route/112090831/instant-priviledge', 'https://www.mountainproject.com/route/112090730/poppy-arete', 'https://www.mountainproject.com/route/112090801/shoulda-worn-my-wranglers', 'https://www.mountainproject.com/route/112090099/sunset-direct', 'https://www.mountainproject.com/route/112092518/sunset-left-exit']"
1,1,https://www.mountainproject.com/area/112092595/the-tallgrass-sector,the-tallgrass-sector,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/112090064/3-fingers-bay']","['https://www.mountainproject.com/route/112092660/newbs', 'https://www.mountainproject.com/route/112092607/snake-juice-project']"
2,2,https://www.mountainproject.com/area/107872590/johns-wall,johns-wall,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/107286155/avery-drive-tulsa']","['https://www.mountainproject.com/route/108692844/air-danada', 'https://www.mountainproject.com/route/107872631/alice-on-acid', 'https://www.mountainproject.com/route/107872637/crack-left', 'https://www.mountainproject.com/route/107872647/crack-right', 'https://www.mountainproject.com/route/107872608/dihederal', 'https://www.mountainproject.com/route/107872652/drop-double-ds', 'https://www.mountainproject.com/route/108577949/drop-double-ds-dirrect', 'https://www.mountainproject.com/route/107872593/rabbits-on-acid', 'https://www.mountainproject.com/route/109966830/sumac-attack', 'https://www.mountainproject.com/route/108577915/unknown-right-of-rabbits-on-acid', 'https://www.mountainproject.com/route/111838113/unknown-ledge-crack']"
3,3,https://www.mountainproject.com/area/107286169/little-germany,little-germany,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/107286155/avery-drive-tulsa']","['https://www.mountainproject.com/route/108031161/fun-crack', 'https://www.mountainproject.com/route/107872660/mythril', 'https://www.mountainproject.com/route/108511733/unknown']"
4,4,https://www.mountainproject.com/area/107286175/little-tijuana,little-tijuana,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/107286155/avery-drive-tulsa']",[]
5,5,https://www.mountainproject.com/area/107286190/lost-city,lost-city,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/107286155/avery-drive-tulsa']","['https://www.mountainproject.com/route/107872562/cool-underhang', 'https://www.mountainproject.com/route/108089205/the-dirty-persian', 'https://www.mountainproject.com/route/108089175/grade-expectations', 'https://www.mountainproject.com/route/107306679/hand-crack', 'https://www.mountainproject.com/route/107728735/jb-trout', 'https://www.mountainproject.com/route/109230227/jellybean-limeade', 'https://www.mountainproject.com/route/109318101/mad-ripple-bird', 'https://www.mountainproject.com/route/107872541/okie-buds', 'https://www.mountainproject.com/route/107728756/ripple', 'https://www.mountainproject.com/route/108718724/starry-gift', 'https://www.mountainproject.com/route/107728773/thunderbird', 'https://www.mountainproject.com/route/108089223/unkown-56', 'https://www.mountainproject.com/route/108089246/unkown-57']"
6,6,https://www.mountainproject.com/area/107286210/pratteville,pratteville,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/107286155/avery-drive-tulsa']","['https://www.mountainproject.com/route/114194242/amphibian', 'https://www.mountainproject.com/route/114241431/before-man', 'https://www.mountainproject.com/route/114184068/black-out', 'https://www.mountainproject.com/route/114184139/cool-crack', 'https://www.mountainproject.com/route/114184023/freak-show', 'https://www.mountainproject.com/route/114202540/freebie', 'https://www.mountainproject.com/route/114184042/kendos-only', 'https://www.mountainproject.com/route/114184110/lean-crack', 'https://www.mountainproject.com/route/114202570/melted-stone', 'https://www.mountainproject.com/route/114184034/mindless', 'https://www.mountainproject.com/route/114202607/pratt-dihedral', 'https://www.mountainproject.com/route/114184122/robo-crack', 'https://www.mountainproject.com/route/114202686/screaming-butterfly', 'https://www.mountainproject.com/route/114184126/tall-mans-510', 'https://www.mountainproject.com/route/114194214/terminator', 'https://www.mountainproject.com/route/114184058/the-thing', 'https://www.mountainproject.com/route/114184004/water-world-roof']"
7,7,https://www.mountainproject.com/area/107286199/vice-grips,vice-grips,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/107286155/avery-drive-tulsa']","['https://www.mountainproject.com/route/114445569/castleton', 'https://www.mountainproject.com/route/112527496/edge-of-darkness-aka-pocket-problem', 'https://www.mountainproject.com/route/112485238/lite-blue-cords']"
8,8,https://www.mountainproject.com/area/112326104/cosmic-corridor,cosmic-corridor,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/112325879/baby-bell']","['https://www.mountainproject.com/route/112326304/bass-jam', 'https://www.mountainproject.com/route/112326550/belly-of-the-beast-project', 'https://www.mountainproject.com/route/112326341/geonosis', 'https://www.mountainproject.com/route/112326326/lizasaurus', 'https://www.mountainproject.com/route/112326310/pajama-party', 'https://www.mountainproject.com/route/112326357/sarlacc-pit', 'https://www.mountainproject.com/route/112326294/space-jam']"
9,9,https://www.mountainproject.com/area/112325979/fiddleback-wall,fiddleback-wall,"['https://www.mountainproject.com/area/105854466/oklahoma', 'https://www.mountainproject.com/area/112325879/baby-bell']","['https://www.mountainproject.com/route/112812218/hazard', 'https://www.mountainproject.com/route/112326402/recluse-project']"
