,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/113843770/34-boulders,34-boulders,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430295/cascade-lakes-highway', 'https://www.mountainproject.com/area/109506959/widgi-creek', 'https://www.mountainproject.com/area/113843756/widgi-34']","['https://www.mountainproject.com/route/113843787/the-34-dyno', 'https://www.mountainproject.com/route/113843844/special-sauce']"
1,1,https://www.mountainproject.com/area/113843906/bulletproof,bulletproof,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430295/cascade-lakes-highway', 'https://www.mountainproject.com/area/109506959/widgi-creek', 'https://www.mountainproject.com/area/113843756/widgi-34']",['https://www.mountainproject.com/route/113843920/bulletproof']
2,2,https://www.mountainproject.com/area/113843684/the-brain-boulder,the-brain-boulder,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430295/cascade-lakes-highway', 'https://www.mountainproject.com/area/109506959/widgi-creek', 'https://www.mountainproject.com/area/113843678/widgi-right']",['https://www.mountainproject.com/route/113843695/the-brain']
3,3,https://www.mountainproject.com/area/113843756/widgi-34,widgi-34,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430295/cascade-lakes-highway', 'https://www.mountainproject.com/area/109506959/widgi-creek']",['https://www.mountainproject.com/area/113843770/34-boulders']
4,4,https://www.mountainproject.com/area/113843678/widgi-right,widgi-right,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430295/cascade-lakes-highway', 'https://www.mountainproject.com/area/109506959/widgi-creek']",[]
5,5,https://www.mountainproject.com/area/109506973/meadow-camp-aka-meadow-picnic-area,meadow-camp-aka-meadow-picnic-area,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430295/cascade-lakes-highway']","['https://www.mountainproject.com/route/110111201/cock-magic', 'https://www.mountainproject.com/route/113935453/the-fishermans-face', 'https://www.mountainproject.com/route/113935481/the-grinch', 'https://www.mountainproject.com/route/113935492/ground-chuck', 'https://www.mountainproject.com/route/110111345/jolene', 'https://www.mountainproject.com/route/113935424/yogi-squeeze']"
6,6,https://www.mountainproject.com/area/109506959/widgi-creek,widgi-creek,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430295/cascade-lakes-highway']",['https://www.mountainproject.com/area/113843756/widgi-34']
7,7,https://www.mountainproject.com/area/114362565/metalhead-area,metalhead-area,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430289/skyliners-road', 'https://www.mountainproject.com/area/114362435/tick-ranch-the-deep', 'https://www.mountainproject.com/area/114362473/the-deep']","['https://www.mountainproject.com/route/114362611/bastard-crack', 'https://www.mountainproject.com/route/114362577/metalhead']"
8,8,https://www.mountainproject.com/area/114362541/razor-wall,razor-wall,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430289/skyliners-road', 'https://www.mountainproject.com/area/114362435/tick-ranch-the-deep', 'https://www.mountainproject.com/area/114362473/the-deep']",['https://www.mountainproject.com/route/114362552/razors-edge']
9,9,https://www.mountainproject.com/area/114362482/wave-boulder,wave-boulder,"['https://www.mountainproject.com/area/105708965/oregon', 'https://www.mountainproject.com/area/109532041/central-oregon', 'https://www.mountainproject.com/area/108531732/central-oregon-bouldering', 'https://www.mountainproject.com/area/114430274/bend-area', 'https://www.mountainproject.com/area/114430289/skyliners-road', 'https://www.mountainproject.com/area/114362435/tick-ranch-the-deep', 'https://www.mountainproject.com/area/114362473/the-deep']",['https://www.mountainproject.com/route/114362496/the-wave']
