,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107902880/aiders-rock,aiders-rock,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/107902808/blue-run-rocks']","['https://www.mountainproject.com/route/107903141/aiders-of-the-last-rock', 'https://www.mountainproject.com/route/107903102/face-the-facts', 'https://www.mountainproject.com/route/107903085/flatlander', 'https://www.mountainproject.com/route/107903117/jake-said-ouch', 'https://www.mountainproject.com/route/107903146/liberal-line', 'https://www.mountainproject.com/route/107903150/metastable', 'https://www.mountainproject.com/route/107903131/monolithic', 'https://www.mountainproject.com/route/107903125/slab-a-licious']"
1,1,https://www.mountainproject.com/area/107902815/campfire-boulder,campfire-boulder,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/107902808/blue-run-rocks']","['https://www.mountainproject.com/route/107902828/the-boyscout', 'https://www.mountainproject.com/route/107902821/campfire-direct', 'https://www.mountainproject.com/route/107902832/the-cubscout']"
2,2,https://www.mountainproject.com/area/107902875/lichen-wall,lichen-wall,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/107902808/blue-run-rocks']","['https://www.mountainproject.com/route/107976759/the-chip', 'https://www.mountainproject.com/route/114173888/lichen-this', 'https://www.mountainproject.com/route/107978456/steelworker', 'https://www.mountainproject.com/route/107977787/taking-it-easy']"
3,3,https://www.mountainproject.com/area/114173762/ship-rock-shipwreck-boulder,ship-rock-shipwreck-boulder,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/107902808/blue-run-rocks']","['https://www.mountainproject.com/route/114173771/end-of-the-pulpit', 'https://www.mountainproject.com/route/114173778/the-shakes']"
4,4,https://www.mountainproject.com/area/107902847/the-main-attraction,the-main-attraction,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/107902808/blue-run-rocks']","['https://www.mountainproject.com/route/107902859/darwins-dilemma', 'https://www.mountainproject.com/route/112892184/dodos-delight', 'https://www.mountainproject.com/route/107903176/flake-accesss', 'https://www.mountainproject.com/route/107903191/i-just-cant-wait-to-be-king', 'https://www.mountainproject.com/route/107902851/levitation', 'https://www.mountainproject.com/route/107903245/overhaul', 'https://www.mountainproject.com/route/107903237/piton-crack', 'https://www.mountainproject.com/route/109496675/power-play', 'https://www.mountainproject.com/route/107903182/tree-line', 'https://www.mountainproject.com/route/107903162/walking-wounded']"
5,5,https://www.mountainproject.com/area/107903250/the-vila-boulder,the-vila-boulder,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/107902808/blue-run-rocks']","['https://www.mountainproject.com/route/114173685/jigawatts', 'https://www.mountainproject.com/route/114173712/the-lacoon']"
6,6,https://www.mountainproject.com/area/111169196/camels-head-wall,camels-head-wall,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/111169187/donation-rocks']",[]
7,7,https://www.mountainproject.com/area/111169213/sharks-tooth-wall,sharks-tooth-wall,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/111169187/donation-rocks']","['https://www.mountainproject.com/route/112846915/the-flake', 'https://www.mountainproject.com/route/112856617/the-gully', 'https://www.mountainproject.com/route/112846953/mimis-nose', 'https://www.mountainproject.com/route/112846865/more-thin', 'https://www.mountainproject.com/route/112847003/screamin-mimi', 'https://www.mountainproject.com/route/112846776/sharks-tooth', 'https://www.mountainproject.com/route/112846839/thin']"
8,8,https://www.mountainproject.com/area/111169218/triceps-wall,triceps-wall,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/111169187/donation-rocks']","['https://www.mountainproject.com/route/112846755/aurora', 'https://www.mountainproject.com/route/112844459/beginners-climb', 'https://www.mountainproject.com/route/112844584/bobs-extradaganza', 'https://www.mountainproject.com/route/112844527/the-book', 'https://www.mountainproject.com/route/112844500/green-thumb', 'https://www.mountainproject.com/route/112844630/spider-woman']"
9,9,https://www.mountainproject.com/area/114305477/north-hunters,north-hunters,"['https://www.mountainproject.com/area/105913279/pennsylvania', 'https://www.mountainproject.com/area/109481682/central-pa', 'https://www.mountainproject.com/area/106531911/hunters-rocks-rocky-ridge-natural-area']","['https://www.mountainproject.com/route/114305509/civil-disobedience', 'https://www.mountainproject.com/route/114305522/disobedient-arete', 'https://www.mountainproject.com/route/114305496/the-forest-child']"
