,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107487048/the-escoheag-boulder,the-escoheag-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107479939/escoheag']","['https://www.mountainproject.com/route/107481179/arete-sit', 'https://www.mountainproject.com/route/107481204/backside-problem', 'https://www.mountainproject.com/route/111445791/boot-strap', 'https://www.mountainproject.com/route/108872939/crystallography', 'https://www.mountainproject.com/route/107481168/face-stand', 'https://www.mountainproject.com/route/107908698/nicks-mantle', 'https://www.mountainproject.com/route/107481192/nipple-projct', 'https://www.mountainproject.com/route/107481184/quartz-face']"
1,1,https://www.mountainproject.com/area/107812018/the-great-wall,the-great-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107479939/escoheag']",[]
2,2,https://www.mountainproject.com/area/107812086/the-long-wall,the-long-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107479939/escoheag']",[]
3,3,https://www.mountainproject.com/area/108476422/the-mason-boulder,the-mason-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107479939/escoheag']","['https://www.mountainproject.com/route/108476435/fully-rested', 'https://www.mountainproject.com/route/108476425/get-your-rest']"
4,4,https://www.mountainproject.com/area/107487105/the-overhangs,the-overhangs,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107479939/escoheag']","['https://www.mountainproject.com/route/107525564/bills-monologue', 'https://www.mountainproject.com/route/107607393/low-down']"
5,5,https://www.mountainproject.com/area/107505278/the-swamp-boulder,the-swamp-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107479939/escoheag']","['https://www.mountainproject.com/route/107505303/the-seam', 'https://www.mountainproject.com/route/107505293/swamper', 'https://www.mountainproject.com/route/107505336/v0', 'https://www.mountainproject.com/route/107505327/v1']"
6,6,https://www.mountainproject.com/area/107465564/sensational-slab,sensational-slab,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029755/3-walls']",['https://www.mountainproject.com/route/107443592/sinsation']
7,7,https://www.mountainproject.com/area/107465551/the-first-wall-warm-up-wall,the-first-wall-warm-up-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029755/3-walls']","['https://www.mountainproject.com/route/107454506/center-stage', 'https://www.mountainproject.com/route/107454115/living-in-a-hole', 'https://www.mountainproject.com/route/107463364/romneys-dog', 'https://www.mountainproject.com/route/107463372/shit-or-get-off-the-pot', 'https://www.mountainproject.com/route/107463353/v-easy', 'https://www.mountainproject.com/route/107454078/warm-up-traverse', 'https://www.mountainproject.com/route/107466604/wiessners-crack']"
8,8,https://www.mountainproject.com/area/107465555/the-second-wall,the-second-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029755/3-walls']","['https://www.mountainproject.com/route/107472942/indian-pipe', 'https://www.mountainproject.com/route/107479514/king-philip']"
9,9,https://www.mountainproject.com/area/107466077/the-upper-wall,the-upper-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029755/3-walls']","['https://www.mountainproject.com/route/107466628/grunt', 'https://www.mountainproject.com/route/107473576/tippity-tap', 'https://www.mountainproject.com/route/107466658/no-name']"
10,10,https://www.mountainproject.com/area/107465560/wall-3-squatch,wall-3-squatch,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029755/3-walls']","['https://www.mountainproject.com/route/107451804/3rd-wall-left-arete', 'https://www.mountainproject.com/route/107451812/3rd-wall-right-arete', 'https://www.mountainproject.com/route/107451788/squatch']"
11,11,https://www.mountainproject.com/area/107618002/main-wall,main-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029792/main-wall']","['https://www.mountainproject.com/route/108110141/diagonal-climb', 'https://www.mountainproject.com/route/108110137/quartz-57', 'https://www.mountainproject.com/route/108110133/unknown-510', 'https://www.mountainproject.com/route/108110124/unknown-59']"
12,12,https://www.mountainproject.com/area/107618026/main-wall-boulder,main-wall-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029792/main-wall']",['https://www.mountainproject.com/route/108113196/rock-paper-scissors']
13,13,https://www.mountainproject.com/area/107618014/right-side-of-the-main-wall,right-side-of-the-main-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom', 'https://www.mountainproject.com/area/107029792/main-wall']",[]
14,14,https://www.mountainproject.com/area/107029755/3-walls,3-walls,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/area/107465551/the-first-wall-warm-up-wall', 'https://www.mountainproject.com/area/107465555/the-second-wall', 'https://www.mountainproject.com/area/107465564/sensational-slab', 'https://www.mountainproject.com/area/107466077/the-upper-wall']"
15,15,https://www.mountainproject.com/area/107029777/aretes-between-slim-boulder-and-small-cave,aretes-between-slim-boulder-and-small-cave,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
16,16,https://www.mountainproject.com/area/110479453/fat-and-happy-area,fat-and-happy-area,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/route/111717460/beach-the-wale', 'https://www.mountainproject.com/route/110590462/blair-witch', 'https://www.mountainproject.com/route/111741069/the-coven', 'https://www.mountainproject.com/route/110479475/fat-and-happy', 'https://www.mountainproject.com/route/111740991/glenna', 'https://www.mountainproject.com/route/111741096/just-desserts', 'https://www.mountainproject.com/route/111741086/more-pudding']"
17,17,https://www.mountainproject.com/area/107029784/firewall,firewall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
18,18,https://www.mountainproject.com/area/107618011/grunge-wall,grunge-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
19,19,https://www.mountainproject.com/area/107029812/halloween,halloween,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",['https://www.mountainproject.com/route/107029818/halloween']
20,20,https://www.mountainproject.com/area/107029792/main-wall,main-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/area/107618002/main-wall', 'https://www.mountainproject.com/area/107618026/main-wall-boulder']"
21,21,https://www.mountainproject.com/area/107029802/overlook-roof,overlook-roof,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
22,22,https://www.mountainproject.com/area/107029606/roadside-wall,roadside-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/route/108824239/decode', 'https://www.mountainproject.com/route/107932791/dells-lemonade', 'https://www.mountainproject.com/route/107525591/firecracker-crimps', 'https://www.mountainproject.com/route/107525652/heaven-roadside-direct', 'https://www.mountainproject.com/route/110487878/mad-max', 'https://www.mountainproject.com/route/107527982/roadside-warmup', 'https://www.mountainproject.com/route/107525621/spectacle', 'https://www.mountainproject.com/route/107932812/topless-carwash', 'https://www.mountainproject.com/route/107525667/tricycle-roadside-traverse-right', 'https://www.mountainproject.com/route/107932797/voyagers']"
23,23,https://www.mountainproject.com/area/107029844/slabtop-40-x-100,slabtop-40-x-100,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
24,24,https://www.mountainproject.com/area/107029767/slim-boulder,slim-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/route/107455911/mms', 'https://www.mountainproject.com/route/107455903/reeses-pieces', 'https://www.mountainproject.com/route/107455890/slim-shady']"
25,25,https://www.mountainproject.com/area/107029772/small-cave,small-cave,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
26,26,https://www.mountainproject.com/area/107029687/small-egg-boulder,small-egg-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
27,27,https://www.mountainproject.com/area/107421407/the-hideaway,the-hideaway,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/route/107422361/hey-you', 'https://www.mountainproject.com/route/107422340/the-hideaway']"
28,28,https://www.mountainproject.com/area/107029701/the-ivy-wall,the-ivy-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/route/107438980/ballista', 'https://www.mountainproject.com/route/107454638/easy-rider', 'https://www.mountainproject.com/route/108108530/fly-paper', 'https://www.mountainproject.com/route/107439025/full-time-adventure-travelers', 'https://www.mountainproject.com/route/107438921/gem-cutter', 'https://www.mountainproject.com/route/107438835/ivy-crack', 'https://www.mountainproject.com/route/108107882/little-people', 'https://www.mountainproject.com/route/107458414/un-named']"
29,29,https://www.mountainproject.com/area/107029615/trailside-wall-the-scoop-and-the-pine-line-area,trailside-wall-the-scoop-and-the-pine-line-area,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/route/112419280/birds-nest-soup', 'https://www.mountainproject.com/route/112404997/der-felsblock-und-ich', 'https://www.mountainproject.com/route/112419210/dummkopf-block', 'https://www.mountainproject.com/route/112419153/dummkopf-crack', 'https://www.mountainproject.com/route/107029669/pine-line', 'https://www.mountainproject.com/route/110590524/square-dancing', 'https://www.mountainproject.com/route/112404967/stein-linie', 'https://www.mountainproject.com/route/112419249/was-machst-du-denn']"
30,30,https://www.mountainproject.com/area/107029743/walls-by-egg-boulder,walls-by-egg-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']",[]
31,31,https://www.mountainproject.com/area/110584782/war-zone,war-zone,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area', 'https://www.mountainproject.com/area/107029590/mt-tom']","['https://www.mountainproject.com/route/110584785/fight-with-new-wars', 'https://www.mountainproject.com/route/110584794/rewinding-star-wars']"
32,32,https://www.mountainproject.com/area/111497453/breakheart-ledge,breakheart-ledge,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']","['https://www.mountainproject.com/route/111497618/a-bitter-bale', 'https://www.mountainproject.com/route/111692207/battle-of-the-gunt', 'https://www.mountainproject.com/route/111497828/high-hopes', 'https://www.mountainproject.com/route/111497974/sniffles', 'https://www.mountainproject.com/route/111497787/the-woe-down']"
33,33,https://www.mountainproject.com/area/107479939/escoheag,escoheag,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']","['https://www.mountainproject.com/area/107487048/the-escoheag-boulder', 'https://www.mountainproject.com/area/107812018/the-great-wall', 'https://www.mountainproject.com/area/107812086/the-long-wall', 'https://www.mountainproject.com/area/108476422/the-mason-boulder', 'https://www.mountainproject.com/area/107487105/the-overhangs']"
34,34,https://www.mountainproject.com/area/107029590/mt-tom,mt-tom,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']","['https://www.mountainproject.com/area/107029755/3-walls', 'https://www.mountainproject.com/area/107029777/aretes-between-slim-boulder-and-small-cave', 'https://www.mountainproject.com/area/110479453/fat-and-happy-area', 'https://www.mountainproject.com/area/107029784/firewall', 'https://www.mountainproject.com/area/107618011/grunge-wall', 'https://www.mountainproject.com/area/107029812/halloween', 'https://www.mountainproject.com/area/107421407/the-hideaway', 'https://www.mountainproject.com/area/107029701/the-ivy-wall', 'https://www.mountainproject.com/area/107029792/main-wall', 'https://www.mountainproject.com/area/107029802/overlook-roof', 'https://www.mountainproject.com/area/107029606/roadside-wall', 'https://www.mountainproject.com/area/107029844/slabtop-40-x-100', 'https://www.mountainproject.com/area/107029767/slim-boulder', 'https://www.mountainproject.com/area/107029772/small-cave', 'https://www.mountainproject.com/area/107029687/small-egg-boulder', 'https://www.mountainproject.com/area/107029615/trailside-wall-the-scoop-and-the-pine-line-area', 'https://www.mountainproject.com/area/107029743/walls-by-egg-boulder']"
35,35,https://www.mountainproject.com/area/108824895/riverbed-boulder,riverbed-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']","['https://www.mountainproject.com/route/108824987/bedtime', 'https://www.mountainproject.com/route/108845003/cool-side-of-the-pillow', 'https://www.mountainproject.com/route/108848616/dat-mantle', 'https://www.mountainproject.com/route/108825105/dirt-burglar-project-aka-stdf', 'https://www.mountainproject.com/route/108844991/dismantle', 'https://www.mountainproject.com/route/108824908/high-water-mark', 'https://www.mountainproject.com/route/108844839/lights-out', 'https://www.mountainproject.com/route/108827824/low-tide']"
36,36,https://www.mountainproject.com/area/107969385/the-backwoods-wall,the-backwoods-wall,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']",[]
37,37,https://www.mountainproject.com/area/107501659/the-found-boulder,the-found-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']","['https://www.mountainproject.com/route/107516891/corner-slab', 'https://www.mountainproject.com/route/110977618/crimps-rule-everything-around-me', 'https://www.mountainproject.com/route/107513151/danas-highball', 'https://www.mountainproject.com/route/107889516/fight-the-right', 'https://www.mountainproject.com/route/107511613/flake-problem', 'https://www.mountainproject.com/route/107506694/hroom', 'https://www.mountainproject.com/route/107516746/leprechaun-hunt', 'https://www.mountainproject.com/route/107537044/lick-the-bag', 'https://www.mountainproject.com/route/107511567/sit-to-the-crack', 'https://www.mountainproject.com/route/107513188/sit-to-the-flake', 'https://www.mountainproject.com/route/107516870/sponge-bob-squatpants', 'https://www.mountainproject.com/route/107505505/temperance', 'https://www.mountainproject.com/route/107506716/treehugger', 'https://www.mountainproject.com/route/107528264/unnamed', 'https://www.mountainproject.com/route/107513172/unnamed-alt-finish-to-hroom']"
38,38,https://www.mountainproject.com/area/107969440/the-gnome-boulder,the-gnome-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']",['https://www.mountainproject.com/route/107969449/the-angry-gnome']
39,39,https://www.mountainproject.com/area/107480097/the-hudson-boulder,the-hudson-boulder,"['https://www.mountainproject.com/area/106842810/rhode-island', 'https://www.mountainproject.com/area/107478460/arcadia-management-area']",[]
