,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/112198574/im-melting-spire,im-melting-spire,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires', 'https://www.mountainproject.com/area/112198564/land-of-oz']",['https://www.mountainproject.com/route/112198579/im-melting']
1,1,https://www.mountainproject.com/area/112198614/lions,lions,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires', 'https://www.mountainproject.com/area/112198564/land-of-oz']","['https://www.mountainproject.com/route/109550458/lions-share', 'https://www.mountainproject.com/route/112198627/lioness']"
2,2,https://www.mountainproject.com/area/112198649/witchs-hat,witchs-hat,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires', 'https://www.mountainproject.com/area/112198564/land-of-oz']",['https://www.mountainproject.com/route/112198652/witchs-hat']
3,3,https://www.mountainproject.com/area/105714402/balcony-point,balcony-point,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/105715025/north-crack', 'https://www.mountainproject.com/route/114585031/under-an-open-sky', 'https://www.mountainproject.com/route/114580344/veranda']"
4,4,https://www.mountainproject.com/area/106037158/bartizan-wall,bartizan-wall,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/108306955/crack-of-earthly-delights', 'https://www.mountainproject.com/route/112203001/elrods-epic', 'https://www.mountainproject.com/route/107711508/kevizan', 'https://www.mountainproject.com/route/107569795/the-naked-rib', 'https://www.mountainproject.com/route/109578076/storming-the-castle', 'https://www.mountainproject.com/route/109110296/window-on-the-west']"
5,5,https://www.mountainproject.com/area/108198898/blockhead,blockhead,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/109229705/almost-copasetic', 'https://www.mountainproject.com/route/108198909/copasetic']"
6,6,https://www.mountainproject.com/area/111083399/broken-point,broken-point,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/111084986/devious-nature', 'https://www.mountainproject.com/route/111083420/snake-hipped-mistress']"
7,7,https://www.mountainproject.com/area/110964269/east-gruesome,east-gruesome,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/110964287/east-gruesome', 'https://www.mountainproject.com/route/109586816/east-gruesome-laptad-route', 'https://www.mountainproject.com/route/110966183/tying-the-knot']"
8,8,https://www.mountainproject.com/area/105714450/eyetooth,eyetooth,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/105715232/eyetooth', 'https://www.mountainproject.com/route/110888339/pulling-teeth']"
9,9,https://www.mountainproject.com/area/105714564/flying-buttress,flying-buttress,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/105715631/cathedral-ceiling', 'https://www.mountainproject.com/route/106449454/fly-boys', 'https://www.mountainproject.com/route/105881412/flying-buttress-airlines']"
10,10,https://www.mountainproject.com/area/108198778/freaks-fright,freaks-fright,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']",['https://www.mountainproject.com/route/108198793/freaks-fright']
11,11,https://www.mountainproject.com/area/105845904/grace-note-spire,grace-note-spire,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/105996875/c-minor-7', 'https://www.mountainproject.com/route/105996916/conn-route', 'https://www.mountainproject.com/route/105845907/east-cracks']"
12,12,https://www.mountainproject.com/area/111846672/heck-of-a-note,heck-of-a-note,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/111955660/fritter-and-waste', 'https://www.mountainproject.com/route/111955648/heck-of-a-conn-route']"
13,13,https://www.mountainproject.com/area/108227860/javelin,javelin,"['https://www.mountainproject.com/area/105708963/south-dakota', 'https://www.mountainproject.com/area/106058091/custer-state-park', 'https://www.mountainproject.com/area/105714246/cathedral-spires']","['https://www.mountainproject.com/route/108227880/a-place-beyond-the-pines', 'https://www.mountainproject.com/route/108227864/gill-route']"
