,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/108220942/backbone-roof,backbone-roof,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106881426/backbone-rock', 'https://www.mountainproject.com/area/108220666/backbone-boulders']",['https://www.mountainproject.com/route/108220956/cubism-dream']
1,1,https://www.mountainproject.com/area/108220840/death-tree-boulder,death-tree-boulder,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106881426/backbone-rock', 'https://www.mountainproject.com/area/108220666/backbone-boulders']","['https://www.mountainproject.com/route/108763195/contra', 'https://www.mountainproject.com/route/108220846/death-tree-traverse', 'https://www.mountainproject.com/route/108763191/parasite', 'https://www.mountainproject.com/route/108220867/squatch']"
2,2,https://www.mountainproject.com/area/106881435/across-the-street,across-the-street,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106881426/backbone-rock']","['https://www.mountainproject.com/route/114149356/19-crimes', 'https://www.mountainproject.com/route/106881456/cave', 'https://www.mountainproject.com/route/106881439/the-girlfriend-route']"
3,3,https://www.mountainproject.com/area/108220666/backbone-boulders,backbone-boulders,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106881426/backbone-rock']",['https://www.mountainproject.com/area/108220942/backbone-roof']
4,4,https://www.mountainproject.com/area/109843198/main-wall,main-wall,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106881426/backbone-rock']","['https://www.mountainproject.com/route/109843201/el-breezy', 'https://www.mountainproject.com/route/109954031/the-girlfriend-route', 'https://www.mountainproject.com/route/109954045/what-would-chouinard-do']"
5,5,https://www.mountainproject.com/area/111134147/parking-lot-side-of-street,parking-lot-side-of-street,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106881426/backbone-rock']","['https://www.mountainproject.com/route/111134157/corner-under-the-bridge', 'https://www.mountainproject.com/route/111134348/decent-crack', 'https://www.mountainproject.com/route/111134306/easier-of-the-face-climbs', 'https://www.mountainproject.com/route/111134329/harder-of-the-face-climbs']"
6,6,https://www.mountainproject.com/area/112304448/buzzard-cave-wall,buzzard-cave-wall,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/111947944/bays-mountain']","['https://www.mountainproject.com/route/112304497/beauty', 'https://www.mountainproject.com/route/112304487/greenfire', 'https://www.mountainproject.com/route/112304463/take-me-home']"
7,7,https://www.mountainproject.com/area/112304520/main-wall,main-wall,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/111947944/bays-mountain']","['https://www.mountainproject.com/route/112304565/mr-clean', 'https://www.mountainproject.com/route/112304554/open-book', 'https://www.mountainproject.com/route/112304525/sunset']"
8,8,https://www.mountainproject.com/area/112308107/north-wall,north-wall,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/111947944/bays-mountain']",[]
9,9,https://www.mountainproject.com/area/112304684/south-wall,south-wall,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/111947944/bays-mountain']",['https://www.mountainproject.com/route/112304688/cat-people']
10,10,https://www.mountainproject.com/area/112519126/conspiracy-buttress,conspiracy-buttress,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/112518798/big-soddy-gorge']","['https://www.mountainproject.com/route/112529922/33-degrees', 'https://www.mountainproject.com/route/112519130/chemtrail-surfer', 'https://www.mountainproject.com/route/115328885/elvis-lives', 'https://www.mountainproject.com/route/112529899/illuminati-alumni', 'https://www.mountainproject.com/route/112519177/man-on-the-moon', 'https://www.mountainproject.com/route/115328852/monatomic-gold', 'https://www.mountainproject.com/route/112519202/superdarn']"
11,11,https://www.mountainproject.com/area/113829879/departure-29,departure-29,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/112518798/big-soddy-gorge']","['https://www.mountainproject.com/route/114427316/born-grippy', 'https://www.mountainproject.com/route/113829885/born-slippy', 'https://www.mountainproject.com/route/114427300/departure-29', 'https://www.mountainproject.com/route/114347161/gift-from-nature', 'https://www.mountainproject.com/route/113829890/jector-the-golden-loaf']"
12,12,https://www.mountainproject.com/area/112519214/double-buttress,double-buttress,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/112518798/big-soddy-gorge']",['https://www.mountainproject.com/route/112519221/blight']
13,13,https://www.mountainproject.com/area/113826262/good-samaritan-buttress,good-samaritan-buttress,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/112518798/big-soddy-gorge']","['https://www.mountainproject.com/route/113826283/direct-samaritan', 'https://www.mountainproject.com/route/113826272/the-good-samaritan', 'https://www.mountainproject.com/route/113826295/gospel-of-luke', 'https://www.mountainproject.com/route/113826266/trailside-parable']"
14,14,https://www.mountainproject.com/area/113828712/the-sirens,the-sirens,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/112518798/big-soddy-gorge']","['https://www.mountainproject.com/route/113828720/siren-left', 'https://www.mountainproject.com/route/113828731/siren-right']"
15,15,https://www.mountainproject.com/area/112529944/visor-left,visor-left,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/112518798/big-soddy-gorge']",['https://www.mountainproject.com/route/112529956/climbers-cough']
16,16,https://www.mountainproject.com/area/105872845/carolina-training-wall,carolina-training-wall,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106465172/big-south-fork', 'https://www.mountainproject.com/area/105870093/blue-heron']","['https://www.mountainproject.com/route/105872849/campobello-beauty', 'https://www.mountainproject.com/route/106053326/carolina-club', 'https://www.mountainproject.com/route/106053334/murphy-to-manteo', 'https://www.mountainproject.com/route/106092797/puddin-jam']"
17,17,https://www.mountainproject.com/area/106075401/downstream-area,downstream-area,"['https://www.mountainproject.com/area/105887760/tennessee', 'https://www.mountainproject.com/area/106465172/big-south-fork', 'https://www.mountainproject.com/area/105870093/blue-heron']","['https://www.mountainproject.com/route/113656716/crack-the-keg', 'https://www.mountainproject.com/route/114338576/ecliptic', 'https://www.mountainproject.com/route/106092801/the-geothermal-jig', 'https://www.mountainproject.com/route/113656726/hello-nasty', 'https://www.mountainproject.com/route/106075406/the-mirror-of-llunett', 'https://www.mountainproject.com/route/113656702/no-one-to-hear-you-screem', 'https://www.mountainproject.com/route/106092813/route-du-jour', 'https://www.mountainproject.com/route/114338603/winter-solstice', 'https://www.mountainproject.com/route/106092805/wits-end', 'https://www.mountainproject.com/route/114338664/zack-be-nimble']"
