,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106090212/guides-wall,guides-wall,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/105991035/gus-fruh']","['https://www.mountainproject.com/route/112806790/aretebulge', 'https://www.mountainproject.com/route/112134969/flash-crack', 'https://www.mountainproject.com/route/112806412/stand-off', 'https://www.mountainproject.com/route/106085170/thin-crack', 'https://www.mountainproject.com/route/106085185/touch-of-class']"
1,1,https://www.mountainproject.com/area/106190816/gus-fruh-aka-fern-bar-area,gus-fruh-aka-fern-bar-area,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/105991035/gus-fruh']","['https://www.mountainproject.com/route/106963577/betwixt', 'https://www.mountainproject.com/route/111704522/birdland', 'https://www.mountainproject.com/route/113221327/blind-date', 'https://www.mountainproject.com/route/106963571/chicken-supreme', 'https://www.mountainproject.com/route/106963595/egg-salad-sandwich', 'https://www.mountainproject.com/route/106190878/fern-bar', 'https://www.mountainproject.com/route/107253321/gros-ventre', 'https://www.mountainproject.com/route/106190828/heir-apparent', 'https://www.mountainproject.com/route/106190847/iranian-arms-deal', 'https://www.mountainproject.com/route/114398736/reefer-madness', 'https://www.mountainproject.com/route/107494468/rock-retard', 'https://www.mountainproject.com/route/114342655/running-man', 'https://www.mountainproject.com/route/107253347/thumb-dance', 'https://www.mountainproject.com/route/113233082/trash-can-man', 'https://www.mountainproject.com/route/113338233/wyoming-women']"
2,2,https://www.mountainproject.com/area/106097124/kingdom-of-ging,kingdom-of-ging,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/105991035/gus-fruh']","['https://www.mountainproject.com/route/112404933/arkansas-polio-weed', 'https://www.mountainproject.com/route/114268962/the-borg-v78-variation', 'https://www.mountainproject.com/route/111543657/the-borg', 'https://www.mountainproject.com/route/110821014/bunion-blow', 'https://www.mountainproject.com/route/112846809/bunion-blow-full-left', 'https://www.mountainproject.com/route/112527829/bunion-blow-left', 'https://www.mountainproject.com/route/106112302/charlie-dont-surf', 'https://www.mountainproject.com/route/109122929/cherry-blossom', 'https://www.mountainproject.com/route/111777529/crossfire', 'https://www.mountainproject.com/route/110820950/the-cube', 'https://www.mountainproject.com/route/108677402/gray-streak', 'https://www.mountainproject.com/route/109074549/hanks-direct', 'https://www.mountainproject.com/route/110820909/hanks-left-b8', 'https://www.mountainproject.com/route/111834442/hanks-right', 'https://www.mountainproject.com/route/107252511/jerrys-kids', 'https://www.mountainproject.com/route/106277859/king-of-ging', 'https://www.mountainproject.com/route/112527842/must-be-72-inches-to-ride', 'https://www.mountainproject.com/route/111660378/spank-bank', 'https://www.mountainproject.com/route/113438062/tabula-rasa']"
3,3,https://www.mountainproject.com/area/112283359/myth-wall,myth-wall,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/105991035/gus-fruh']","['https://www.mountainproject.com/route/112433822/toprope', 'https://www.mountainproject.com/route/112433815/aphrodite', 'https://www.mountainproject.com/route/112433797/athena', 'https://www.mountainproject.com/route/112433806/phoebe', 'https://www.mountainproject.com/route/112433791/poseidon', 'https://www.mountainproject.com/route/112433801/rhea']"
4,4,https://www.mountainproject.com/area/112475203/rubber-wall,rubber-wall,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/105991035/gus-fruh']","['https://www.mountainproject.com/route/112475209/jimmy-hat', 'https://www.mountainproject.com/route/112475224/lifestyles', 'https://www.mountainproject.com/route/112475242/magnum', 'https://www.mountainproject.com/route/112475237/sheep-skin', 'https://www.mountainproject.com/route/112475219/trojan']"
5,5,https://www.mountainproject.com/area/114234632/block-below-the-tronics,block-below-the-tronics,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/114234163/hill-of-life-bouldering']","['https://www.mountainproject.com/route/114238833/disorder', 'https://www.mountainproject.com/route/114238874/left-clingy', 'https://www.mountainproject.com/route/114238842/nervous-tic', 'https://www.mountainproject.com/route/114238867/rest-arete', 'https://www.mountainproject.com/route/114238880/right-clingy', 'https://www.mountainproject.com/route/114238817/tourettes-arete', 'https://www.mountainproject.com/route/114238854/twitch']"
6,6,https://www.mountainproject.com/area/114800414/sculpture-falls,sculpture-falls,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/114234163/hill-of-life-bouldering']",['https://www.mountainproject.com/route/114800432/sculpture-falls-traverse']
7,7,https://www.mountainproject.com/area/114234777/the-bad-boulder,the-bad-boulder,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/114234163/hill-of-life-bouldering']","['https://www.mountainproject.com/route/114800356/420-traverse', 'https://www.mountainproject.com/route/114249184/alcohol-arete', 'https://www.mountainproject.com/route/114249169/bad', 'https://www.mountainproject.com/route/114249166/bad-belly', 'https://www.mountainproject.com/route/114249176/cigarettes', 'https://www.mountainproject.com/route/114249111/crack', 'https://www.mountainproject.com/route/114249120/crack-head', 'https://www.mountainproject.com/route/114249179/doublewide', 'https://www.mountainproject.com/route/114249098/right-arete', 'https://www.mountainproject.com/route/114249160/smokin-wack', 'https://www.mountainproject.com/route/114800365/the-v0-boulder', 'https://www.mountainproject.com/route/114249134/wack', 'https://www.mountainproject.com/route/114249104/yo-mama']"
8,8,https://www.mountainproject.com/area/114234187/the-tronics,the-tronics,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/114234163/hill-of-life-bouldering']","['https://www.mountainproject.com/route/114234592/man-up', 'https://www.mountainproject.com/route/114234253/the-tronics']"
9,9,https://www.mountainproject.com/area/114234604/trail-side-boulders,trail-side-boulders,"['https://www.mountainproject.com/area/105835804/texas', 'https://www.mountainproject.com/area/105905087/barton-creek-greenbelt', 'https://www.mountainproject.com/area/114234163/hill-of-life-bouldering']",[]
