,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/114778655/the-clubhouse,the-clubhouse,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/107102070/axe-handle-canyon']","['https://www.mountainproject.com/route/107102520/austrian-death-machine', 'https://www.mountainproject.com/route/107118127/dragon-tooth', 'https://www.mountainproject.com/route/107113026/headshot', 'https://www.mountainproject.com/route/107118142/tetnis-shot']"
1,1,https://www.mountainproject.com/area/114778591/the-saloon,the-saloon,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/107102070/axe-handle-canyon']","['https://www.mountainproject.com/route/107102098/20-degrees-and-a-faggot-of-wood', 'https://www.mountainproject.com/route/107153478/home-is-for-the-heartless', 'https://www.mountainproject.com/route/107102541/lime-disease', 'https://www.mountainproject.com/route/107102535/rmsf', 'https://www.mountainproject.com/route/107102527/tickphobia', 'https://www.mountainproject.com/route/107112531/to-a-breathless-oblivion', 'https://www.mountainproject.com/route/107102082/west-side-warrior']"
2,2,https://www.mountainproject.com/area/108131427/beaver-boulder,beaver-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/113925258/beaver-ut', 'https://www.mountainproject.com/area/113925355/beaver-canyon']","['https://www.mountainproject.com/route/114351213/dam-beached-beaver', 'https://www.mountainproject.com/route/108131436/spider-man']"
3,3,https://www.mountainproject.com/area/113925421/elk-meadows-wall,elk-meadows-wall,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/113925258/beaver-ut', 'https://www.mountainproject.com/area/113925355/beaver-canyon']","['https://www.mountainproject.com/route/113925835/henrys-route', 'https://www.mountainproject.com/route/113925888/one-hitter-splitter', 'https://www.mountainproject.com/route/113925854/rastafari-crack', 'https://www.mountainproject.com/route/113925816/stacked-and-packed']"
4,4,https://www.mountainproject.com/area/113925355/beaver-canyon,beaver-canyon,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/113925258/beaver-ut']",['https://www.mountainproject.com/area/108131427/beaver-boulder']
5,5,https://www.mountainproject.com/area/114241552/artemis-boulder,artemis-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227217/north-callisto']",[]
6,6,https://www.mountainproject.com/area/114241611/callisto-boulder,callisto-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227217/north-callisto']",['https://www.mountainproject.com/route/114372007/big-dipper']
7,7,https://www.mountainproject.com/area/114241623/juno-boulder,juno-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227217/north-callisto']",['https://www.mountainproject.com/route/114372041/little-dipper']
8,8,https://www.mountainproject.com/area/114241572/ursa-major-boulder,ursa-major-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227217/north-callisto']","['https://www.mountainproject.com/route/114371954/big-bear', 'https://www.mountainproject.com/route/114371940/little-bear']"
9,9,https://www.mountainproject.com/area/114241565/ursa-minor-boulder,ursa-minor-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227217/north-callisto']",['https://www.mountainproject.com/route/114332827/north-star']
10,10,https://www.mountainproject.com/area/114249071/hera-boulder,hera-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227141/south-callisto']","['https://www.mountainproject.com/route/114373142/gold-chains-and-anvils', 'https://www.mountainproject.com/route/114372626/greek-godess', 'https://www.mountainproject.com/route/114373120/hatred-of-hercules', 'https://www.mountainproject.com/route/114373098/queen-of-the-gods']"
11,11,https://www.mountainproject.com/area/114249087/king-lycaon,king-lycaon,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227141/south-callisto']","['https://www.mountainproject.com/route/114250775/arcas', 'https://www.mountainproject.com/route/114250932/king-lycaon']"
12,12,https://www.mountainproject.com/area/114249057/nanocris-boulder,nanocris-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area', 'https://www.mountainproject.com/area/114227141/south-callisto']",['https://www.mountainproject.com/route/114372584/arcadian']
13,13,https://www.mountainproject.com/area/114227217/north-callisto,north-callisto,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area']","['https://www.mountainproject.com/area/114241552/artemis-boulder', 'https://www.mountainproject.com/area/114241565/ursa-minor-boulder', 'https://www.mountainproject.com/area/114241572/ursa-major-boulder', 'https://www.mountainproject.com/area/114241611/callisto-boulder']"
14,14,https://www.mountainproject.com/area/114227141/south-callisto,south-callisto,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/114176388/callisto-area']","['https://www.mountainproject.com/area/114249057/nanocris-boulder', 'https://www.mountainproject.com/area/114249071/hera-boulder']"
15,15,https://www.mountainproject.com/area/112271279/europa-boulder,europa-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/112255820/europa-area']","['https://www.mountainproject.com/route/112291318/2g-speeds', 'https://www.mountainproject.com/route/112291289/astar-face', 'https://www.mountainproject.com/route/112291422/cretan-beast', 'https://www.mountainproject.com/route/112291299/crete', 'https://www.mountainproject.com/route/112291346/galileo', 'https://www.mountainproject.com/route/112291394/icy-moon', 'https://www.mountainproject.com/route/112291445/king-minos', 'https://www.mountainproject.com/route/112296047/multiverse-battery', 'https://www.mountainproject.com/route/112291378/mythical-nymph', 'https://www.mountainproject.com/route/112291370/phoenician', 'https://www.mountainproject.com/route/112293403/quantum-carburetor', 'https://www.mountainproject.com/route/112291384/saffron-crocus', 'https://www.mountainproject.com/route/112271283/seduced-by-zeus', 'https://www.mountainproject.com/route/112293380/warm-bum', 'https://www.mountainproject.com/route/112291306/white-bull']"
16,16,https://www.mountainproject.com/area/112255829/the-block-of-shameful-lowballs,the-block-of-shameful-lowballs,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/112255820/europa-area']","['https://www.mountainproject.com/route/112255844/block-party', 'https://www.mountainproject.com/route/112255834/horny-for-slopers']"
17,17,https://www.mountainproject.com/area/112268734/jupiter-boulder,jupiter-boulder,"['https://www.mountainproject.com/area/105708957/utah', 'https://www.mountainproject.com/area/112172291/big-water-boulders', 'https://www.mountainproject.com/area/112255762/jupiter-area', 'https://www.mountainproject.com/area/112268756/jupiter-boulder-area']",['https://www.mountainproject.com/route/112268738/doomsday-device']
