,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/107149664/amphitheatre,amphitheatre,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/107008498/belle-isle1']",[]
1,1,https://www.mountainproject.com/area/107483676/james-river-park-system,james-river-park-system,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/107008498/belle-isle1']","['https://www.mountainproject.com/route/108626586/72-inch-wheels', 'https://www.mountainproject.com/route/108031988/biker-arete', 'https://www.mountainproject.com/route/108032006/biker-crack', 'https://www.mountainproject.com/route/107488516/coffee-is-my-cologne', 'https://www.mountainproject.com/route/108626594/the-derailleur', 'https://www.mountainproject.com/route/108031965/the-eye', 'https://www.mountainproject.com/route/107985302/jurassic-park-arete-extension', 'https://www.mountainproject.com/route/107484161/jurassic-park-arete', 'https://www.mountainproject.com/route/108031980/short-nothings', 'https://www.mountainproject.com/route/107553846/southern-starscape-slap', 'https://www.mountainproject.com/route/108031975/sweet-mouth', 'https://www.mountainproject.com/route/108031971/sweet-nothings', 'https://www.mountainproject.com/route/108031928/tail-of-the-whale', 'https://www.mountainproject.com/route/109673105/the-uppercut', 'https://www.mountainproject.com/route/107483680/walker-texas-ranger', 'https://www.mountainproject.com/route/108031949/whale-blubber', 'https://www.mountainproject.com/route/108031957/whale-crack', 'https://www.mountainproject.com/route/108031984/whales-mouth']"
2,2,https://www.mountainproject.com/area/107149856/quarry,quarry,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/107008498/belle-isle1']","['https://www.mountainproject.com/route/107637265/pulling-punches', 'https://www.mountainproject.com/route/107637280/white-wash']"
3,3,https://www.mountainproject.com/area/108088478/rva-riva-trash-area,rva-riva-trash-area,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/107008498/belle-isle1']","['https://www.mountainproject.com/route/108088492/american-graffiti', 'https://www.mountainproject.com/route/108088521/ashy-larry', 'https://www.mountainproject.com/route/108088513/randy-choss', 'https://www.mountainproject.com/route/108088504/uniquely-tattooless', 'https://www.mountainproject.com/route/108088485/wacka-flocculus']"
4,4,https://www.mountainproject.com/area/107149697/whale-boulder,whale-boulder,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/107008498/belle-isle1']",['https://www.mountainproject.com/route/107151665/whale-boulder-traverse']
5,5,https://www.mountainproject.com/area/107324269/bartering-lines-boulder,bartering-lines-boulder,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/110848173/charlottesville-vicinity', 'https://www.mountainproject.com/area/107267371/a-byrom-park', 'https://www.mountainproject.com/area/107324260/appalachian-barbed-wire-boulders']","['https://www.mountainproject.com/route/107324288/ashes-to-fire', 'https://www.mountainproject.com/route/107324280/chains', 'https://www.mountainproject.com/route/107324273/hold-me-down']"
6,6,https://www.mountainproject.com/area/107324410/fox-mountain-boulder,fox-mountain-boulder,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/110848173/charlottesville-vicinity', 'https://www.mountainproject.com/area/107267371/a-byrom-park', 'https://www.mountainproject.com/area/107324260/appalachian-barbed-wire-boulders']",[]
7,7,https://www.mountainproject.com/area/107324390/hunkered-down-boulder,hunkered-down-boulder,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/110848173/charlottesville-vicinity', 'https://www.mountainproject.com/area/107267371/a-byrom-park', 'https://www.mountainproject.com/area/107324260/appalachian-barbed-wire-boulders']",['https://www.mountainproject.com/route/107324394/crimp-my-traverse']
8,8,https://www.mountainproject.com/area/107324308/invisible-creekside-boulder,invisible-creekside-boulder,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/110848173/charlottesville-vicinity', 'https://www.mountainproject.com/area/107267371/a-byrom-park', 'https://www.mountainproject.com/area/107324260/appalachian-barbed-wire-boulders']",['https://www.mountainproject.com/route/107324316/winding-wheel']
9,9,https://www.mountainproject.com/area/107324324/nothing-left-boulder,nothing-left-boulder,"['https://www.mountainproject.com/area/105852400/virginia', 'https://www.mountainproject.com/area/109847004/central-southern-va-region', 'https://www.mountainproject.com/area/110848173/charlottesville-vicinity', 'https://www.mountainproject.com/area/107267371/a-byrom-park', 'https://www.mountainproject.com/area/107324260/appalachian-barbed-wire-boulders']",['https://www.mountainproject.com/route/107324329/gravel-dust']
