,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/106606442/bebop-rock,bebop-rock,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/110928298/bebop-dinky-secret-crags']","['https://www.mountainproject.com/route/106606450/bit-of-heaven', 'https://www.mountainproject.com/route/106606483/dexters-perplexer', 'https://www.mountainproject.com/route/106606457/juniors-cookin', 'https://www.mountainproject.com/route/106606473/melodious-thunk']"
1,1,https://www.mountainproject.com/area/106606508/dinky-dome,dinky-dome,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/110928298/bebop-dinky-secret-crags']",[]
2,2,https://www.mountainproject.com/area/106606497/secret-dome,secret-dome,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/110928298/bebop-dinky-secret-crags']",['https://www.mountainproject.com/route/107601167/stolen-moments']
3,3,https://www.mountainproject.com/area/113775350/the-moudra,the-moudra,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek', 'https://www.mountainproject.com/area/108418288/bulletin-boulders']","['https://www.mountainproject.com/route/114314570/dry-fire', 'https://www.mountainproject.com/route/108418301/the-moudra']"
4,4,https://www.mountainproject.com/area/111246638/angelina-jolie-boulder,angelina-jolie-boulder,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek', 'https://www.mountainproject.com/area/111246569/twisted-tree']","['https://www.mountainproject.com/route/111246714/angelina-jolie', 'https://www.mountainproject.com/route/112244329/the-dildo', 'https://www.mountainproject.com/route/111246643/scrambled-eggs', 'https://www.mountainproject.com/route/112244317/twisted-stone']"
5,5,https://www.mountainproject.com/area/111246598/twisted-tree-boulder,twisted-tree-boulder,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek', 'https://www.mountainproject.com/area/111246569/twisted-tree']","['https://www.mountainproject.com/route/112216958/mr-leftist', 'https://www.mountainproject.com/route/112798970/straight-shot', 'https://www.mountainproject.com/route/112216929/twisted-tree', 'https://www.mountainproject.com/route/111246611/twister']"
6,6,https://www.mountainproject.com/area/113685029/answer-man,answer-man,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek']","['https://www.mountainproject.com/route/113685038/answer-man', 'https://www.mountainproject.com/route/113685049/taller']"
7,7,https://www.mountainproject.com/area/108150577/barneys-rubble,barneys-rubble,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek']","['https://www.mountainproject.com/route/114417820/alcove-dyno', 'https://www.mountainproject.com/route/111239871/alfalfa-or-spanky', 'https://www.mountainproject.com/route/110281853/the-fin', 'https://www.mountainproject.com/route/111864164/frosting', 'https://www.mountainproject.com/route/108160623/fun-house-stairway', 'https://www.mountainproject.com/route/108160639/the-hesitator', 'https://www.mountainproject.com/route/112152348/joels-jump-startsandy-man', 'https://www.mountainproject.com/route/111233436/musk', 'https://www.mountainproject.com/route/112830588/ouchies', 'https://www.mountainproject.com/route/108160703/phatness', 'https://www.mountainproject.com/route/108160584/the-rail', 'https://www.mountainproject.com/route/108160680/rainbow', 'https://www.mountainproject.com/route/112000218/rimjob', 'https://www.mountainproject.com/route/111864175/slice-of-cake', 'https://www.mountainproject.com/route/111769456/slice-of-pie', 'https://www.mountainproject.com/route/108160659/tree-crack']"
8,8,https://www.mountainproject.com/area/110438818/bridge-creek-free-camping,bridge-creek-free-camping,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek']","['https://www.mountainproject.com/route/113138920/tigerlily-left', 'https://www.mountainproject.com/route/113138983/tigerlily-right', 'https://www.mountainproject.com/route/113793029/v3-tigerlilly-unknown']"
9,9,https://www.mountainproject.com/area/108418288/bulletin-boulders,bulletin-boulders,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek']",[]
10,10,https://www.mountainproject.com/area/108150410/chaos-boulders,chaos-boulders,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek']","['https://www.mountainproject.com/route/108150465/quantum-mechanics', 'https://www.mountainproject.com/route/109593035/shrimp-traveler', 'https://www.mountainproject.com/route/108150415/the-slot']"
11,11,https://www.mountainproject.com/area/107883405/clamshell-cave,clamshell-cave,"['https://www.mountainproject.com/area/105708966/washington', 'https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth', 'https://www.mountainproject.com/area/105790237/icicle-creek', 'https://www.mountainproject.com/area/106288739/bouldering-in-icicle-creek']","['https://www.mountainproject.com/route/107883455/cleaver-crack', 'https://www.mountainproject.com/route/112338130/crimp-crimp-slap-throw', 'https://www.mountainproject.com/route/108359567/cube-crack', 'https://www.mountainproject.com/route/108359591/cube-traverse', 'https://www.mountainproject.com/route/108359526/the-cube', 'https://www.mountainproject.com/route/107883448/elfen-magic', 'https://www.mountainproject.com/route/112338258/pentaphobia', 'https://www.mountainproject.com/route/107883431/playback', 'https://www.mountainproject.com/route/108359521/rubiks-arete', 'https://www.mountainproject.com/route/107883414/scram', 'https://www.mountainproject.com/route/107883438/the-segment', 'https://www.mountainproject.com/route/108359582/shallow', 'https://www.mountainproject.com/route/108359517/tron']"
