,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/108069668/c2-211-spot-boulder,c2-211-spot-boulder,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield', 'https://www.mountainproject.com/area/108739056/talus-area']","['https://www.mountainproject.com/route/106590716/the-211-spot', 'https://www.mountainproject.com/route/108729461/crescentia', 'https://www.mountainproject.com/route/106590711/heart-attack-jack', 'https://www.mountainproject.com/route/106590747/hermit-cave-slab', 'https://www.mountainproject.com/route/108937890/kick-start-my-heart']"
1,1,https://www.mountainproject.com/area/108811073/front-slabs,front-slabs,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield', 'https://www.mountainproject.com/area/108739056/talus-area']","['https://www.mountainproject.com/route/108811220/front-slab-l', 'https://www.mountainproject.com/route/108811077/front-slab-r', 'https://www.mountainproject.com/route/108811227/the-prow']"
2,2,https://www.mountainproject.com/area/107968880/hermits-cave,hermits-cave,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield', 'https://www.mountainproject.com/area/108739056/talus-area']","['https://www.mountainproject.com/route/106590726/hermit-cave', 'https://www.mountainproject.com/route/108814717/hermit-cave-face-climb', 'https://www.mountainproject.com/route/108814817/how-deep-does-the-porn-cave-go', 'https://www.mountainproject.com/route/106590739/raven-riley']"
3,3,https://www.mountainproject.com/area/108946558/mini-45,mini-45,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield', 'https://www.mountainproject.com/area/108739056/talus-area']",['https://www.mountainproject.com/route/108946561/mini-45']
4,4,https://www.mountainproject.com/area/108814643/upper-tier-hermits-cave,upper-tier-hermits-cave,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield', 'https://www.mountainproject.com/area/108739056/talus-area']","['https://www.mountainproject.com/route/108814658/bozoo-slow-hand', 'https://www.mountainproject.com/route/108814647/the-chub', 'https://www.mountainproject.com/route/108944196/leopard-larvae', 'https://www.mountainproject.com/route/108944185/right-chub']"
5,5,https://www.mountainproject.com/area/108811286/warm-up-boulder,warm-up-boulder,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield', 'https://www.mountainproject.com/area/108739056/talus-area']","['https://www.mountainproject.com/route/108811380/warm-up-l-center', 'https://www.mountainproject.com/route/108811289/warm-up-l', 'https://www.mountainproject.com/route/108811394/warm-up-r', 'https://www.mountainproject.com/route/108811386/warm-up-r-center']"
6,6,https://www.mountainproject.com/area/108069731/air-jordy-boulder,air-jordy-boulder,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield']","['https://www.mountainproject.com/route/108069735/b-champions-arete-right', 'https://www.mountainproject.com/route/108069750/c-side-line', 'https://www.mountainproject.com/route/108069739/d-air-jordy-left', 'https://www.mountainproject.com/route/108069744/e-air-jordy-right', 'https://www.mountainproject.com/route/108069754/f-balance-arete', 'https://www.mountainproject.com/route/108069757/g-the-layup', 'https://www.mountainproject.com/route/108724844/h-slabwalker', 'https://www.mountainproject.com/route/108724840/i-ledges', 'https://www.mountainproject.com/route/109694090/j-bulls', 'https://www.mountainproject.com/route/108724848/k-p-ewing']"
7,7,https://www.mountainproject.com/area/107968867/alligator-skin-boulder,alligator-skin-boulder,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield']","['https://www.mountainproject.com/route/108069539/the-downclimb', 'https://www.mountainproject.com/route/106607855/gator-skin-center', 'https://www.mountainproject.com/route/106607844/gator-skin-left', 'https://www.mountainproject.com/route/106607859/gator-skin-right', 'https://www.mountainproject.com/route/108069529/sloper-fools']"
8,8,https://www.mountainproject.com/area/108069674/cliffside-boulder,cliffside-boulder,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield']","['https://www.mountainproject.com/route/106607869/d1', 'https://www.mountainproject.com/route/106607864/d2', 'https://www.mountainproject.com/route/106607875/unknown']"
9,9,https://www.mountainproject.com/area/107968872/flow-boulder,flow-boulder,"['https://www.mountainproject.com/area/105855459/west-virginia', 'https://www.mountainproject.com/area/106442164/bozoo', 'https://www.mountainproject.com/area/107978005/bozoo-bouldering', 'https://www.mountainproject.com/area/107968861/downstream-boulderfield']","['https://www.mountainproject.com/route/107978411/extra-mileage', 'https://www.mountainproject.com/route/107988190/five-oclock-shadow', 'https://www.mountainproject.com/route/108069603/floatation-left', 'https://www.mountainproject.com/route/107988209/flotation', 'https://www.mountainproject.com/route/107991885/no-flow', 'https://www.mountainproject.com/route/107991879/one-flow', 'https://www.mountainproject.com/route/108069608/unknown', 'https://www.mountainproject.com/route/108069598/warm-up-crack']"
