,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/114794686/jumping-rock,jumping-rock,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/114794371/apostle-islands', 'https://www.mountainproject.com/area/114794646/madeline-island', 'https://www.mountainproject.com/area/114794661/point-loop-trail']","['https://www.mountainproject.com/route/114794713/almost-wimped-out', 'https://www.mountainproject.com/route/114794784/belly-scratcher', 'https://www.mountainproject.com/route/114794756/clamp-to-pocket', 'https://www.mountainproject.com/route/114794816/moo-moos', 'https://www.mountainproject.com/route/114794840/quick-shine']"
1,1,https://www.mountainproject.com/area/114794661/point-loop-trail,point-loop-trail,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/114794371/apostle-islands', 'https://www.mountainproject.com/area/114794646/madeline-island']",[]
2,2,https://www.mountainproject.com/area/114794414/presque-isle-point,presque-isle-point,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/114794371/apostle-islands', 'https://www.mountainproject.com/area/114794393/stockton-island']","['https://www.mountainproject.com/route/114794508/rash-leg', 'https://www.mountainproject.com/route/114794566/red-back-rash-leg']"
3,3,https://www.mountainproject.com/area/114794646/madeline-island,madeline-island,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/114794371/apostle-islands']",[]
4,4,https://www.mountainproject.com/area/114794393/stockton-island,stockton-island,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/114794371/apostle-islands']",[]
5,5,https://www.mountainproject.com/area/106404243/entrance-boulders,entrance-boulders,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/106275778/big-falls-bouldering', 'https://www.mountainproject.com/area/106404226/dam-boulders', 'https://www.mountainproject.com/area/106404238/top-out-boulders']",[]
6,6,https://www.mountainproject.com/area/106661389/big-falls,big-falls,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/106275778/big-falls-bouldering', 'https://www.mountainproject.com/area/106404226/dam-boulders']","['https://www.mountainproject.com/route/107900632/bfb-left', 'https://www.mountainproject.com/route/106663376/vamanavataram', 'https://www.mountainproject.com/route/106661400/crack-the-whip', 'https://www.mountainproject.com/route/106663386/hinky', 'https://www.mountainproject.com/route/106662098/pinchers-of-power', 'https://www.mountainproject.com/route/106663403/project', 'https://www.mountainproject.com/route/106663408/snuckles', 'https://www.mountainproject.com/route/106663397/sunrise-warmup', 'https://www.mountainproject.com/route/106663393/too-short-traverse']"
7,7,https://www.mountainproject.com/area/106404238/top-out-boulders,top-out-boulders,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/106275778/big-falls-bouldering', 'https://www.mountainproject.com/area/106404226/dam-boulders']",[]
8,8,https://www.mountainproject.com/area/106404226/dam-boulders,dam-boulders,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/106275778/big-falls-bouldering']",['https://www.mountainproject.com/area/106661389/big-falls']
9,9,https://www.mountainproject.com/area/114362799/river-corner,river-corner,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/106275778/big-falls-bouldering']",['https://www.mountainproject.com/route/114362816/satans-sandbox']
10,10,https://www.mountainproject.com/area/112490922/area-2,area-2,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/112470565/black-hawk-lake-recreation-area']","['https://www.mountainproject.com/route/112490973/catastrophic-kiss-project-the', 'https://www.mountainproject.com/route/112491010/impossible-face-arete-project', 'https://www.mountainproject.com/route/112490985/impossible-face-project-the']"
11,11,https://www.mountainproject.com/area/112476287/black-hawk-ridge-main-area,black-hawk-ridge-main-area,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/112470565/black-hawk-lake-recreation-area']","['https://www.mountainproject.com/route/112476349/bark-back-mountain', 'https://www.mountainproject.com/route/112530415/dick-tip-soft', 'https://www.mountainproject.com/route/112495515/full-chat', 'https://www.mountainproject.com/route/112531243/green-swoop-the', 'https://www.mountainproject.com/route/112481971/hungover-owl', 'https://www.mountainproject.com/route/112495796/illumination', 'https://www.mountainproject.com/route/112483679/slab-left-of-sweetn-low', 'https://www.mountainproject.com/route/112476370/square-root-of-jacked-project', 'https://www.mountainproject.com/route/112476338/sweetn-low', 'https://www.mountainproject.com/route/112476304/truffle-shuffle', 'https://www.mountainproject.com/route/112476291/underworld', 'https://www.mountainproject.com/route/112476327/underworld-left', 'https://www.mountainproject.com/route/112483668/underworld-warmup', 'https://www.mountainproject.com/route/114321054/upside-down-the']"
12,12,https://www.mountainproject.com/area/106977243/brass-wall,brass-wall,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",[]
13,13,https://www.mountainproject.com/area/108801301/clean-cut-boulder,clean-cut-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",[]
14,14,https://www.mountainproject.com/area/108837142/cranberry-boulder,cranberry-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/108837149/ocean-spray-slab']
15,15,https://www.mountainproject.com/area/106951234/fat-man-corridor,fat-man-corridor,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",[]
16,16,https://www.mountainproject.com/area/105986170/house-boulders,house-boulders,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/106951747/fat-man-corridor', 'https://www.mountainproject.com/route/106947884/house-boulder-3', 'https://www.mountainproject.com/route/106947877/house-boulder-1-east-face-hollowlander', 'https://www.mountainproject.com/route/106950315/house-boulder-south-face-traverse']"
17,17,https://www.mountainproject.com/area/109164126/ill-advised-ridge,ill-advised-ridge,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/109164137/head-screw']
18,18,https://www.mountainproject.com/area/106707224/jesus-boulder,jesus-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/106714791/cowboy-messiah', 'https://www.mountainproject.com/route/106774907/jamming-the-forbidden-fruit', 'https://www.mountainproject.com/route/106709135/jesus-boulder-arete', 'https://www.mountainproject.com/route/106964255/jesus-boulder-direct']"
19,19,https://www.mountainproject.com/area/106972888/lookout-rock,lookout-rock,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",[]
20,20,https://www.mountainproject.com/area/106944018/overlook-wall,overlook-wall,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/106944025/around-the-horn', 'https://www.mountainproject.com/route/107657867/crack-problem']"
21,21,https://www.mountainproject.com/area/105986149/porcelain-wall,porcelain-wall,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/105986199/problem-1', 'https://www.mountainproject.com/route/105986206/problem-2', 'https://www.mountainproject.com/route/105986215/problem-3', 'https://www.mountainproject.com/route/106970823/project', 'https://www.mountainproject.com/route/105986225/thin-crack', 'https://www.mountainproject.com/route/105986221/turbo-sexaphonic-delight', 'https://www.mountainproject.com/route/106951734/problem-4']"
22,22,https://www.mountainproject.com/area/106402045/se-point,se-point,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/106402423']
23,23,https://www.mountainproject.com/area/106774558/slider,slider,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/106774569/slider']
24,24,https://www.mountainproject.com/area/109345765/sonic-youth-boulder,sonic-youth-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/109345770/sonic-crack']
25,25,https://www.mountainproject.com/area/105986293/stack-boulder,stack-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/106025149/stack-boulder']
26,26,https://www.mountainproject.com/area/106948258/tall-boy,tall-boy,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/106948308/beer-goggles', 'https://www.mountainproject.com/route/106948269/tall-boy']"
27,27,https://www.mountainproject.com/area/106979843/the-antichrist,the-antichrist,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/106979846/antichrist-arete']
28,28,https://www.mountainproject.com/area/105986153/the-box-car-boulder,the-box-car-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/106015865/box-car-full-traverse', 'https://www.mountainproject.com/route/106025534/box-car-scoop']"
29,29,https://www.mountainproject.com/area/105986134/the-cube,the-cube,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/105986253/corner-problem', 'https://www.mountainproject.com/route/109252104/cross-cube', 'https://www.mountainproject.com/route/106025158/cube-traverse', 'https://www.mountainproject.com/route/110895577/cubic-consuela', 'https://www.mountainproject.com/route/105986267/layed-back', 'https://www.mountainproject.com/route/106254451/left-face', 'https://www.mountainproject.com/route/105986271/off-the-pocket', 'https://www.mountainproject.com/route/108837122/off-the-pocket-sit', 'https://www.mountainproject.com/route/105986280/right-corner', 'https://www.mountainproject.com/route/105986259/slot']"
30,30,https://www.mountainproject.com/area/105986165/the-hidden-cavern,the-hidden-cavern,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/106025145/leaning-boulder', 'https://www.mountainproject.com/route/106399075/right-wall-traverse']"
31,31,https://www.mountainproject.com/area/105986145/the-man-eater-boulder,the-man-eater-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/105986179/left-corner-problem', 'https://www.mountainproject.com/route/105986184/the-man-eater', 'https://www.mountainproject.com/route/105986192/right-corner-problem', 'https://www.mountainproject.com/route/105986188/the-rock-biter']"
32,32,https://www.mountainproject.com/area/105986140/the-penguin-boulder,the-penguin-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/105986230/arete', 'https://www.mountainproject.com/route/105986237/easy-breezy', 'https://www.mountainproject.com/route/106025162/easy-slab', 'https://www.mountainproject.com/route/105986242/face', 'https://www.mountainproject.com/route/106931434/penguin-right']"
33,33,https://www.mountainproject.com/area/105986160/tilted-boulder,tilted-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/105986305/diggin-deep']
34,34,https://www.mountainproject.com/area/105986175/tree-boulder,tree-boulder,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']","['https://www.mountainproject.com/route/105986284/slope-style', 'https://www.mountainproject.com/route/105986288/slope-style-right', 'https://www.mountainproject.com/route/106025154/sloper-problem']"
35,35,https://www.mountainproject.com/area/114281574/warmup-slab,warmup-slab,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",['https://www.mountainproject.com/route/114281743/sa-fa']
36,36,https://www.mountainproject.com/area/112175328/wild-cat-mound,wild-cat-mound,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105986131/black-river-falls']",[]
37,37,https://www.mountainproject.com/area/108055356/brady-street-pedestrian-bridge-over-lincoln-next-to-the-sentinels,brady-street-pedestrian-bridge-over-lincoln-next-to-the-sentinels,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites', 'https://www.mountainproject.com/area/106323143/milwaukee-lakefront']",['https://www.mountainproject.com/route/108055359/bridge-column']
38,38,https://www.mountainproject.com/area/106323147/buttered-logs,buttered-logs,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites', 'https://www.mountainproject.com/area/106323143/milwaukee-lakefront']","['https://www.mountainproject.com/route/106740678/the-5th-element', 'https://www.mountainproject.com/route/113530869/circles-and-arrow', 'https://www.mountainproject.com/route/106336402/i-cant-believe-its-not-buttered-logs', 'https://www.mountainproject.com/route/113399275/stick-your-fingers-in-gabby', 'https://www.mountainproject.com/route/106336384/two-step', 'https://www.mountainproject.com/route/106323151/washboard-abs']"
39,39,https://www.mountainproject.com/area/106458098/appleton-peabody-park,appleton-peabody-park,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites']",[]
40,40,https://www.mountainproject.com/area/105943893/bank-buildering,bank-buildering,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites']",['https://www.mountainproject.com/route/105943897/v0-bank-flank']
41,41,https://www.mountainproject.com/area/105730187/baraboo-area,baraboo-area,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites']","['https://www.mountainproject.com/route/105730838/conways-side-broadway-rail-bridge', 'https://www.mountainproject.com/route/105730841/pool-side-broadway-rail-bridge', 'https://www.mountainproject.com/route/105730835/south-shore-bathroom']"
42,42,https://www.mountainproject.com/area/105806606/camp-randall-stadium-area,camp-randall-stadium-area,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites']","['https://www.mountainproject.com/route/105807092/archway', 'https://www.mountainproject.com/route/105806629/is-it-art', 'https://www.mountainproject.com/route/105806610/nails-tails']"
43,43,https://www.mountainproject.com/area/106944313/eau-claire,eau-claire,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites']","['https://www.mountainproject.com/route/106944334/into-the-light', 'https://www.mountainproject.com/route/106944318/living-slightly-larger']"
44,44,https://www.mountainproject.com/area/107236451/eau-claire-water-treatment-plant,eau-claire-water-treatment-plant,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites']",[]
45,45,https://www.mountainproject.com/area/105730167/garner-park-shelter,garner-park-shelter,"['https://www.mountainproject.com/area/105708968/wisconsin', 'https://www.mountainproject.com/area/105730021/buildering-sites']","['https://www.mountainproject.com/route/105731171/balcony-mantel', 'https://www.mountainproject.com/route/108266629/bathroom-break', 'https://www.mountainproject.com/route/105731177/big-inside-wall', 'https://www.mountainproject.com/route/105730721/the-cave', 'https://www.mountainproject.com/route/105730715/shrubbery-wall', 'https://www.mountainproject.com/route/105731174/upper-fireplace', 'https://www.mountainproject.com/route/105730718/wave-traverse']"
