,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/112833112/clarks-fork-canyon,clarks-fork-canyon,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/107717786/absaroka-range']",[]
1,1,https://www.mountainproject.com/area/107717803/pilot-peak,pilot-peak,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/107717786/absaroka-range']",['https://www.mountainproject.com/route/107719383/standard-route-southwest-face']
2,2,https://www.mountainproject.com/area/106845911/head-games,head-games,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/106802961/skunk-hollow', 'https://www.mountainproject.com/area/106845629/sensory-deprivation']","['https://www.mountainproject.com/route/107754105/brush-it-off', 'https://www.mountainproject.com/route/106860083/contortionist', 'https://www.mountainproject.com/route/111995363/dusty-trail', 'https://www.mountainproject.com/route/106852795/fatties-fit-fine', 'https://www.mountainproject.com/route/107754089/gday-mate', 'https://www.mountainproject.com/route/106865773/human-sacrifice', 'https://www.mountainproject.com/route/107229543/mosstafarian', 'https://www.mountainproject.com/route/106900197/not-your-standard-deviation', 'https://www.mountainproject.com/route/106850766/the-o-face', 'https://www.mountainproject.com/route/106852834/snake-oil-salesman', 'https://www.mountainproject.com/route/106868327/tales-from-the-crimp', 'https://www.mountainproject.com/route/106865781/toilet-water', 'https://www.mountainproject.com/route/106845916/why-the-long-face']"
3,3,https://www.mountainproject.com/area/106852220/the-blind-eye,the-blind-eye,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/106802961/skunk-hollow', 'https://www.mountainproject.com/area/106845629/sensory-deprivation']","['https://www.mountainproject.com/route/106859401/bfg', 'https://www.mountainproject.com/route/106852224/french-whore', 'https://www.mountainproject.com/route/106865769/peg-leg', 'https://www.mountainproject.com/route/106852679/rule-18-limber-up']"
4,4,https://www.mountainproject.com/area/106845629/sensory-deprivation,sensory-deprivation,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/106802961/skunk-hollow']",['https://www.mountainproject.com/area/106852220/the-blind-eye']
5,5,https://www.mountainproject.com/area/106810066/wave-of-mutilation,wave-of-mutilation,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/106802961/skunk-hollow']","['https://www.mountainproject.com/route/106900381/asteroid-belt', 'https://www.mountainproject.com/route/106900392/want-some-fries-with-that-shake']"
6,6,https://www.mountainproject.com/area/107898573/philadelphia-wall,philadelphia-wall,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/107898564/the-honey-pot']","['https://www.mountainproject.com/route/107899167/green-man', 'https://www.mountainproject.com/route/107899198/its-always-sunny', 'https://www.mountainproject.com/route/107898576/sweet-dee']"
7,7,https://www.mountainproject.com/area/107898616/the-elks-lounge,the-elks-lounge,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/107898564/the-honey-pot']","['https://www.mountainproject.com/route/107898858/bee-wayne', 'https://www.mountainproject.com/route/107898864/divertido', 'https://www.mountainproject.com/route/107898847/dulceria', 'https://www.mountainproject.com/route/107898829/pinata', 'https://www.mountainproject.com/route/107898871/raghorn']"
8,8,https://www.mountainproject.com/area/107898619/the-grouse-boulders,the-grouse-boulders,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/107898564/the-honey-pot']","['https://www.mountainproject.com/route/107898639/ankle-biter', 'https://www.mountainproject.com/route/107898659/blue', 'https://www.mountainproject.com/route/107898711/fat-boy', 'https://www.mountainproject.com/route/107898726/midnight-blues', 'https://www.mountainproject.com/route/107898771/pocket-protector', 'https://www.mountainproject.com/route/107898648/ruffed', 'https://www.mountainproject.com/route/107898680/sharptailed', 'https://www.mountainproject.com/route/107898786/two-at-a-time', 'https://www.mountainproject.com/route/107898792/warm-uptraverse-boulder']"
9,9,https://www.mountainproject.com/area/107898610/tiggers-treehouse,tiggers-treehouse,"['https://www.mountainproject.com/area/105708960/wyoming', 'https://www.mountainproject.com/area/106419259/casper-mountain', 'https://www.mountainproject.com/area/107898564/the-honey-pot']","['https://www.mountainproject.com/route/107898980/christopher-robin', 'https://www.mountainproject.com/route/107898971/eeyores-arete', 'https://www.mountainproject.com/route/107899282/free-the-cows', 'https://www.mountainproject.com/route/107899065/huck-it-like-a-heffalump', 'https://www.mountainproject.com/route/107899043/kite-right', 'https://www.mountainproject.com/route/107899034/kite-left', 'https://www.mountainproject.com/route/107899053/little-red-wagon', 'https://www.mountainproject.com/route/107899314/roos-boulder']"
